,M_NAME,Cluster
0,Al Iaquinta,1
1,Aleksandar Rakic,1
2,Aleksei Oleinik,2
3,Alex Perez,2
4,Alexander Volkanovski,2
5,Alexander Volkov,2
6,Alexandre Pantoja,2
7,Alexis Davis,0
8,Alistair Overeem,0
9,Aljamain Sterling,0
10,Amanda Nunes,0
11,Amanda Ribas,2
12,Andrea Lee,2
13,Angela Hill,2
14,Anthony Pettis,0
15,Anthony Smith,1
16,Antonina Shevchenko,2
17,Arnold Allen,2
18,Askar Askarov,1
19,Aspen Ladd,2
20,Augusto Sakai,2
21,Beneil Dariush,0
22,Blagoy Ivanov,2
23,Brad Tavares,0
24,Brandon Moreno,2
25,Brandon Royval,2
26,Brian Ortega,1
27,Bryce Mitchell,2
28,Calvin Kattar,1
29,Carla Esparza,0
30,Chan Sung Jung,1
31,Charles Oliveira,0
32,Chris Weidman,0
33,Ciryl Gane,1
34,Claudia Gadelha,0
35,Cody Garbrandt,1
36,Cody Stamann,2
37,Colby Covington,0
38,Conor McGregor,2
39,Cory Sandhagen,2
40,Curtis Blaydes,0
41,Cynthia Calvillo,2
42,Dan Hooker,1
43,Dan Ige,2
44,Darren Till,2
45,David Dvorak,1
46,Deiveson Figueiredo,2
47,Demian Maia,0
48,Derek Brunson,1
49,Derrick Lewis,0
50,Diego Ferreira,1
51,Dominick Cruz,0
52,Dominick Reyes,1
53,Donald Cerrone,0
54,Drew Dober,1
55,Dustin Poirier,0
56,Edmen Shahbazyan,2
57,Edson Barboza,2
58,Felice Herrig,2
59,Francis Ngannou,1
60,Frankie Edgar,0
61,Geoff Neal,2
62,Germaine de Randamie,1
63,Gilbert Burns,0
64,Gillian Robertson,2
65,Glover Teixeira,0
66,Gregor Gillespie,2
67,Holly Holm,2
68,Ian Heinisch,1
69,Irene Aldana,2
70,Islam Makhachev,2
71,Israel Adesanya,1
72,Jack Hermansson,2
73,Jairzinho Rozenstruik,1
74,Jan Blachowicz,2
75,Jared Cannonier,2
76,Jennifer Maia,2
77,Jeremy Stephens,0
78,Jessica Andrade,0
79,Jessica Eye,2
80,Jimmie Rivera,1
81,Jimmy Crute,2
82,Jiri Prochazka,1
83,Joanna Jedrzejczyk,2
84,Joanne Calderwood,2
85,Johnny Walker,2
86,Jordan Espinosa,1
87,Jorge Masvidal,0
88,Jose Aldo,0
89,Joseph Benavidez,0
90,Josh Emmett,1
91,Julia Avila,2
92,Julianna Pena,2
93,Junior Dos Santos,2
94,Jussier Formiga,0
95,Justin Gaethje,1
96,Kai Kara-France,1
97,Kamaru Usman,0
98,Katlyn Chookagian,1
99,Kelvin Gastelum,2
100,Ketlen Vieira,2
101,Kevin Lee,0
102,Khabib Nurmagomedov,0
103,Lauren Murphy,2
104,Leon Edwards,0
105,Lina Lansberg,0
106,Mackenzie Dern,1
107,Macy Chiasson,1
108,Magomed Ankalaev,1
109,Marcin Tybura,0
110,Marina Rodriguez,2
111,Marion Reneau,2
112,Marlon Moraes,1
113,Marlon Vera,2
114,Marvin Vettori,2
115,Matt Schnell,1
116,Mauricio Rua,0
117,Max Holloway,2
118,Maycee Barber,1
119,Merab Dvalishvili,0
120,Michael Chiesa,0
121,Michelle Waterson,2
122,Misha Cirkunov,2
123,Montana De La Rosa,1
124,Nate Diaz,0
125,Neil Magny,0
126,Nikita Krylov,0
127,Nina Ansaroff,2
128,Omari Akhmedov,2
129,Pannie Kianzad,1
130,Paul Craig,1
131,Paul Felder,1
132,Paulo Costa,1
133,Pedro Munhoz,1
134,Petr Yan,2
135,Rafael Dos Anjos,0
136,Raphael Assuncao,0
137,Raquel Pennington,0
138,Raulian Paiva,2
139,Rob Font,2
140,Robbie Lawler,0
141,Robert Whittaker,2
142,Rogerio Bontorin,1
143,Rose Namajunas,2
144,Roxanne Modafferi,0
145,Ryan Hall,1
146,Ryan Spann,2
147,Sara McMann,0
148,Sergei Pavlovich,1
149,Shamil Abdurakhimov,1
150,Shane Burgos,2
151,Sijara Eubanks,2
152,Sodiq Yusuff,1
153,Song Yadong,2
154,Stephen Thompson,2
155,Stipe Miocic,0
156,Tecia Torres,0
157,Thiago Santos,2
158,Tim Elliott,0
159,Tony Ferguson,2
160,Tyron Woodley,0
161,Tyson Nam,1
162,Uriah Hall,2
163,Valentina Shevchenko,2
164,Vicente Luque,2
165,Virna Jandiroba,2
166,Viviane Araujo,2
167,Volkan Oezdemir,1
168,Walt Harris,1
169,Yair Rodriguez,2
170,Yan Xiaonan,2
171,Yana Kunitskaya,2
172,Yoel Romero,1
173,Zabit Magomedsharipov,2
174,Zhang Weili,1
