,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,288,0,Joseph Benavidez,0,18,64%,22,0,,0,0,0.0,8,5,5,18,0,0,1,Deiveson Figueiredo,2,35,87%,40,0,,4,0,143.0,31,4,0,12,0,23
1,KO/TKO,2,414,0,Joseph Benavidez,0,46,48%,46,0,0%,0,0,10.0,28,8,10,36,10,0,1,Deiveson Figueiredo,1,25,51%,25,1,100%,1,0,27.0,18,7,0,20,2,3
2,KO/TKO,2,587,1,Joseph Benavidez,1,50,43%,72,0,,0,0,123.0,27,14,9,44,3,3,0,Jussier Formiga,0,15,31%,15,1,33%,0,0,26.0,15,0,0,15,0,0
3,Decision - Unanimous,3,900,1,Joseph Benavidez,1,21,42%,37,7,58%,0,2,410.0,7,6,8,20,0,1,0,Dustin Ortiz,0,49,56%,93,3,37%,0,1,183.0,21,28,0,20,22,7
4,KO/TKO,1,259,1,Joseph Benavidez,0,35,48%,42,1,50%,0,0,75.0,20,11,4,19,1,15,0,Alex Perez,0,14,43%,14,1,100%,0,0,3.0,5,7,2,9,5,0
5,Decision - Split,3,900,0,Joseph Benavidez,0,59,31%,86,2,14%,0,0,264.0,28,14,17,57,2,0,1,Sergio Pettis,0,74,44%,87,0,,0,0,0.0,69,5,0,64,9,1
6,Decision - Split,3,900,1,Joseph Benavidez,0,69,29%,69,0,,0,0,1.0,39,19,11,68,1,0,0,Henry Cejudo,1,68,34%,70,1,14%,0,0,13.0,29,29,10,59,9,0
7,Decision - Unanimous,3,900,1,Joseph Benavidez,0,66,33%,82,0,,0,0,35.0,45,19,2,46,19,1,0,Zach Makovsky,0,40,41%,43,4,21%,0,0,79.0,24,4,12,33,7,0
8,Decision - Unanimous,3,900,1,Joseph Benavidez,0,48,32%,48,0,0%,0,0,0.0,32,10,6,44,4,0,0,Ali Bagautinov,0,31,25%,31,0,0%,0,0,19.0,22,5,4,30,1,0
9,Decision - Unanimous,3,900,1,Joseph Benavidez,0,63,57%,116,4,66%,0,0,550.0,35,12,16,26,15,22,0,John Moraga,0,42,56%,55,0,0%,0,0,41.0,14,21,7,21,17,4
10,Decision - Unanimous,3,900,1,Joseph Benavidez,0,94,47%,96,2,66%,0,0,147.0,60,17,17,73,19,2,0,Dustin Ortiz,0,37,24%,59,2,22%,0,0,44.0,30,7,0,31,6,0
11,Submission,1,248,1,Joseph Benavidez,0,9,39%,14,0,,1,1,93.0,4,4,1,9,0,0,0,Tim Elliott,0,16,76%,27,3,100%,0,0,76.0,10,3,3,13,3,0
12,KO/TKO,1,128,0,Joseph Benavidez,0,4,14%,4,0,,0,0,0.0,1,0,3,4,0,0,1,Demetrious Johnson,1,7,50%,9,0,0%,0,0,2.0,5,0,2,3,0,4
13,KO/TKO,1,187,1,Joseph Benavidez,1,20,38%,20,0,,0,0,5.0,13,4,3,16,0,4,0,Jussier Formiga,0,6,33%,6,0,,0,0,0.0,5,1,0,5,1,0
14,KO/TKO,2,590,1,Joseph Benavidez,2,57,37%,63,2,100%,0,0,111.0,35,8,14,49,2,6,0,Darren Uyenoyama,0,11,33%,11,0,0%,0,0,26.0,6,3,2,8,2,1
15,Decision - Unanimous,3,900,1,Joseph Benavidez,0,57,30%,62,0,0%,0,0,26.0,33,12,12,52,5,0,0,Ian McCall,0,40,35%,54,1,25%,0,0,89.0,18,13,9,30,8,2
16,Decision - Split,5,1500,0,Joseph Benavidez,0,44,17%,53,0,0%,2,0,204.0,23,12,9,34,9,1,1,Demetrious Johnson,0,77,49%,96,5,50%,0,0,140.0,29,33,15,45,23,9
17,KO/TKO,2,311,1,Joseph Benavidez,1,18,36%,33,1,20%,1,0,171.0,8,6,4,12,2,4,0,Yasuhiro Urushitani,0,8,44%,12,0,,0,0,0.0,5,2,1,8,0,0
18,Decision - Unanimous,3,900,1,Joseph Benavidez,0,66,45%,69,0,0%,0,0,9.0,28,16,22,55,10,1,0,Eddie Wineland,0,24,33%,25,0,0%,0,0,20.0,12,9,3,21,3,0
19,Decision - Unanimous,3,900,1,Joseph Benavidez,0,48,40%,70,5,29%,0,0,227.0,18,25,5,41,5,2,0,Ian Loveland,0,45,50%,50,0,0%,0,0,15.0,32,11,2,39,4,2
20,Submission,2,465,1,Joseph Benavidez,0,17,26%,23,0,0%,3,1,70.0,12,2,3,15,0,2,0,Wagnney Fabiano,0,6,26%,6,0,,0,0,70.0,3,2,1,6,0,0
21,Decision - Split,5,1500,0,Joseph Benavidez,0,35,17%,46,0,0%,1,0,102.0,18,7,10,30,5,0,1,Dominick Cruz,0,58,30%,103,6,66%,0,0,354.0,27,24,7,41,12,5
22,Submission,2,477,1,Joseph Benavidez,0,15,38%,24,2,100%,2,0,171.0,8,1,6,11,0,4,0,Miguel Torres,0,17,41%,52,0,,1,0,15.0,7,5,5,13,4,0
