,Unnamed: 0,ROUNDS,TIME,M_RES,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL
Unnamed: 0,1.0,-0.02069195346106181,-0.0221670240832448,-0.0576867640187259,-0.1067773604071192,-0.036019654303355665,0.012492427608543764,0.05327867184557159,0.0576867640187259,-0.03508770820890068,-0.007188931804215591,0.022684201942419237,0.11712417213576587,-0.02922293805648179,-0.05897583452778763,0.03988267532449771,-0.013181435365860052,-0.042412823225976885,-0.08055751626301993,-0.040167042462821385,-0.06607491681729193,0.02831941792388507,0.0035704238111556098,-0.031344512110888234,-0.03778634672851792,-0.07044288430264835,-0.08103997832953459,0.14319869179870878,0.13269124287864476,0.002492121861127381,-0.0010107366547939633,-0.008608291209291241,-0.04763790340031642,0.0711184794053178,0.0029540306015799355,0.027373008363279865,-0.029720012518981112,-0.023744296992628405,-0.05775740294554999,0.023538158300831384,-0.0004612612872106144,0.007372773717745979,-0.0029034719606642052,-0.06298501575727283,-0.0777423828389774,0.1467196472983635,0.13102217720178366,0.06379005698981319,0.06006623382244694
ROUNDS,-0.02069195346106181,1.0,0.9801414235342757,-0.11989470332555108,-0.18144803340217278,-0.020950644857521877,0.06171754410326534,0.3413354170295346,0.11989470332555108,-0.05577832625539132,0.05709450364158553,0.07737190974257362,0.35107656902805295,0.6553902520488748,0.7080499817327535,0.6747194305647601,0.7573460894294339,0.26723657367416825,0.39972014203429646,0.5584695657550005,0.665342288652961,0.5474370704241149,0.5846467222993375,0.45885136595169246,0.46466294019827475,0.6113532213043553,0.665687726622535,0.3172348266182294,0.33077369988048416,0.092748659183032,0.0894030266548146,0.6728007615008608,0.708530337896459,0.7098427792166955,0.7618866329053448,0.2806246171099814,0.40017519490015147,0.5940199164933857,0.6709931264048519,0.5497719311945721,0.5720566793632543,0.4742685232595265,0.4753542616970015,0.6244733690781668,0.6661037034086641,0.3618712401789802,0.36974046129555976,0.18453520177263466,0.18948905719166795
TIME,-0.0221670240832448,0.9801414235342757,1.0,-0.11919732870611627,-0.2091052130875506,-0.022922828427138626,0.06997868787902638,0.3591639902151772,0.11919732870611627,-0.07070659151050272,0.058906579780179796,0.08320398584327134,0.3572569187646053,0.6666553335267408,0.7238447851953916,0.6939184292058656,0.7786352964442139,0.2798928544504401,0.4184091471619669,0.5657291086027613,0.6799607294546683,0.5594719564528688,0.5978738697482427,0.4704719214274802,0.47605310597269906,0.6188520664308969,0.6783823845885257,0.3331076641339266,0.34891039566908005,0.09521370120631728,0.09391447455576216,0.6774199519575164,0.7200243404443095,0.7190703845365872,0.7759336035835868,0.28534231060348075,0.41183765734157174,0.5946909921998876,0.6814279751368438,0.560287323928333,0.5849352721511496,0.48007744496720073,0.48156096038972496,0.6289890929038093,0.677170263921843,0.37078768160844905,0.38188351937154075,0.17923198201177207,0.18544309031909992
M_RES,-0.0576867640187259,-0.11989470332555108,-0.11919732870611627,1.0,0.290617953880346,0.16038954855070983,0.021388677943428237,0.2147764496978662,-1.0,-0.347459535004883,-0.15122307827927692,-0.016248601200202505,-0.2984713133314548,0.11984680140122403,0.02422957250987756,0.14717793171071444,0.060480866532772425,0.18781344686628537,0.045704232446617726,0.16523342296210014,0.03720962913040556,0.023852069405101203,-0.010557799268492827,-0.01142206038825541,-0.02974398033932275,0.03034960692560256,-0.03317720652639795,0.03290205996350336,0.013408489269996927,0.27114410460851535,0.26854915277781244,-0.3120669191021297,-0.21014852581211943,-0.3359071019672828,-0.2486907867180523,-0.258504304215616,-0.12640678849808684,-0.32074404029984166,-0.20190230544291837,-0.20436337220771486,-0.16690095383670825,-0.14789048636964405,-0.1276719001459818,-0.21317343788166593,-0.14453417062754692,-0.1677153343885169,-0.15264561224153234,-0.36537421963235667,-0.35768186870844304
M_KD,-0.1067773604071192,-0.18144803340217278,-0.2091052130875506,0.290617953880346,1.0,-0.08637599882315046,-0.06512638351864874,-0.15646435954884103,-0.290617953880346,-0.10550025854817231,-0.09258235629319406,-0.05127409557501781,-0.17287493681958158,-0.02777311673316741,-0.07258757068820462,-0.1083855285995809,-0.12123823873125494,-0.1609607322534115,-0.21280691779182892,0.010941677917517012,-0.05667750083986984,-0.08018751886619732,-0.09557458462561434,-0.056697028529965,-0.07169953986389255,-0.02814264150933482,-0.07524629663279962,-0.06898279730658996,-0.07049637038128344,0.04423394074214144,0.050654118150720163,-0.14655784876145997,-0.12653849867842767,-0.20095632387913906,-0.16752040471874055,-0.15262236322359707,-0.0855948264487844,-0.12851655032686068,-0.11614009163837846,-0.13018989841572026,-0.11843003188173772,-0.09541668010694014,-0.08754955747930797,-0.09724346632918794,-0.09491252802211568,-0.11355184050508542,-0.10667581809856014,-0.15107118274353382,-0.15180145225806532
M_SUB_ATT,-0.036019654303355665,-0.020950644857521877,-0.022922828427138626,0.16038954855070983,-0.08637599882315046,1.0,0.18498336896770542,0.19682604150438782,-0.16038954855070983,-0.09442320211782078,0.019985657852437954,0.12386880942799501,0.15246289569756116,-0.1414748452351584,-0.16814768268206312,-0.027901857574021666,-0.1026932245323748,0.1460498032005315,0.06318458311749121,-0.11316638414371269,-0.15844292200011287,-0.09341116977238172,-0.10951429661813362,-0.14355942036309866,-0.14028250679181875,-0.18303641834160675,-0.18785060894432873,-0.030084362236878624,-0.04414093528319177,0.098705494615272,0.09594116060734294,-0.1407427678538519,-0.16069488757855993,-0.07836445798534847,-0.1279825474070925,0.1325705941942231,0.03948740579955353,-0.12274786460903742,-0.15290686487446292,-0.10646864457354847,-0.1226328554065257,-0.11170062541291118,-0.11171813464514016,-0.1661036722269373,-0.1772264484330429,-0.03566333693146077,-0.037424401458074574,0.055406082050197966,0.08332934236342372
M_REV,0.012492427608543764,0.06171754410326534,0.06997868787902638,0.021388677943428237,-0.06512638351864874,0.18498336896770542,1.0,0.13007528170974633,-0.021388677943428237,-0.02307438164429066,0.14703188163647313,0.3344511361495164,0.1978401930495469,-0.010314768944962248,-0.0394881350667588,0.07377598226297195,0.015636612153485555,0.056020241533758494,0.026183563569937958,0.013181314776929368,-0.031877200003792364,-0.007698974187110333,-0.019478583338918613,-0.0676003262846763,-0.06911969013242081,-0.053003808811755544,-0.06646877844677601,0.027186052807591433,0.025301603359730078,0.09972785724523761,0.10344204097872353,-0.02676045178624401,-0.045472522715757184,0.05392965827515935,0.003693791324397318,0.22562331440229164,0.15022835718271896,-0.0025620640691996974,-0.03377386667919912,-0.025071450468892,-0.04217264503188619,-0.07251327141814584,-0.07725990838996333,-0.06031633496010801,-0.06538279501937616,0.02087926154615815,0.01658898642913072,0.09094453370648188,0.09702058608831478
M_CTRL,0.05327867184557159,0.3413354170295346,0.3591639902151772,0.2147764496978662,-0.15646435954884103,0.19682604150438782,0.13007528170974633,1.0,-0.21477644969786622,-0.13753673119908702,0.16495792190976363,0.20851865584021234,-0.04288286534859953,0.15212629367568165,0.06276672266652064,0.4935314315440682,0.29884227908052574,0.7105515699824067,0.605343137950073,0.169392395575305,0.06443752325743962,0.12799256280472154,0.07279267587044325,-0.0027400251531006273,-0.012098623027383336,-0.08398063719362553,-0.0844715740527662,0.21626320804119165,0.20402201904671227,0.5700514033906586,0.5718249376111653,-0.04932524763462609,-0.053061988901520835,0.0930869082057997,0.026932914199723743,-0.07286021484566445,-0.07259311353439377,-0.05012819536220448,-0.05169812785218902,0.03178908398722308,0.009490026828573908,-0.08728902860872331,-0.08574179245832352,-0.08373572545537421,-0.07093758170412157,0.14432647569858123,0.13080163272722303,-0.025902358495282853,-0.018948491086733577
OP_RES,0.0576867640187259,0.11989470332555108,0.11919732870611627,-1.0,-0.290617953880346,-0.16038954855070983,-0.021388677943428237,-0.21477644969786622,1.0,0.347459535004883,0.15122307827927692,0.016248601200202505,0.29847131333145493,-0.11984680140122403,-0.02422957250987756,-0.14717793171071444,-0.060480866532772425,-0.18781344686628537,-0.045704232446617726,-0.16523342296210014,-0.03720962913040556,-0.023852069405101203,0.010557799268492827,0.01142206038825541,0.02974398033932275,-0.03034960692560256,0.03317720652639795,-0.03290205996350336,-0.013408489269996927,-0.27114410460851535,-0.26854915277781244,0.3120669191021297,0.21014852581211943,0.3359071019672828,0.2486907867180523,0.258504304215616,0.12640678849808684,0.32074404029984166,0.20190230544291837,0.20436337220771486,0.16690095383670825,0.14789048636964405,0.1276719001459818,0.21317343788166593,0.14453417062754692,0.1677153343885169,0.15264561224153234,0.36537421963235667,0.35768186870844304
OP_KD,-0.03508770820890068,-0.05577832625539132,-0.07070659151050272,-0.347459535004883,-0.10550025854817231,-0.09442320211782078,-0.02307438164429066,-0.13753673119908702,0.347459535004883,1.0,-0.009904499728280268,-0.039401000532586744,-0.04371047552007911,-0.06656579801275533,-0.04623565858174537,-0.10661205269359975,-0.07826548295874443,-0.11009759410864552,-0.052193301381844456,-0.05971258425884299,-0.03971840145242317,-0.05679246019712997,-0.05391382758927123,-0.03732937567926333,-0.03347615906638098,-0.025561618578632206,-0.020541712945370084,-0.05106262349469399,-0.0366693948054571,-0.10082765208358059,-0.1043580107387376,0.07606816308372155,0.024355773771800038,0.03144501510649628,0.0057503184725138275,-0.06414784017149876,-0.10913999001884157,0.1103553822826232,0.03534023871005752,0.014076006268061679,-0.0038391190540941564,-0.015527718464008435,-0.02701250120214603,0.04084230511534971,0.0017548052220827696,0.0033153999684699875,0.0016108438278539354,0.16322232290794272,0.15174945553769306
