,Link
Joseph Benavidez,http://www.ufcstats.com/fighter-details/80eacd4da0617c57
Brandon Moreno,http://www.ufcstats.com/fighter-details/792be9a24df82ed6
Askar Askarov,http://www.ufcstats.com/fighter-details/b1d19449397541dc
Alex Perez,http://www.ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Alexandre Pantoja,http://www.ufcstats.com/fighter-details/a0f0004aadf10b71
Brandon Royval,http://www.ufcstats.com/fighter-details/6e15f63b6c2e2c15
Jussier Formiga,http://www.ufcstats.com/fighter-details/b102c26727306ab6
Kai Kara-France,http://www.ufcstats.com/fighter-details/853eb0dd5c0e2149
Rogerio Bontorin,http://www.ufcstats.com/fighter-details/07a2bdaa0afdd831
Matt Schnell,http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e
Raulian Paiva,http://www.ufcstats.com/fighter-details/82b4e942781b1046
David Dvorak,http://www.ufcstats.com/fighter-details/9ada30894bf04e19
Tim Elliott,http://www.ufcstats.com/fighter-details/c96d9178c9ed9e62
Tyson Nam,http://www.ufcstats.com/fighter-details/6e00cfffd54653c4
Jordan Espinosa,http://www.ufcstats.com/fighter-details/215a70f073a7b726
Deiveson Figueiredo,http://www.ufcstats.com/fighter-details/aa72b0f831d0bfe5
Petr Yan,http://www.ufcstats.com/fighter-details/d661ce4da776fc20
Aljamain Sterling,http://www.ufcstats.com/fighter-details/cb696ebfb6598724
Cory Sandhagen,http://www.ufcstats.com/fighter-details/65f09bacd3957381
Marlon Moraes,http://www.ufcstats.com/fighter-details/fea79f9bc8c68769
Cody Garbrandt,http://www.ufcstats.com/fighter-details/d8c7c61b176e3994
Frankie Edgar,http://www.ufcstats.com/fighter-details/f2688492b9a525a3
Pedro Munhoz,http://www.ufcstats.com/fighter-details/6bd02119599741a4
Jose Aldo,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6
Jimmie Rivera,http://www.ufcstats.com/fighter-details/9c907996820d2d69
Raphael Assuncao,http://www.ufcstats.com/fighter-details/2f13e4020cea5b38
Dominick Cruz,http://www.ufcstats.com/fighter-details/10f3ba6cd2f44a97
Rob Font,http://www.ufcstats.com/fighter-details/05339613bf8e9808
Cody Stamann,http://www.ufcstats.com/fighter-details/bf7ad5628363eec9
Merab Dvalishvili,http://www.ufcstats.com/fighter-details/c03520b5c88ed6b4
Song Yadong,http://www.ufcstats.com/fighter-details/efb96bf3e9ada36f
Marlon Vera,http://www.ufcstats.com/fighter-details/7c7332319c14094c
Alexander Volkanovski,http://www.ufcstats.com/fighter-details/e1248941344b3288
Max Holloway,http://www.ufcstats.com/fighter-details/150ff4cc642270b9
Brian Ortega,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Zabit Magomedsharipov,http://www.ufcstats.com/fighter-details/87aa9fb63d6b51a1
Yair Rodriguez,http://www.ufcstats.com/fighter-details/cbf5e6f231b55443
Chan Sung Jung,http://www.ufcstats.com/fighter-details/c451d67c09c55418
Calvin Kattar,http://www.ufcstats.com/fighter-details/751de04455cfaac0
Josh Emmett,http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41
Jeremy Stephens,http://www.ufcstats.com/fighter-details/18968f97ad34f15c
Arnold Allen,http://www.ufcstats.com/fighter-details/040a74bb0a465c54
Sodiq Yusuff,http://www.ufcstats.com/fighter-details/94426bb170c88115
Shane Burgos,http://www.ufcstats.com/fighter-details/98d961097baaf308
Dan Ige,http://www.ufcstats.com/fighter-details/82a5152216251682
Ryan Hall,http://www.ufcstats.com/fighter-details/8866c6f509c19089
Edson Barboza,http://www.ufcstats.com/fighter-details/64a50dad704d1d49
Bryce Mitchell,http://www.ufcstats.com/fighter-details/d9c6f19f958643e9
Khabib Nurmagomedov,http://www.ufcstats.com/fighter-details/032cc3922d871c7f
Justin Gaethje,http://www.ufcstats.com/fighter-details/9e8f6c728eb01124
Dustin Poirier,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Tony Ferguson,http://www.ufcstats.com/fighter-details/22a92d7f62195791
Conor McGregor,http://www.ufcstats.com/fighter-details/f4c49976c75c5ab2
Dan Hooker,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Charles Oliveira,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Paul Felder,http://www.ufcstats.com/fighter-details/e5010b1b94ca5755
Diego Ferreira,http://www.ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Al Iaquinta,http://www.ufcstats.com/fighter-details/59279a7c978f7da0
Kevin Lee,http://www.ufcstats.com/fighter-details/ee9ebceabfd16fa7
Beneil Dariush,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Islam Makhachev,http://www.ufcstats.com/fighter-details/275aca31f61ba28c
Gregor Gillespie,http://www.ufcstats.com/fighter-details/84ff027394f7e470
Drew Dober,http://www.ufcstats.com/fighter-details/519e4fe37ce9ff75
Donald Cerrone,http://www.ufcstats.com/fighter-details/1d00756835ca67c9
Kamaru Usman,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e
Colby Covington,http://www.ufcstats.com/fighter-details/dc9572dd6ec74859
Gilbert Burns,http://www.ufcstats.com/fighter-details/23024fdfc966410a
Leon Edwards,http://www.ufcstats.com/fighter-details/f1fac969a1d70b08
Jorge Masvidal,http://www.ufcstats.com/fighter-details/47b9e0e7703a4868
Stephen Thompson,http://www.ufcstats.com/fighter-details/4a28cb716c19157a
Demian Maia,http://www.ufcstats.com/fighter-details/427b5953ac8e3a27
Tyron Woodley,http://www.ufcstats.com/fighter-details/effd9de9937996f8
Michael Chiesa,http://www.ufcstats.com/fighter-details/c58f51dedb310998
Neil Magny,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Vicente Luque,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a
Geoff Neal,http://www.ufcstats.com/fighter-details/b997be68943010fc
Rafael Dos Anjos,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Nate Diaz,http://www.ufcstats.com/fighter-details/8355922d564b152c
Anthony Pettis,http://www.ufcstats.com/fighter-details/cbb682f5fcc44bfc
Robbie Lawler,http://www.ufcstats.com/fighter-details/f2925e6db404bf1d
Israel Adesanya,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
Robert Whittaker,http://www.ufcstats.com/fighter-details/e1147d3d2dabe1ce
Jared Cannonier,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26
