M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Al Iaquinta,28,7710,5,0,0,88.0,3,2,2,0,1148.0,521,1271,532,1282,4,27,338,1017,102,167,81,87,489,1220,21,36,11,15,592,1553,657,1633,10,35,442,1365,71,102,79,86,515,1435,12,24,65,94,6
Aleksandar Rakic,11,2992,3,1,0,972.0,1,1,0,0,214.0,198,406,338,554,1,10,100,287,43,52,55,67,139,330,32,39,27,37,117,254,220,360,2,18,63,188,14,24,40,42,80,205,26,34,11,15,4
Aleksei Oleinik,14,3376,0,8,3,1438.0,4,3,1,4,799.0,149,336,282,482,9,16,114,291,20,23,15,22,110,275,30,45,9,16,176,326,303,454,9,13,130,270,26,35,20,21,91,227,32,39,53,60,3
Alex Perez,8,1867,1,5,0,732.0,0,0,0,0,57.0,152,332,228,415,8,17,103,266,21,33,28,33,108,270,32,46,12,16,90,242,123,275,0,6,63,210,19,21,8,11,75,225,6,8,9,9,5
Alexander Volkanovski,9,2477,3,3,1,951.0,0,1,0,1,231.0,277,464,317,510,7,18,216,383,33,45,28,36,133,247,31,44,113,173,122,258,139,277,5,15,91,214,24,36,7,8,95,220,20,31,7,7,4
Alexander Volkov,15,4298,1,0,0,400.0,1,1,0,2,2136.0,246,433,439,647,4,6,171,340,52,69,23,24,199,372,34,47,13,14,192,347,301,484,19,50,118,261,33,39,41,47,90,204,21,25,81,118,3
Alexandre Pantoja,10,2808,2,1,0,551.0,1,0,0,1,331.0,264,519,303,561,3,4,164,378,57,90,43,51,209,450,39,51,16,18,188,431,219,466,4,25,151,379,14,21,23,31,163,390,19,32,6,9,3
Alexis Davis,23,6481,0,6,4,1984.0,5,0,1,1,1173.0,442,900,889,1425,4,16,198,585,104,146,140,169,289,692,99,142,54,66,381,926,600,1183,12,20,301,819,46,60,34,47,295,799,49,86,37,41,4
Alistair Overeem,52,11772,14,17,0,2186.0,12,8,5,0,824.0,826,1312,1456,2017,22,35,445,844,281,346,100,122,271,534,228,320,327,458,461,1160,856,1623,17,57,337,988,97,127,27,45,206,701,125,229,130,230,22
Aljamain Sterling,30,8486,0,5,1,2602.0,2,3,1,1,1269.0,736,1443,1085,1814,18,59,371,916,234,344,131,183,490,1108,125,166,121,169,301,894,473,1089,7,18,141,621,78,161,82,112,241,804,46,68,14,22,9
