M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Al Iaquinta,28,128.5,5,0.0,0,88.0,3,2,2,0,1148.0,4.054474708171206,1271,532,1282,0.0311284046692607,27,338,1017,102,167,81,87,489,1220,0.16342412451361868,36,0.08560311284046693,15,592,1553,657,1633,10,35,442,1365,71,102,79,86,515,1435,12,24,65,94,6
Aleksandar Rakic,11,49.86666666666667,3,0.020053475935828877,0,972.0,1,1,0,0,214.0,3.9705882352941178,406,338,554,0.020053475935828877,10,100,287,43,52,55,67,139,330,0.6417112299465241,39,0.5414438502673796,37,117,254,220,360,2,18,63,188,14,24,40,42,80,205,26,34,11,15,4
Aleksei Oleinik,14,56.266666666666666,0,0.14218009478672985,3,1438.0,4,3,1,4,799.0,2.6481042654028437,336,282,482,0.1599526066350711,16,114,291,20,23,15,22,110,275,0.533175355450237,45,0.1599526066350711,16,176,326,303,454,9,13,130,270,26,35,20,21,91,227,32,39,53,60,3
Alex Perez,8,31.116666666666667,1,0.16068559185859668,0,732.0,0,0,0,0,57.0,4.884841992501339,332,228,415,0.2570969469737547,17,103,266,21,33,28,33,108,270,1.0283877878950187,46,0.38564542046063205,16,90,242,123,275,0,6,63,210,19,21,8,11,75,225,6,8,9,9,5
Alexander Volkanovski,9,41.28333333333333,3,0.07266855066612839,1,951.0,0,1,0,1,231.0,6.709729511505854,464,317,510,0.16955995155429957,18,216,383,33,45,28,36,133,247,0.7509083568833267,44,2.737182075090836,173,122,258,139,277,5,15,91,214,24,36,7,8,95,220,20,31,7,7,4
Alexander Volkov,15,71.63333333333334,1,0.0,0,400.0,1,1,0,2,2136.0,3.4341554211261047,433,439,647,0.05583992554676593,6,171,340,52,69,23,24,199,372,0.4746393671475104,47,0.1814797580269893,14,192,347,301,484,19,50,118,261,33,39,41,47,90,204,21,25,81,118,3
Alexandre Pantoja,10,46.8,2,0.021367521367521368,0,551.0,1,0,0,1,331.0,5.641025641025641,519,303,561,0.06410256410256411,4,164,378,57,90,43,51,209,450,0.8333333333333334,51,0.3418803418803419,18,188,431,219,466,4,25,151,379,14,21,23,31,163,390,19,32,6,9,3
Alexis Davis,23,108.01666666666667,0,0.05554698349020213,4,1984.0,5,0,1,1,1173.0,4.091961117111557,900,889,1425,0.03703132232680142,16,198,585,104,146,140,169,289,692,0.9165252275883351,142,0.4999228514118192,66,381,926,600,1183,12,20,301,819,46,60,34,47,295,799,49,86,37,41,4
Alistair Overeem,52,196.2,14,0.08664627930682978,0,2186.0,12,8,5,0,824.0,4.209989806320082,1312,1456,2017,0.11213047910295618,35,445,844,281,346,100,122,271,534,1.162079510703364,320,1.6666666666666667,458,461,1160,856,1623,17,57,337,988,97,127,27,45,206,701,125,229,130,230,22
Aljamain Sterling,30,141.43333333333334,0,0.03535234503888758,1,2602.0,2,3,1,1,1269.0,5.203865189724252,1443,1085,1814,0.12726844213999527,59,371,916,234,344,131,183,490,1108,0.8838086259721895,166,0.8555267499410794,169,301,894,473,1089,7,18,141,621,78,161,82,112,241,804,46,68,14,22,9
