Name,p(cluster_1),p(cluster_2),p(cluster_3),p(cluster_4),p(cluster_5)
Al Iaquinta,1.0,0.0,3.5889249191313166e-16,5.27888400285739e-22,0.0
Aleksandar Rakic,7.577970315708357e-18,0.0,4.2155127315464117e-13,0.9999999999995808,0.0
Aleksei Oleinik,1.0,0.0,2.9512119310528834e-87,1.5892117327439081e-105,0.0
Alex Perez,1.5717655164681105e-12,0.0,0.9999999999984297,2.619174108285045e-97,0.0
Alexander Volkanovski,3.1874996289543457e-10,0.0,0.9999999996812505,9.38456271502963e-42,0.0
Alexander Volkov,1.1130440880877677e-10,0.0,0.9999999998886935,7.154599352257369e-51,0.0
Alexandre Pantoja,1.0,0.0,5.139612540102256e-43,1.2953937252365788e-16,0.0
Alexis Davis,1.991807551598621e-123,0.0,0.0,0.0,1.0
Alistair Overeem,2.1747323379747093e-12,0.0,0.9999999999978257,1.017456964617325e-27,0.0
Aljamain Sterling,0.006943942744137078,0.0,1.6206408096278201e-43,0.9930560572558635,0.0
Amanda Nunes,1.5555244648932113e-83,1.0,8.523237191906521e-124,2.128095694397677e-251,0.0
Amanda Ribas,1.1852352236089962e-16,0.0,6.240784967706208e-36,1.0,0.0
Andrea Lee,2.0583901950137321e-10,0.0,0.9999999997941629,3.138100874544546e-61,0.0
Angela Hill,9.967679758813073e-21,0.0,3.3194992515643906e-42,2.882401686025512e-42,1.0
Anthony Pettis,1.0,0.0,7.758279096738873e-29,6.997435202547341e-36,0.0
Anthony Smith,1.0,0.0,4.061787721776176e-56,4.995531534433526e-30,0.0
Antonina Shevchenko,1.0,0.0,9.980425222990327e-30,7.146513362188884e-39,0.0
Arnold Allen,1.0,0.0,3.2809843076575745e-33,7.020433712622246e-37,0.0
Askar Askarov,3.632759978374186e-09,0.0,3.100244743906214e-33,0.9999999963672366,0.0
Aspen Ladd,4.303381951836484e-135,0.0,0.0,0.0,1.0
Augusto Sakai,3.590794797917419e-49,0.0,1.0,1.9200502214260727e-132,0.0
Beneil Dariush,1.0,0.0,5.092902990401682e-20,1.401879024826108e-17,0.0
Blagoy Ivanov,1.0,0.0,3.6401454902939905e-30,1.1651150089786842e-45,0.0
Brad Tavares,1.0,0.0,5.848608815906896e-21,6.350372942203775e-25,0.0
Brandon Moreno,0.9965970380220496,0.0,5.237428717037197e-19,0.003402961977951337,0.0
Brandon Royval,1.0,0.0,8.681277471555668e-174,4.036172495388383e-43,0.0
Brian Ortega,1.4611738763245733e-43,0.0,8.267358306987592e-80,2.3035761220341913e-271,1.0
Bryce Mitchell,5.384101931420329e-183,0.0,0.0,1.0,0.0
Calvin Kattar,1.2243416448714149e-29,0.0,1.1544235260399866e-47,2.866906326505897e-144,1.0
Carla Esparza,2.654037783056538e-27,0.0,5.404556002392824e-75,1.0,0.0
Chan Sung Jung,1.3545901981358478e-179,1.0,3.4604993356025734e-95,1.9442222714926284e-289,0.0
Charles Oliveira,1.0,0.0,2.0594519889480956e-27,4.3369811020264e-27,0.0
Chris Weidman,4.07677562031722e-08,0.0,2.9124189615699764e-22,0.9999999592322418,0.0
Ciryl Gane,1.0,0.0,6.959805716862248e-64,1.1860869146821696e-38,0.0
Claudia Gadelha,0.9999995108745511,0.0,1.2148890266566964e-24,4.891254487113155e-07,0.0
Cody Garbrandt,0.9999999999999929,0.0,9.239043582195411e-15,1.0363842866164782e-57,0.0
Cody Stamann,1.0,0.0,5.133321293693076e-16,3.604202539736188e-25,0.0
Colby Covington,1.7654745119036197e-26,0.0,1.7540973879947235e-49,1.0,0.0
Conor McGregor,9.655368105975675e-98,1.0,4.319280858214078e-106,1.1375354932702331e-190,0.0
Cory Sandhagen,1.3816909449786423e-25,0.0,1.0,3.6213703447092537e-141,0.0
Curtis Blaydes,8.16111687729779e-27,0.0,1.0670426372256763e-208,1.0,0.0
Cynthia Calvillo,1.0,0.0,2.7733744766387286e-26,7.850926922855305e-30,0.0
Dan Hooker,4.4355057751537095e-07,0.0,0.9999995564494231,1.7457197431808912e-57,0.0
Dan Ige,6.431399700808479e-60,0.0,1.0,1.2921394935444997e-27,0.0
Darren Till,0.9999999999999787,0.0,3.731499202462834e-40,2.3686865666131905e-14,0.0
David Dvorak,1.0,0.0,3.3763591164031706e-27,1.5982630137699183e-34,0.0
Deiveson Figueiredo,1.0,0.0,1.5405944045435442e-52,1.5300644318938846e-72,0.0
Demian Maia,2.427270309492304e-12,0.0,4.3403767064815903e-20,0.9999999999975699,0.0
Derek Brunson,1.3265855345859284e-07,0.0,0.9999998673414455,3.8991709721139446e-87,0.0
