,M_NAME,Cluster,0,1,2,3,4,,,,,,
0,Al Iaquinta,4,0.207295006,0.229554376,0.136590502,0.152361493,0.274198624,,0.320229866,0.371569689,0.602000295,0.627566889,0.326528456
1,Aleksandar Rakic,3,0.186739613,0.147210167,0.202139628,0.262779708,0.201130884,,,,,,
2,Aleksei Oleinik,2,0.221637312,0.15417376,0.275056279,0.213932049,0.135200601,,,,,,
3,Alex Perez,2,0.250048886,0.134750882,0.256425791,0.15608027,0.20269417,,,,,,
4,Alexander Volkanovski,3,0.21662823,0.186973075,0.145710414,0.249805067,0.200883214,,,,,,
5,Alexander Volkov,0,0.270591082,0.15558577,0.16982999,0.143411566,0.260581592,,,,,,
6,Alexandre Pantoja,1,0.176255938,0.226903268,0.205208082,0.19198415,0.199648563,,,,,,
7,Alexis Davis,4,0.193257602,0.161279102,0.178379199,0.14055564,0.326528456,,,,,,
8,Alistair Overeem,2,0.172692217,0.188782565,0.311308153,0.12850243,0.198714635,,,,,,
9,Aljamain Sterling,2,0.218173792,0.122903885,0.264865151,0.194226684,0.199830488,,,,,,
10,Amanda Nunes,4,0.217225635,0.209873114,0.160975772,0.187752824,0.224172656,,,,,,
11,Amanda Ribas,0,0.248020246,0.090030481,0.218401246,0.221831847,0.22171618,,,,,,
12,Andrea Lee,4,0.219577962,0.131569027,0.187626316,0.178597665,0.28262903,,,,,,
13,Angela Hill,1,0.214712813,0.235138764,0.143270321,0.184706892,0.22217121,,,,,,
14,Anthony Pettis,3,0.170731825,0.18918884,0.220078549,0.222887367,0.197113419,,,,,,
15,Anthony Smith,1,0.18087127,0.245203824,0.224231825,0.175823419,0.173869662,,,,,,
16,Antonina Shevchenko,4,0.195242119,0.168562897,0.189993463,0.170092843,0.276108678,,,,,,
17,Arnold Allen,4,0.19020296,0.1441875,0.092487551,0.269823704,0.303298286,,,,,,
18,Askar Askarov,3,0.231818398,0.179633068,0.118427329,0.288820916,0.181300289,,,,,,
19,Aspen Ladd,3,0.086453153,0.290464772,0.068455034,0.460704139,0.093922902,,,,,,
20,Augusto Sakai,4,0.170037685,0.188932663,0.18133349,0.207422113,0.25227405,,,,,,
21,Beneil Dariush,2,0.201211199,0.203889589,0.211797693,0.188464293,0.194637227,,,,,,
22,Blagoy Ivanov,4,0.192072347,0.227020777,0.155841021,0.174962217,0.250103639,,,,,,
23,Brad Tavares,1,0.177182565,0.23681292,0.157820982,0.220572076,0.207611457,,,,,,
24,Brandon Moreno,4,0.201382834,0.145097316,0.209556077,0.198296026,0.245667747,,,,,,
25,Brandon Royval,3,0.115119114,0.074524791,0.098747986,0.573684837,0.137923271,,,,,,
26,Brian Ortega,1,0.199259154,0.238055989,0.141401337,0.222359374,0.198924145,,,,,,
27,Bryce Mitchell,0,0.229830079,0.142683652,0.191689028,0.223368987,0.212428254,,,,,,
28,Calvin Kattar,4,0.172333479,0.198782986,0.150797433,0.213008827,0.265077276,,,,,,
29,Carla Esparza,4,0.20592934,0.139419055,0.221507231,0.180432799,0.252711575,,,,,,
30,Chan Sung Jung,3,0.110085729,0.273087337,0.082076595,0.34280576,0.191944578,,,,,,
31,Charles Oliveira,2,0.212723949,0.152159439,0.312039505,0.135778343,0.187298764,,,,,,
32,Chris Weidman,2,0.15295791,0.249096339,0.267569798,0.146408317,0.183967637,,,,,,
