M_NAME,M_RES,M_KD,M_SIG_STR,M_TOTAL_STR,M_TD,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Method_DQ,Method_Decision - Majority,Method_Decision - Split,Method_Decision - Unanimous,Method_KO/TKO,Method_Submission,Method_TKO - Doctor's Stoppage
Aalon Cruz,0,0,1.411764706,1.411764706,0,0,0,0.083333333,1.411764706,0,0,1.411764706,0,0,0.705882353,0,14.11764706,20.47058824,0,0,0,0.116666667,13.41176471,0,0.705882353,1.411764706,2.823529412,9.882352941,0,0,0,0,1,0,0
Aaron Brink,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,1.090909091,0,2.181818182,2.181818182,1.090909091,2.181818182,0,0.216666667,1.090909091,0,1.090909091,2.181818182,0,0,0,0,0,0,0,1,0
Aaron Phillips,0,0,1.511705024,7.845137342,0,0.022222222,0.022222222,0.405555556,0.666765652,0.756050483,0.088888889,0.73382826,0.488987874,0.288888889,0.088987874,0,3.513981688,6.648601831,0.378074734,0.066765652,0.022222222,9.494444444,2.601880723,0.578272705,0.33382826,0.711804009,0.822816135,1.979361544,0,0,0,0.666666667,0,0.333333333,0
Aaron Riley,0.333333333,0,3.260552468,5.373355236,0.088888889,0.007407407,0,2.068518519,1.187722671,0.97299407,1.099835728,2.194629105,0.888145585,0.177777778,0.222308436,0.158922559,4.556601773,5.639031608,0.081481481,0,0,0.751851852,3.0739832,1.18463062,0.297987953,3.035082078,0.985492759,0.536026936,0,0,0.111111111,0.444444444,0.111111111,0,0.333333333
Aaron Rosa,0.4,0,3.249721681,10.23816786,0.044609665,0.044609665,0,0.333333333,1.854071329,1.074744004,0.320906348,1.535494404,1.535788615,0.178438662,0.135005088,0.023762376,5.555306035,9.930495479,0.054588421,0,0,4.433333333,3.860894421,0.585879186,1.108532428,2.594761933,1.883363274,1.077180828,0,0.2,0,0,0.6,0.2,0
Aaron Simpson,0.666666667,0.375414883,4.739183424,7.549935596,0.269358391,0.03528534,0,4.458333333,3.259898634,0.76201485,0.71726994,1.565381869,1.345173339,1.828628217,0.03528534,0.015197568,2.411627749,3.676873175,0.027777778,0.011111111,0.005555556,1.354166667,1.623165826,0.325807742,0.462654181,1.315902786,0.913650314,0.18207465,0,0,0.166666667,0.416666667,0.416666667,0,0
Aaron Wetherspoon,0,0,2.266666667,2.266666667,0,0,0,,1.266666667,0.6,0.4,2.2,0.066666667,0,0.066666667,0,4.333333333,6.266666667,0.133333333,0,0,,2.8,0.8,0.733333333,2.666666667,0.266666667,1.4,0,0,0,1,0,0,0
Aaron Wilkinson,0,0,0,0,0.487804878,0,0.487804878,1.066666667,0,0,0,0,0,0,0.487804878,0,0,3.902439024,0.487804878,0.975609756,0.975609756,0.866666667,0,0,0,0,0,0,0,0,0,0,0,1,0
Abdul Razak Alhassan,0.666666667,0.880962915,8.581915242,9.202928964,0.049425287,0,0.011111111,0.666666667,7.105339409,0.874302771,0.602273062,6.83969423,1.176183277,0.566037736,0.022222222,0,4.820933496,5.641614712,0.155163975,0,0,1.963888889,2.889192747,1.489595156,0.442145594,3.197038966,1.232323649,0.391570881,0,0,0.166666667,0.166666667,0.666666667,0,0
Abdul-Kerim Edilov,1,0,10.22123894,19.91150442,0.265486726,0.132743363,0,5.516666667,7.831858407,2.123893805,0.265486726,1.194690265,0.796460177,8.230088496,0,0,0.132743363,0.92920354,0,0,0,0,0.132743363,0,0,0.132743363,0,0,0,0,0,0,1,0,0
Abel Trujillo,0.6,0.035201819,2.414071137,3.54785135,0.151188628,0.05269109,0,1.73,1.60651803,0.654380285,0.153172822,1.089006151,0.661203944,0.663861042,0.033311778,0.006666667,2.070735484,3.186845056,0.340288583,0.128885623,0,2.771666667,1.400552657,0.300559777,0.36962305,1.337888384,0.408224745,0.324622356,0.057142857,0,0,0.3,0.3,0.3,0
Abner Lloveras,0,0,6.266666667,6.6,0.133333333,0,0,2.85,3.666666667,2.2,0.4,5.066666667,1.2,0,0.066666667,0,6.866666667,9,0,0,0,0.5,2.8,1.466666667,2.6,5.4,1.466666667,0,0,0,0,1,0,0,0
Abongo Humphrey,0.25,0,1.726797779,2.222073369,0.075721785,0.312341005,0.029527559,1.283333333,0.691003777,0.343691555,0.692102446,1.366439557,0.330830662,0.029527559,0.083882668,0.037688442,4.893493183,7.968210602,0.367989098,0.046194226,0.029527559,1.416666667,2.575467865,0.991713818,1.326311499,2.73477528,1.582072436,0.576645467,0,0,0,0.25,0.25,0.5,0
Abu Azaitar,1,0,3.2,9,0.066666667,0,0.066666667,3.3,2.2,0.733333333,0.266666667,2,0.333333333,0.866666667,0,0,1.266666667,4.2,0.2,0.066666667,0.066666667,4.95,0.666666667,0.2,0.4,0.8,0.2,0.266666667,0,0,0,1,0,0,0
Abubakar Nurmagomedov,0,0,1.411764706,7.764705882,0.352941176,0,0,1.833333333,1.058823529,0,0.352941176,1.411764706,0,0,0.352941176,0,0.705882353,8.823529412,0,0.705882353,0,0,0,0.352941176,0.352941176,0.705882353,0,0,0,0,0,0,0,1,0
Adam Cella,0,0,0.628272251,1.256544503,0,0,0,0,0.314136126,0,0.314136126,0.628272251,0,0,0.314136126,0,1.884816754,5.02617801,0.314136126,0.314136126,0,2.35,1.570680628,0,0.314136126,0.628272251,0,1.256544503,0,0,0,0,0,1,0
Adam Lynn,0,0,1.473684211,4,0,0,0,,0.210526316,0.421052632,0.842105263,0.210526316,1.263157895,0,0.210526316,0.210526316,6.947368421,8.210526316,0.210526316,0,0,,1.894736842,4.842105263,0.210526316,0.631578947,4.842105263,1.473684211,0,0,0,0,1,0,0
Adam Milstead,0.333333333,0,4.550384774,6.268739294,0,0,0,0.111111111,3.525469651,0.541639904,0.483275219,3.720887475,0.621606079,0.207891219,0.133954066,0.223463687,6.663500128,10.41696103,0.044444444,0,0,4.016666667,4.695288285,1.382127495,0.586084348,4.274339195,0.824915123,1.56424581,0,0,0.333333333,0,0.666666667,0,0
Adam Wieczorek,0.666666667,0,1.709413949,2.979368868,0.022222222,0.047732697,0,1.477777778,0.673243172,0.568708565,0.467462212,1.210660302,0.292177141,0.206576505,0.022222222,0,1.762927605,4.538106603,0.206576505,0,0,6.877777778,0.962927605,0.511111111,0.288888889,0.838663484,0.269954919,0.654309202,0,0,0,0.666666667,0,0.333333333,0
Adam Yandiev,0,0,0.175438596,0.175438596,0,0,0,0,0,0,0.175438596,0.175438596,0,0,0.175438596,0,6.140350877,9.649122807,0.526315789,0.350877193,0,3.583333333,5.789473684,0.175438596,0.175438596,0.526315789,0.350877193,5.263157895,0,0,0,0,0,1,0
Adlan Amagov,0.8,0.145614035,4.380935673,7.094502924,0.381169591,0,0,1.4,2.569356725,0.990350877,0.82122807,1.520350877,0.466666667,2.393918129,0.111111111,0.111111111,1.315789474,1.727017544,0,0,0,0.175,0.916842105,0.158947368,0.24,0.522339181,0.237894737,0.555555556,0,0,0,0.2,0.8,0,0
Adrian Serrano,0,0,0.6,5.5,0,0,0.1,3.116666667,0.2,0.4,0,0.3,0.3,0,0.1,0,2.6,5.1,0.3,0,0,2,1.5,0.5,0.6,2.1,0.3,0.2,0,0,0,1,0,0,0
Adrian Yanez,1,0.361445783,6.144578313,6.506024096,0,0,0,0.083333333,5.421686747,0.722891566,0,5.78313253,0.361445783,0,0,0,2.168674699,3.253012048,0,0,0,0.9,1.807228916,0.361445783,0,2.168674699,0,0,0,0,0,0,1,0,0
Adriano Martins,0.571428571,0.141652807,2.129484068,2.639964666,0.046847396,0.031483099,0,0.892857143,1.48559825,0.131018378,0.512867441,1.938965732,0,0.190518336,0.053343186,0.043819377,2.483588965,2.511388741,0.030612245,0,0,0.038095238,0.757788922,0.771111594,0.954688448,2.438127082,0.019047619,0.026414264,0,0,0.285714286,0,0.571428571,0.142857143,0
Adriano Santos,0,0,1.222222222,2.333333333,0.222222222,0,0.111111111,,0.888888889,0.222222222,0.111111111,0.444444444,0,0.777777778,0.111111111,0,3.444444444,5.888888889,0.444444444,0,0,,2.888888889,0.111111111,0.444444444,1.222222222,0.111111111,2.111111111,0,0,0,0,1,0,0
Aiemann Zahabi,0.333333333,0.022222222,2.881337047,2.953636645,0.022222222,0,0.027855153,0.833333333,2.2362736,0.489507892,0.155555556,2.597462086,0.217208295,0.066666667,0.050077375,0.027855153,3.903249768,4.186815227,0.128009904,0,0,1,2.124543485,0.794676571,0.984029712,3.658495822,0.088888889,0.155865057,0,0,0,0.666666667,0.333333333,0,0
Aisling Daly,0.666666667,0,3.003261282,8.349488055,0.157148275,0.090481608,0,7.033333333,2.176260903,0.693667046,0.133333333,0.585741373,0.714296549,1.70322336,0.022222222,0,1.64133485,4.996890406,0.134926052,0.022222222,0,3.25,0.941296928,0.314296549,0.385741373,0.742889647,0.674630262,0.223814941,0,0,0,0.666666667,0,0.333333333,0
Akbarh Arreola,0.25,0.158928571,3.198809524,4.298809524,0.167261905,0.133928571,0,0.725,1.929761905,0.676190476,0.592857143,2.0625,0.301190476,0.835119048,0.058333333,0,3.90297619,6.05297619,0.075,0,0,4.5875,2.300595238,0.333333333,1.269047619,1.685714286,0.658928571,1.558333333,0,0,0,0.5,0,0.25,0.25
Akihiro Gono,0.333333333,0.04008016,2.482164329,3.252015141,0.106746827,0.04008016,0.022222222,1.905555556,0.804765086,0.738499221,0.938900022,2.001603206,0.253573814,0.226987308,0.044444444,0,3.398040525,6.504787352,0.088888889,0.044444444,0,3.761111111,1.427788911,1.06746827,0.902783344,2.103584948,1.005566689,0.288888889,0,0,0.333333333,0.333333333,0,0.333333333,0
Akira Corassani,0.5,0,3.196440843,3.411651199,0.022222222,0,0,0.822222222,2.139344392,0.480431874,0.576664577,2.900809968,0.295630875,0,0.130139476,0.141250587,6.746485238,8.894860085,0.411111111,0.029239766,0,1.588888889,5.404256227,0.900084391,0.44214462,3.77113677,1.857388655,1.117959813,0.4,0,0.166666667,0.166666667,0.5,0,0
Akitoshi Tamura,0.333333333,0,3.712312312,5.294294294,0,0.066966967,0,1.75,0.8,1.845345345,1.066966967,2.756756757,0.955555556,0,0.044744745,0.022222222,1.936636637,5.065465465,0.08978979,0.022522523,0,7.933333333,1.425525526,0.355555556,0.155555556,1.400600601,0.222222222,0.313813814,0,0,0.333333333,0.333333333,0,0.333333333,0
Al Iaquinta,0.642857143,0.12779063,4.393912189,4.713139244,0.048914196,0.028771509,0,0.817857143,3.077444537,0.720722252,0.595745401,3.846831079,0.263342841,0.283738269,0.048143952,0.01047619,3.955792483,4.507734102,0.070424865,0.050048714,0,1.89047619,2.825752828,0.559036544,0.571003111,3.549125817,0.04952381,0.357142857,0,0,0.071428571,0.5,0.285714286,0.142857143,0
Alan Baudot,0,0,1.894736842,3.157894737,0,0,0,0,0.631578947,0,1.263157895,1.894736842,0,0,0.631578947,0,10.10526316,10.73684211,0.631578947,0,0,0.5,9.473684211,0,0.631578947,2.526315789,0,7.578947368,0,0,0,0,1,0,0
Alan Belcher,0.6,0.031531126,3.085697587,4.408955953,0.036829125,0.125187216,0.012365237,1.752222222,2.061036534,0.463621136,0.561039917,1.759244978,0.450908982,0.875543628,0.041605331,0,3.347512271,5.589492969,0.131298931,0.06868998,0.005228758,2.544444444,2.619149735,0.435368392,0.292994144,2.335821812,0.66836417,0.343326288,0,0,0.133333333,0.2,0.333333333,0.266666667,0.066666667
Alan Jouban,0.583333333,0.105660283,5.632083724,6.108502539,0.022222222,0,0,0.652777778,3.415291324,1.228265492,0.988526908,3.987328712,1.233046286,0.411708727,0.10221033,0.082203907,3.897455683,4.596264149,0.087165978,0.020006423,0,1.015277778,2.671194133,0.72382762,0.50243393,2.880855394,0.639577426,0.377022863,0,0,0.083333333,0.333333333,0.5,0.083333333,0
Alan Omer,0,0,3.431193533,5.937660485,0.118925345,0,0,3.233333333,2.255492154,0.547313362,0.628388017,1.722586781,1.118497385,0.590109368,0.076129339,0.033333333,2.184308131,4.645601522,0.109462672,0.042796006,0,4.325,1.522586781,0.295054684,0.366666667,1.236994769,0.442796006,0.504517356,0,0,0.5,0,0,0.5,0
Alan Patrick,0.625,0.032051282,2.059512446,4.082247801,0.215384615,0.016666667,0,5.23125,1.333805914,0.418505521,0.307201011,1.312268389,0.253654314,0.493589744,0.03668819,0.028354857,2.657725061,4.726553434,0.050790754,0.025,0,2.05,1.644773535,0.745428598,0.267522927,1.460452929,0.495129141,0.702142991,0,0,0,0.625,0.375,0,0
Albert Cheng,0,0,1,1,0,0,0,0.1,0.8,0.2,0,1,0,0,0.2,0,2.6,3,0,0,0,0.533333333,2,0,0.6,2.6,0,0,0,0,0,0,0,0,1
Albert Morales,0.2,0,3.207391863,4.685449258,0.0700501,0,0.026490066,2.4,2.136788163,0.326943467,0.743660233,2.768628066,0.106666667,0.33209713,0.083383433,0.043560034,3.957175505,6.304753199,0.066490066,0.106136865,0.052980132,3.353333333,2.984681802,0.564466835,0.408026868,3.091568441,0.08,0.785607064,0,0,0.2,0.4,0.2,0.2,0
Albert Tumenov,0.625,0.344511703,3.761937341,3.946295002,0.008333333,0,0.008333333,0.341666667,3.091165741,0.555865496,0.114906103,3.167632529,0.239542907,0.354761905,0.033087921,0,2.918507191,3.452704801,0.092445583,0.024754588,0,1.972916667,1.642074765,0.714369137,0.562063289,2.402656023,0.195396622,0.320454545,0,0,0.25,0.125,0.375,0.25,0
Alberta Cerra Leon,0,0,0.101522843,0.913705584,0,0,0,,0.101522843,0,0,0.101522843,0,0,0.101522843,0,0.406091371,2.030456853,0.101522843,0.101522843,0,,0.406091371,0,0,0,0,0.406091371,0,0,0,0,0,1,0
Alberto Crane,0,0.072289157,0.458170711,1.459019175,0,0.271338877,0.084507042,2.25,0.21686747,0.156796199,0.084507042,0.458170711,0,0,0.114542678,0,2.761242152,6.773290344,0.072289157,0,0,4.283333333,2.218564398,0.241303241,0.301374512,1.283387069,0.072289157,1.405565926,0,0,0,0,1,0,0
Alberto Mina,0.75,0.114820224,3.971040572,4.958836056,0.129575597,0,0.058365759,1.058333333,3.078426344,0.406584167,0.486030062,2.679227948,0.35843061,0.933382014,0.016666667,0,3.838914118,5.025268434,0.108365759,0.039787798,0,1.825,3.042607004,0.283398184,0.51290893,3.097085324,0.375162127,0.366666667,0,0,0.25,0.25,0.5,0,0
