,M_NAME,Cluster
0,Anderson Silva,1
1,Andrei Arlovski,1
2,Artem Lobov,1
3,BJ Penn,2
4,Brock Lesnar,4
5,Cain Velasquez,0
6,Carlos Condit,1
7,Chad Mendes,4
8,Cub Swanson,1
9,Daniel Cormier,4
10,Eddie Alvarez,3
11,Frank Mir,1
12,Georges St-Pierre,4
13,Henry Cejudo,2
14,Jon Jones,4
15,Kron Gracie,1
16,Luke Rockhold,2
17,Lyoto Machida,1
18,Matt Hughes,4
19,Matt Serra,4
20,Mauricio Rua,1
21,Nick Diaz,2
22,Ovince Saint Preux,1
23,Paul Felder,1
24,Michael Bisping,1
25,Quinton Jackson,1
26,Randy Couture,4
27,Rashad Evans,4
28,Rory MacDonald,1
29,Royce Gracie,1
