Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
8,Decision - Unanimous,2,480,1,David Abbott,0,13,41%,69,3,75%,0,0,,13,0,0,6,0,7,0,Yoji Anjo,0,9,100%,29,0,0%,1,0,,1,1,7,8,1,0,0.0
9,Submission,1,488,0,David Abbott,1,5,22%,17,0,,0,0,,5,0,0,1,2,2,1,Maurice Smith,0,12,92%,38,0,,1,0,,7,0,5,5,1,6,0.0
106,Decision - Unanimous,3,900,1,Heili Alateng,0,36,40%,63,3,42%,0,0,171.0,35,1,0,33,0,3,0,Batgerel Danaa,0,85,36%,119,0,0%,0,0,6.0,74,6,5,68,5,12,0.0
330,KO/TKO,1,263,1,Sam Alvey,2,10,52%,14,1,100%,0,0,101.0,3,1,6,9,1,0,0,Marcin Prachnio,0,15,62%,36,0,,0,0,14.0,3,4,8,12,3,0,0.0
370,KO/TKO,1,174,1,Eryk Anders,1,23,79%,23,1,50%,0,0,46.0,22,1,0,10,2,11,0,Rafael Natal,0,14,60%,15,0,0%,0,0,0.0,8,2,4,13,1,0,0.0
401,Decision - Unanimous,3,900,1,Jessica Andrade,0,141,58%,242,4,57%,0,0,515.0,83,50,8,45,18,78,0,Claudia Gadelha,0,42,46%,47,0,0%,2,0,8.0,41,1,0,30,9,3,0.0
473,Decision - Unanimous,3,900,0,Viviane Araujo,0,56,45%,69,2,28%,0,0,103.0,39,7,10,51,2,3,1,Jessica Eye,0,98,50%,100,0,0%,0,0,13.0,40,29,29,91,7,0,0.0
655,Decision - Unanimous,3,900,1,Ryan Bader,0,24,42%,87,5,71%,2,0,606.0,17,1,6,9,1,14,0,Carmelo Marrero,0,9,20%,20,0,,0,0,61.0,6,0,3,8,0,1,0.0
668,Submission,1,270,0,Mehdi Baghdad,0,1,20%,2,0,,0,0,0.0,1,0,0,0,0,1,1,Chris Wade,0,5,38%,40,2,100%,1,0,256.0,4,0,1,1,0,4,0.0
694,KO/TKO,1,39,0,Humberto Bandenay,0,2,100%,2,0,,1,0,0.0,1,0,1,2,0,0,1,Gabriel Benitez,1,9,47%,9,1,100%,0,0,24.0,7,1,1,2,0,7,0.0
844,Decision - Unanimous,3,900,1,Enrique Barzola,0,46,31%,94,9,60%,1,0,350.0,33,7,6,36,7,3,0,Gabriel Benitez,0,51,33%,67,0,,0,1,0.0,33,12,6,49,1,1,0.0
922,KO/TKO,1,205,0,Vitor Belfort,0,6,40%,6,0,,0,0,3.0,4,0,2,5,1,0,1,Anderson Silva,1,6,60%,6,0,,0,0,5.0,4,0,2,3,1,2,0.0
953,Decision - Unanimous,3,900,1,Marco Beltran,0,31,50%,70,1,25%,0,1,348.0,22,4,5,10,6,15,0,Marlon Vera,0,25,44%,30,1,100%,2,0,360.0,20,5,0,7,2,16,0.0
