,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Majority,3,15:00,L,Niklas Backstrom,0,11 of 31,35%,23 of 46,4 of 5,80%,1,1,5:40,5 of 19,5 of 11,1 of 1,8 of 26,3 of 5,0 of 0,W,Noad Lahat,0,62 of 100,62%,105 of 148,1 of 3,33%,1,3,4:12,49 of 82,9 of 13,4 of 5,19 of 40,25 of 34,18 of 26
1,KO/TKO,1,1:19,L,Niklas Backstrom,0,7 of 12,58%,7 of 12,0 of 0,---,0,0,0:00,4 of 9,0 of 0,3 of 3,5 of 10,2 of 2,0 of 0,W,Mike Wilkinson,1,6 of 15,40%,7 of 16,0 of 1,0%,0,0,0:02,4 of 12,0 of 1,2 of 2,3 of 10,0 of 0,3 of 5
2,Submission,1,4:15,W,Niklas Backstrom,0,5 of 12,41%,6 of 13,0 of 0,---,2,0,0:39,3 of 8,1 of 3,1 of 1,2 of 6,1 of 2,2 of 4,L,Tom Niinimaki,0,7 of 11,63%,11 of 16,2 of 7,28%,0,0,2:48,4 of 8,3 of 3,0 of 0,2 of 6,3 of 3,2 of 2
3,KO/TKO,1,0:08,L,Seth Baczynski,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 3,0 of 1,0 of 0,0 of 4,0 of 0,0 of 0,W,Leon Edwards,1,3 of 3,100%,3 of 3,0 of 0,---,0,0,0:02,3 of 3,0 of 0,0 of 0,1 of 1,0 of 0,2 of 2
4,KO/TKO,1,4:23,L,Seth Baczynski,0,25 of 65,38%,27 of 68,1 of 2,50%,0,0,0:43,23 of 60,2 of 5,0 of 0,15 of 45,8 of 16,2 of 4,W,Alan Jouban,1,25 of 43,58%,26 of 44,0 of 0,---,0,0,0:17,15 of 32,5 of 6,5 of 5,14 of 28,9 of 13,2 of 2
5,Decision - Unanimous,3,15:00,L,Seth Baczynski,0,90 of 335,26%,91 of 336,0 of 8,0%,0,0,0:47,55 of 283,21 of 36,14 of 16,87 of 328,3 of 7,0 of 0,W,Thiago Alves,0,116 of 236,49%,120 of 240,0 of 1,0%,0,0,0:04,45 of 156,19 of 22,52 of 58,106 of 220,10 of 16,0 of 0
6,Decision - Unanimous,3,15:00,W,Seth Baczynski,0,28 of 70,40%,46 of 91,3 of 11,27%,0,0,8:25,10 of 46,14 of 19,4 of 5,12 of 38,8 of 14,8 of 18,L,Neil Magny,0,31 of 65,47%,104 of 143,2 of 3,66%,0,0,2:21,11 of 41,11 of 11,9 of 13,8 of 31,20 of 27,3 of 7
7,KO/TKO,1,4:59,L,Seth Baczynski,0,13 of 54,24%,14 of 55,0 of 1,0%,0,0,0:16,8 of 47,1 of 3,4 of 4,11 of 52,2 of 2,0 of 0,W,Brian Melancon,1,24 of 42,57%,30 of 48,1 of 1,100%,0,0,1:40,17 of 34,3 of 4,4 of 4,14 of 28,0 of 0,10 of 14
8,Decision - Unanimous,3,15:00,L,Seth Baczynski,0,34 of 106,32%,94 of 185,0 of 0,---,0,0,0:11,24 of 95,7 of 8,3 of 3,33 of 103,1 of 3,0 of 0,W,Mike Pierce,0,16 of 48,33%,51 of 93,6 of 12,50%,0,0,10:04,16 of 48,0 of 0,0 of 0,10 of 35,3 of 4,3 of 9
9,KO/TKO,1,4:10,W,Seth Baczynski,1,15 of 78,19%,15 of 78,0 of 0,---,0,0,0:02,12 of 69,3 of 6,0 of 3,12 of 74,2 of 3,1 of 1,L,Simeon Thoresen,0,17 of 54,31%,17 of 54,0 of 0,---,0,0,0:00,9 of 45,4 of 5,4 of 4,15 of 52,2 of 2,0 of 0
10,Decision - Split,3,15:00,W,Seth Baczynski,0,25 of 70,35%,50 of 109,1 of 5,20%,0,0,3:47,19 of 60,6 of 10,0 of 0,11 of 45,8 of 11,6 of 14,L,Lance Benoist,0,35 of 64,54%,114 of 150,3 of 7,42%,0,0,6:30,15 of 38,17 of 20,3 of 6,19 of 41,7 of 11,9 of 12
11,Submission,2,5:42,W,Seth Baczynski,0,17 of 49,34%,22 of 55,1 of 5,20%,1,0,2:43,14 of 41,3 of 4,0 of 4,8 of 34,7 of 13,2 of 2,L,Matt Brown,0,19 of 34,55%,28 of 43,1 of 1,100%,0,1,0:56,4 of 15,13 of 15,2 of 4,8 of 22,11 of 12,0 of 0
12,Submission,2,6:12,W,Seth Baczynski,1,41 of 107,38%,45 of 111,0 of 2,0%,1,0,2:32,25 of 78,10 of 22,6 of 7,14 of 67,19 of 26,8 of 14,L,Clay Harvison,0,12 of 27,44%,18 of 33,0 of 0,---,0,0,0:00,2 of 14,5 of 6,5 of 7,8 of 21,4 of 6,0 of 0
13,Decision - Unanimous,3,15:00,L,Seth Baczynski,0,22 of 44,50%,46 of 71,0 of 2,0%,3,0,1:46,16 of 32,3 of 7,3 of 5,6 of 18,7 of 13,9 of 13,W,Brad Tavares,0,18 of 34,52%,54 of 74,3 of 6,50%,0,1,11:33,13 of 29,4 of 4,1 of 1,6 of 16,1 of 3,11 of 15
14,KO/TKO,3,13:51,W,Ryan Bader,0,86 of 116,74%,129 of 164,5 of 5,100%,1,0,11:20,74 of 103,8 of 9,4 of 4,9 of 25,0 of 0,77 of 91,L,Rogerio Nogueira,0,3 of 12,25%,12 of 23,0 of 0,---,0,0,0:00,3 of 12,0 of 0,0 of 0,3 of 12,0 of 0,0 of 0
15,KO/TKO,2,7:06,W,Ryan Bader,1,13 of 34,38%,15 of 36,0 of 1,0%,0,0,0:02,12 of 31,1 of 3,0 of 0,13 of 34,0 of 0,0 of 0,L,Ilir Latifi,1,9 of 30,30%,11 of 32,0 of 5,0%,0,0,0:26,6 of 23,3 of 6,0 of 1,6 of 23,2 of 5,1 of 2
16,KO/TKO,1,1:26,L,Ryan Bader,0,0 of 0,---,0 of 0,0 of 1,0%,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Anthony Johnson,0,11 of 13,84%,13 of 15,0 of 0,---,0,0,1:13,11 of 13,0 of 0,0 of 0,0 of 0,0 of 0,11 of 13
