,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,0:25,L,Sarah D'alelio,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,--,1 of 3,0 of 0,0 of 0,0 of 1,1 of 2,0 of 0,W,Ronda Rousey,0,0 of 2,0%,0 of 2,0 of 1,0%,1,0,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
1,KO/TKO,1,4:45,L,Henrique da Silva,0,20 of 45,44%,21 of 46,0 of 1,0%,0,0,0:32,16 of 40,4 of 5,0 of 0,12 of 37,8 of 8,0 of 0,W,Gokhan Saki,2,40 of 66,60%,40 of 66,0 of 0,---,0,0,0:09,35 of 60,2 of 3,3 of 3,39 of 65,1 of 1,0 of 0
2,KO/TKO,1,0:22,L,Henrique da Silva,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,W,Ion Cutelaba,1,15 of 18,83%,15 of 18,0 of 0,---,0,0,0:09,15 of 18,0 of 0,0 of 0,4 of 6,0 of 0,11 of 12
3,Decision - Unanimous,3,15:00,L,Henrique da Silva,0,22 of 43,51%,30 of 53,0 of 0,---,0,0,0:20,9 of 27,8 of 9,5 of 7,17 of 33,4 of 8,1 of 2,W,Jordan Johnson,0,39 of 67,58%,106 of 162,4 of 5,80%,2,0,9:41,36 of 64,2 of 2,1 of 1,23 of 48,3 of 3,13 of 16
4,Submission,2,6:59,L,Henrique da Silva,0,16 of 24,66%,23 of 33,1 of 3,33%,0,0,3:21,7 of 13,7 of 7,2 of 4,6 of 14,10 of 10,0 of 0,W,Paul Craig,0,31 of 49,63%,57 of 75,1 of 2,50%,3,0,2:08,21 of 37,9 of 11,1 of 1,14 of 27,12 of 16,5 of 6
5,Submission,2,9:43,W,Henrique da Silva,0,44 of 76,57%,53 of 85,0 of 0,---,1,1,2:53,17 of 44,23 of 27,4 of 5,25 of 49,16 of 20,3 of 7,L,Joachim Christensen,1,50 of 124,40%,96 of 177,0 of 0,---,0,0,2:48,42 of 114,4 of 6,4 of 4,27 of 88,11 of 18,12 of 18
6,KO/TKO,2,9:11,W,Henrique da Silva,0,81 of 136,59%,97 of 153,0 of 0,---,0,1,1:31,55 of 101,21 of 30,5 of 5,25 of 62,25 of 39,31 of 35,L,Jonathan Wilson,1,66 of 97,68%,71 of 102,1 of 1,100%,0,0,1:22,53 of 82,13 of 15,0 of 0,46 of 73,14 of 17,6 of 7
7,Decision - Unanimous,3,15:00,L,Alex Da Silva,0,54 of 112,48%,70 of 133,3 of 9,33%,1,1,5:17,35 of 91,10 of 12,9 of 9,49 of 105,4 of 6,1 of 1,W,Brad Riddell,0,67 of 166,40%,86 of 185,1 of 6,16%,0,0,1:24,47 of 142,13 of 16,7 of 8,61 of 158,5 of 7,1 of 1
8,Decision - Unanimous,3,15:00,W,Alex Da Silva,0,17 of 39,43%,88 of 130,3 of 4,75%,0,0,12:01,14 of 35,1 of 2,2 of 2,7 of 28,1 of 1,9 of 10,L,Kazula Vargas,0,20 of 42,47%,59 of 92,0 of 1,0%,0,1,0:18,16 of 37,2 of 3,2 of 2,13 of 34,0 of 0,7 of 8
9,Submission,2,8:10,L,Alex Da Silva,0,8 of 19,42%,10 of 23,1 of 3,33%,0,0,4:29,3 of 14,3 of 3,2 of 2,2 of 11,3 of 3,3 of 5,W,Alexander Yakovlev,0,14 of 19,73%,18 of 23,1 of 2,50%,1,0,2:13,9 of 14,4 of 4,1 of 1,2 of 6,5 of 5,7 of 8
