,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,2,10:00,W,Ben Earwood,0,5 of 9,55%,64 of 71,2 of 2,100%,0,0,9:47,5 of 9,0 of 0,0 of 0,1 of 1,0 of 0,4 of 8,L,Chris Lytle,0,2 of 3,66%,29 of 31,0 of 0,---,1,0,0:00,0 of 1,2 of 2,0 of 0,2 of 3,0 of 0,0 of 0
1,KO/TKO,2,7:02,L,Cody East,0,21 of 47,44%,40 of 68,3 of 3,100%,0,0,0:24,17 of 43,0 of 0,4 of 4,15 of 38,4 of 5,2 of 4,W,Curtis Blaydes,0,52 of 81,64%,109 of 149,5 of 6,83%,0,0,4:28,41 of 69,7 of 8,4 of 4,10 of 21,6 of 12,36 of 48
2,KO/TKO,1,4:18,L,Cody East,0,26 of 62,41%,26 of 62,0 of 0,---,0,0,0:39,16 of 47,3 of 6,7 of 9,22 of 53,4 of 9,0 of 0,W,Walt Harris,1,31 of 58,53%,40 of 69,0 of 0,---,0,0,0:00,25 of 51,4 of 5,2 of 2,13 of 30,4 of 8,14 of 20
3,KO/TKO,1,1:08,L,Marvin Eastman,0,3 of 6,50%,7 of 10,1 of 3,33%,0,0,0:12,3 of 6,0 of 0,0 of 0,0 of 1,3 of 5,0 of 0,W,Drew McFedries,1,19 of 32,59%,22 of 35,1 of 1,100%,0,0,0:05,15 of 27,3 of 3,1 of 2,3 of 8,15 of 23,1 of 1
4,Decision - Unanimous,3,15:00,W,Marvin Eastman,0,40 of 89,44%,72 of 121,1 of 3,33%,0,0,4:14,16 of 64,15 of 16,9 of 9,5 of 45,35 of 44,0 of 0,L,Terry Martin,0,50 of 85,58%,74 of 109,1 of 8,12%,0,0,5:34,11 of 43,26 of 29,13 of 13,7 of 40,43 of 45,0 of 0
5,KO/TKO,2,8:49,L,Marvin Eastman,0,15 of 54,27%,25 of 64,0 of 1,0%,0,0,0:31,9 of 47,5 of 5,1 of 2,5 of 41,10 of 13,0 of 0,W,Quinton Jackson,1,45 of 74,60%,55 of 84,0 of 1,0%,0,0,1:01,31 of 59,12 of 13,2 of 2,13 of 34,31 of 39,1 of 1
6,KO/TKO,2,5:33,L,Marvin Eastman,0,10 of 45,22%,11 of 46,0 of 0,---,0,0,0:00,3 of 37,0 of 0,7 of 8,9 of 42,1 of 3,0 of 0,W,Travis Lutter,1,1 of 11,9%,1 of 11,0 of 1,0%,0,0,0:02,1 of 11,0 of 0,0 of 0,1 of 11,0 of 0,0 of 0
7,KO/TKO,1,1:07,L,Marvin Eastman,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 2,0 of 0,1 of 3,1 of 5,0 of 0,0 of 0,W,Vitor Belfort,1,9 of 12,75%,9 of 12,0 of 0,---,0,0,0:03,8 of 11,0 of 0,1 of 1,1 of 2,2 of 2,6 of 8
8,Decision - Unanimous,3,15:00,L,Mike Easton,0,42 of 121,34%,110 of 196,0 of 4,0%,0,1,2:55,17 of 92,18 of 22,7 of 7,25 of 99,10 of 13,7 of 9,W,Yves Jabouin,0,60 of 132,45%,81 of 156,5 of 8,62%,0,0,6:51,38 of 98,21 of 32,1 of 2,44 of 111,13 of 15,3 of 6
9,Decision - Unanimous,3,15:00,L,Mike Easton,0,46 of 111,41%,51 of 116,0 of 2,0%,0,0,0:00,14 of 69,14 of 22,18 of 20,35 of 96,11 of 15,0 of 0,W,TJ Dillashaw,0,117 of 232,50%,138 of 257,2 of 5,40%,0,0,4:57,70 of 180,20 of 24,27 of 28,74 of 161,33 of 55,10 of 16
10,Decision - Split,3,15:00,L,Mike Easton,0,71 of 155,45%,91 of 182,3 of 8,37%,0,0,2:30,44 of 119,14 of 22,13 of 14,52 of 123,18 of 29,1 of 3,W,Brad Pickett,0,68 of 205,33%,94 of 234,4 of 7,57%,0,1,4:34,50 of 183,8 of 12,10 of 10,47 of 170,21 of 33,0 of 2
11,Decision - Unanimous,3,15:00,L,Mike Easton,0,30 of 155,19%,34 of 159,0 of 3,0%,0,0,0:01,7 of 118,3 of 14,20 of 23,29 of 153,1 of 2,0 of 0,W,Raphael Assuncao,0,57 of 156,36%,60 of 159,0 of 6,0%,0,0,2:24,28 of 118,6 of 12,23 of 26,45 of 140,12 of 16,0 of 0
12,Decision - Unanimous,3,15:00,W,Mike Easton,0,46 of 169,27%,55 of 178,1 of 2,50%,0,0,0:48,14 of 116,12 of 28,20 of 25,43 of 165,2 of 2,1 of 2,L,Ivan Menjivar,0,40 of 148,27%,42 of 150,0 of 1,0%,0,0,0:00,10 of 98,15 of 26,15 of 24,38 of 145,2 of 3,0 of 0
