,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,0:17,L,Edward Faaloloto,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:08,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,W,Terry Etim,0,5 of 6,83%,5 of 6,0 of 0,---,1,0,0:00,3 of 4,1 of 1,1 of 1,5 of 6,0 of 0,0 of 0
1,KO/TKO,1,4:42,L,Edward Faaloloto,0,17 of 43,39%,21 of 47,0 of 0,---,0,0,0:11,3 of 26,5 of 6,9 of 11,10 of 31,7 of 12,0 of 0,W,Michael Johnson,1,27 of 73,36%,29 of 75,1 of 1,100%,0,0,1:05,17 of 57,10 of 13,0 of 3,9 of 41,11 of 16,7 of 16
2,KO/TKO,2,9:54,L,Edward Faaloloto,0,17 of 58,29%,31 of 78,1 of 4,25%,0,0,1:36,3 of 41,3 of 4,11 of 13,13 of 52,4 of 6,0 of 0,W,Anthony Njokuani,1,61 of 89,68%,84 of 122,1 of 2,50%,0,1,2:26,35 of 60,18 of 20,8 of 9,46 of 73,15 of 15,0 of 1
3,KO/TKO,3,10:43,L,Urijah Faber,0,18 of 76,23%,28 of 86,0 of 3,0%,0,0,0:16,14 of 64,2 of 9,2 of 3,15 of 71,3 of 5,0 of 0,W,Petr Yan,3,54 of 108,50%,62 of 116,2 of 2,100%,0,0,1:26,40 of 90,11 of 14,3 of 4,26 of 73,14 of 17,14 of 18
4,KO/TKO,1,0:46,W,Urijah Faber,1,11 of 15,73%,11 of 15,0 of 0,---,0,0,0:08,9 of 13,1 of 1,1 of 1,3 of 5,0 of 0,8 of 10,L,Ricky Simon,0,4 of 8,50%,4 of 8,0 of 0,---,0,0,0:00,2 of 5,0 of 0,2 of 3,4 of 8,0 of 0,0 of 0
5,Decision - Unanimous,3,15:00,W,Urijah Faber,1,70 of 126,55%,89 of 151,5 of 10,50%,1,0,6:21,61 of 114,5 of 7,4 of 5,29 of 75,2 of 4,39 of 47,L,Brad Pickett,0,18 of 65,27%,20 of 67,1 of 1,100%,0,1,0:31,8 of 42,1 of 4,9 of 19,17 of 63,0 of 1,1 of 1
6,Decision - Unanimous,3,15:00,L,Urijah Faber,0,22 of 112,19%,23 of 113,0 of 4,0%,0,0,0:00,11 of 94,5 of 9,6 of 9,19 of 109,3 of 3,0 of 0,W,Jimmie Rivera,0,54 of 160,33%,55 of 162,0 of 0,---,0,0,0:00,21 of 113,9 of 20,24 of 27,50 of 154,4 of 6,0 of 0
7,Decision - Unanimous,5,25:00,L,Urijah Faber,0,34 of 159,21%,49 of 174,1 of 6,16%,0,0,0:11,26 of 142,6 of 15,2 of 2,25 of 147,6 of 9,3 of 3,W,Dominick Cruz,1,87 of 261,33%,99 of 275,3 of 7,42%,0,1,3:26,62 of 223,8 of 19,17 of 19,77 of 243,6 of 10,4 of 8
8,Decision - Unanimous,3,15:00,W,Urijah Faber,0,75 of 111,67%,80 of 116,2 of 13,15%,0,0,1:54,53 of 87,20 of 22,2 of 2,34 of 62,40 of 48,1 of 1,L,Frankie Saenz,0,66 of 136,48%,72 of 143,0 of 3,0%,0,1,2:01,29 of 89,15 of 21,22 of 26,46 of 100,19 of 33,1 of 3
9,Decision - Unanimous,5,25:00,L,Urijah Faber,0,48 of 147,32%,50 of 149,0 of 3,0%,0,0,0:00,34 of 125,11 of 19,3 of 3,45 of 143,3 of 4,0 of 0,W,Frankie Edgar,0,83 of 258,32%,91 of 266,5 of 13,38%,0,0,3:43,40 of 197,15 of 29,28 of 32,61 of 227,20 of 29,2 of 2
10,Submission,2,6:34,W,Urijah Faber,1,19 of 52,36%,19 of 52,0 of 3,0%,1,0,0:14,15 of 42,3 of 7,1 of 3,16 of 47,1 of 2,2 of 3,L,Francisco Rivera,0,15 of 56,26%,15 of 56,0 of 0,---,0,0,0:00,7 of 47,2 of 2,6 of 7,15 of 56,0 of 0,0 of 0
11,Submission,3,11:09,W,Urijah Faber,0,20 of 38,52%,41 of 62,5 of 12,41%,1,0,6:46,16 of 31,3 of 6,1 of 1,6 of 19,6 of 9,8 of 10,L,Alex Caceres,0,20 of 45,44%,35 of 62,0 of 0,---,0,0,0:31,10 of 32,5 of 7,5 of 6,13 of 31,6 of 9,1 of 5
12,KO/TKO,1,3:42,L,Urijah Faber,0,8 of 31,25%,9 of 32,0 of 2,0%,0,0,0:00,3 of 22,3 of 6,2 of 3,5 of 24,3 of 7,0 of 0,W,Renan Barao,1,17 of 46,36%,37 of 70,0 of 0,---,0,0,0:14,13 of 38,1 of 5,3 of 3,10 of 29,5 of 12,2 of 5
13,Submission,2,8:22,W,Urijah Faber,1,29 of 46,63%,59 of 79,1 of 2,50%,1,0,2:55,20 of 35,5 of 7,4 of 4,22 of 38,0 of 1,7 of 7,L,Michael McDonald,0,9 of 27,33%,11 of 29,0 of 0,---,0,0,0:03,6 of 24,1 of 1,2 of 2,9 of 27,0 of 0,0 of 0
14,Decision - Unanimous,3,15:00,W,Urijah Faber,0,54 of 79,68%,127 of 155,4 of 5,80%,0,0,10:08,53 of 77,1 of 1,0 of 1,3 of 7,0 of 0,51 of 72,L,Iuri Alcantara,0,8 of 23,34%,25 of 43,1 of 1,100%,1,0,2:32,5 of 17,3 of 5,0 of 1,2 of 10,0 of 0,6 of 13
15,Submission,4,18:16,W,Urijah Faber,0,93 of 163,57%,119 of 200,4 of 6,66%,3,0,5:05,57 of 123,32 of 36,4 of 4,87 of 155,5 of 6,1 of 2,L,Scott Jorgensen,0,73 of 168,43%,76 of 173,1 of 6,16%,0,0,2:09,45 of 136,8 of 12,20 of 20,65 of 158,8 of 10,0 of 0
16,Submission,1,4:34,W,Urijah Faber,0,17 of 24,70%,29 of 36,0 of 0,---,1,1,4:02,16 of 23,1 of 1,0 of 0,1 of 3,1 of 1,15 of 20,L,Ivan Menjivar,0,3 of 7,42%,19 of 23,1 of 1,100%,0,0,0:04,3 of 6,0 of 1,0 of 0,1 of 3,2 of 3,0 of 1
17,Decision - Unanimous,5,25:00,L,Urijah Faber,0,60 of 178,33%,62 of 180,0 of 6,0%,0,0,0:08,38 of 141,12 of 26,10 of 11,57 of 170,3 of 8,0 of 0,W,Renan Barao,0,85 of 290,29%,85 of 290,0 of 0,---,0,0,0:00,55 of 236,10 of 23,20 of 31,81 of 282,4 of 8,0 of 0
18,Submission,2,6:27,W,Urijah Faber,1,36 of 61,59%,44 of 69,1 of 1,100%,1,1,2:19,31 of 54,3 of 5,2 of 2,17 of 36,1 of 1,18 of 24,L,Brian Bowles,0,13 of 68,19%,14 of 69,0 of 0,---,0,0,0:00,7 of 61,5 of 6,1 of 1,12 of 66,1 of 2,0 of 0
19,Decision - Unanimous,5,25:00,L,Urijah Faber,0,50 of 170,29%,58 of 181,1 of 5,20%,0,0,0:45,31 of 131,12 of 26,7 of 13,36 of 145,14 of 25,0 of 0,W,Dominick Cruz,0,90 of 238,37%,97 of 246,4 of 13,30%,0,1,2:17,50 of 171,27 of 48,13 of 19,82 of 225,8 of 13,0 of 0
