,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Claudia Gadelha,0,36 of 96,37%,84 of 149,2 of 10,20%,0,0,6:46,29 of 84,6 of 11,1 of 1,30 of 88,1 of 3,5 of 5,W,Yan Xiaonan,0,74 of 170,43%,133 of 234,0 of 0,---,0,0,0:19,54 of 143,15 of 21,5 of 6,58 of 149,14 of 18,2 of 3
1,Decision - Split,3,15:00,W,Claudia Gadelha,0,84 of 210,40%,92 of 218,1 of 4,25%,0,0,2:47,61 of 179,14 of 21,9 of 10,78 of 202,2 of 4,4 of 4,L,Angela Hill,1,90 of 176,51%,93 of 179,0 of 0,---,0,0,0:37,60 of 136,29 of 39,1 of 1,86 of 170,4 of 4,0 of 2
2,Decision - Unanimous,3,15:00,W,Claudia Gadelha,0,40 of 107,37%,41 of 108,0 of 1,0%,0,0,0:07,36 of 96,1 of 4,3 of 7,37 of 98,3 of 9,0 of 0,L,Randa Markos,0,25 of 109,22%,26 of 110,0 of 0,---,0,0,0:00,19 of 99,3 of 4,3 of 6,17 of 96,8 of 13,0 of 0
3,Decision - Unanimous,3,15:00,L,Claudia Gadelha,0,49 of 112,43%,85 of 149,2 of 10,20%,0,0,3:20,45 of 106,3 of 4,1 of 2,38 of 97,4 of 8,7 of 7,W,Nina Ansaroff,0,96 of 211,45%,123 of 238,0 of 0,---,0,0,0:00,62 of 173,5 of 9,29 of 29,91 of 205,5 of 6,0 of 0
4,Decision - Split,3,15:00,W,Claudia Gadelha,0,26 of 64,40%,78 of 124,4 of 5,80%,1,0,5:02,23 of 59,3 of 5,0 of 0,22 of 57,1 of 2,3 of 5,L,Carla Esparza,0,43 of 103,41%,205 of 288,2 of 4,50%,0,0,3:35,33 of 89,3 of 3,7 of 11,28 of 79,7 of 12,8 of 12
5,Decision - Unanimous,3,15:00,L,Claudia Gadelha,0,42 of 91,46%,47 of 96,0 of 7,0%,2,0,0:08,41 of 87,1 of 4,0 of 0,30 of 71,9 of 15,3 of 5,W,Jessica Andrade,0,141 of 241,58%,242 of 355,4 of 7,57%,0,0,8:35,83 of 175,50 of 58,8 of 8,45 of 107,18 of 25,78 of 109
6,Submission,1,3:03,W,Claudia Gadelha,0,8 of 28,28%,8 of 28,1 of 2,50%,1,0,0:46,6 of 24,2 of 3,0 of 1,6 of 26,2 of 2,0 of 0,L,Karolina Kowalkiewicz,0,9 of 37,24%,12 of 40,0 of 0,---,0,0,0:00,6 of 33,0 of 1,3 of 3,9 of 36,0 of 1,0 of 0
7,Decision - Unanimous,3,15:00,W,Claudia Gadelha,0,34 of 80,42%,43 of 92,6 of 6,100%,1,0,6:25,30 of 75,2 of 3,2 of 2,25 of 64,6 of 11,3 of 5,L,Cortney Casey,0,22 of 68,32%,46 of 95,0 of 1,0%,0,0,0:19,10 of 49,6 of 9,6 of 10,14 of 54,8 of 14,0 of 0
8,Decision - Unanimous,5,25:00,L,Claudia Gadelha,1,63 of 150,42%,101 of 191,4 of 13,30%,0,0,9:31,57 of 136,5 of 11,1 of 3,46 of 126,10 of 15,7 of 9,W,Joanna Jedrzejczyk,0,176 of 330,53%,194 of 351,1 of 2,50%,0,0,1:31,112 of 256,35 of 39,29 of 35,146 of 291,28 of 37,2 of 2
9,Decision - Unanimous,3,15:00,W,Claudia Gadelha,0,111 of 248,44%,121 of 263,4 of 4,100%,0,0,2:36,95 of 229,16 of 19,0 of 0,101 of 233,9 of 14,1 of 1,L,Jessica Aguilar,0,70 of 189,37%,88 of 210,0 of 3,0%,0,0,0:47,35 of 152,11 of 13,24 of 24,63 of 180,7 of 9,0 of 0
