,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,2:39,L,Keith Hackney,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,--,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0,W,Marco Ruas,0,7 of 10,70%,11 of 15,1 of 2,50%,1,0,--,5 of 8,0 of 0,2 of 2,2 of 3,0 of 0,5 of 7
1,Submission,1,5:32,L,Keith Hackney,0,4 of 13,30%,7 of 16,0 of 0,---,0,0,--,3 of 12,1 of 1,0 of 0,1 of 3,2 of 4,1 of 6,W,Royce Gracie,0,11 of 23,47%,45 of 58,0 of 2,0%,3,0,--,7 of 15,3 of 5,1 of 3,2 of 10,9 of 13,0 of 0
2,Submission,1,2:44,W,Keith Hackney,0,8 of 14,57%,10 of 16,0 of 0,---,1,0,--,1 of 5,0 of 1,7 of 8,2 of 7,0 of 0,6 of 7,L,Joe Son,0,0 of 0,---,4 of 4,1 of 1,100%,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
3,KO/TKO,1,1:59,W,Keith Hackney,1,34 of 50,68%,36 of 52,0 of 0,---,0,0,--,29 of 45,0 of 0,5 of 5,6 of 8,2 of 3,26 of 39,L,Emmanuel Yarborough,0,1 of 5,20%,4 of 9,0 of 1,0%,0,0,--,1 of 5,0 of 0,0 of 0,0 of 2,0 of 0,1 of 3
4,Submission,1,0:44,L,Damir Hadzovic,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 4,0 of 0,1 of 1,1 of 5,0 of 0,0 of 0,W,Renato Moicano,0,1 of 2,50%,4 of 5,1 of 1,100%,1,0,0:25,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
5,Decision - Unanimous,3,15:00,L,Damir Hadzovic,0,24 of 61,39%,42 of 87,1 of 1,100%,0,0,2:04,20 of 48,3 of 12,1 of 1,14 of 45,5 of 6,5 of 10,W,Christos Giagos,0,47 of 113,41%,67 of 141,6 of 13,46%,0,0,5:23,28 of 90,12 of 16,7 of 7,38 of 91,6 of 10,3 of 12
6,KO/TKO,2,7:03,W,Damir Hadzovic,0,58 of 109,53%,70 of 121,2 of 3,66%,0,0,2:19,48 of 98,6 of 7,4 of 4,30 of 69,2 of 2,26 of 38,L,Marco Polo Reyes,0,24 of 107,22%,26 of 109,0 of 0,---,0,0,0:00,13 of 88,4 of 12,7 of 7,24 of 105,0 of 2,0 of 0
7,Decision - Split,3,15:00,W,Damir Hadzovic,1,71 of 155,45%,71 of 155,0 of 0,---,0,0,0:07,48 of 127,12 of 17,11 of 11,68 of 152,2 of 2,1 of 1,L,Nick Hein,0,43 of 198,21%,43 of 198,0 of 0,---,0,0,0:00,32 of 182,8 of 12,3 of 4,43 of 198,0 of 0,0 of 0
8,Decision - Unanimous,3,15:00,L,Damir Hadzovic,0,20 of 25,80%,67 of 81,0 of 0,---,1,0,0:48,5 of 8,15 of 17,0 of 0,6 of 9,11 of 12,3 of 4,W,Alan Patrick,0,28 of 45,62%,91 of 129,9 of 15,60%,0,0,12:26,20 of 35,5 of 7,3 of 3,8 of 18,3 of 4,17 of 23
9,KO/TKO,3,10:07,W,Damir Hadzovic,1,14 of 30,46%,19 of 35,0 of 1,0%,0,0,0:22,12 of 28,2 of 2,0 of 0,12 of 28,1 of 1,1 of 1,L,Marcin Held,0,31 of 66,46%,62 of 103,4 of 4,100%,1,0,7:20,30 of 65,1 of 1,0 of 0,13 of 42,6 of 8,12 of 16
10,KO/TKO,1,3:44,L,Damir Hadzovic,0,11 of 43,25%,11 of 43,0 of 0,---,0,0,0:00,9 of 40,1 of 2,1 of 1,11 of 42,0 of 1,0 of 0,W,Mairbek Taisumov,1,25 of 59,42%,25 of 59,0 of 0,---,0,0,0:01,18 of 48,1 of 5,6 of 6,25 of 59,0 of 0,0 of 0
11,KO/TKO,1,2:59,L,Tim Hague,0,3 of 8,37%,4 of 9,0 of 3,0%,0,0,0:33,0 of 4,0 of 1,3 of 3,3 of 8,0 of 0,0 of 0,W,Matt Mitrione,2,16 of 27,59%,17 of 28,0 of 0,---,0,0,0:14,11 of 21,0 of 0,5 of 6,10 of 20,1 of 1,5 of 6
12,Decision - Unanimous,3,15:00,L,Tim Hague,0,60 of 120,50%,65 of 125,2 of 7,28%,0,0,2:38,57 of 113,1 of 5,2 of 2,38 of 94,10 of 14,12 of 12,W,Joey Beltran,0,97 of 161,60%,112 of 176,0 of 0,---,0,1,0:19,93 of 155,0 of 2,4 of 4,74 of 131,18 of 24,5 of 6
13,Decision - Majority,3,15:00,L,Tim Hague,0,34 of 70,48%,53 of 90,1 of 1,100%,1,0,4:14,24 of 56,8 of 12,2 of 2,10 of 36,14 of 21,10 of 13,W,Chris Tuchscherer,0,24 of 64,37%,45 of 88,1 of 7,14%,1,0,4:17,13 of 53,2 of 2,9 of 9,17 of 51,7 of 12,0 of 1
14,KO/TKO,1,0:07,L,Tim Hague,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Todd Duffee,1,4 of 5,80%,5 of 6,0 of 0,---,0,0,0:04,4 of 5,0 of 0,0 of 0,1 of 1,0 of 0,3 of 4
15,Submission,1,1:42,W,Tim Hague,0,0 of 5,0%,2 of 8,1 of 1,100%,1,0,0:44,0 of 5,0 of 0,0 of 0,0 of 5,0 of 0,0 of 0,L,Pat Barry,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,3 of 11,0 of 0,0 of 0,3 of 11,0 of 0,0 of 0
16,Submission,1,0:20,L,Mark Hall,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Don Frye,0,0 of 0,---,0 of 0,0 of 0,---,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
17,KO/TKO,1,10:2,L,Mark Hall,0,2 of 2,100%,22 of 26,0 of 0,---,0,0,--,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,0 of 0,W,Don Frye,0,27 of 28,96%,182 of 191,1 of 1,100%,0,0,--,8 of 8,19 of 20,0 of 0,0 of 0,0 of 0,27 of 28
18,TKO - Doctor's Stoppage,1,0:47,W,Mark Hall,0,3 of 3,100%,4 of 4,0 of 0,---,0,0,--,2 of 2,0 of 0,1 of 1,2 of 2,0 of 0,1 of 1,L,Koji Kitao,0,1 of 2,50%,1 of 2,1 of 1,100%,0,0,--,1 of 2,0 of 0,0 of 0,0 of 1,1 of 1,0 of 0
19,Submission,1,1:01,L,Mark Hall,0,2 of 3,66%,4 of 5,0 of 0,---,0,0,--,1 of 1,0 of 1,1 of 1,2 of 2,0 of 1,0 of 0,W,Paul Varelans,0,2 of 3,66%,4 of 6,1 of 1,100%,2,0,--,2 of 3,0 of 0,0 of 0,0 of 1,0 of 0,2 of 2
20,KO/TKO,1,1:41,W,Mark Hall,0,1 of 4,25%,13 of 23,0 of 0,---,0,1,--,1 of 4,0 of 0,0 of 0,0 of 1,0 of 0,1 of 3,L,Harold Howard,0,4 of 5,80%,5 of 8,1 of 2,50%,0,0,--,1 of 1,3 of 4,0 of 0,2 of 2,2 of 3,0 of 0
21,KO/TKO,4,16:24,W,Uriah Hall,2,60 of 111,54%,61 of 112,0 of 0,---,0,0,0:15,41 of 90,10 of 12,9 of 9,45 of 87,0 of 0,15 of 24,L,Anderson Silva,0,53 of 110,48%,57 of 114,0 of 0,---,0,0,0:31,16 of 61,18 of 28,19 of 21,51 of 107,2 of 3,0 of 0
22,Decision - Split,3,15:00,W,Uriah Hall,1,34 of 79,43%,41 of 86,0 of 0,---,0,0,0:25,31 of 75,3 of 4,0 of 0,22 of 61,1 of 1,11 of 17,L,Antonio Carlos Junior,0,22 of 69,31%,81 of 148,3 of 8,37%,0,0,10:42,16 of 63,5 of 5,1 of 1,18 of 65,2 of 2,2 of 2
23,KO/TKO,3,11:32,W,Uriah Hall,1,39 of 88,44%,42 of 91,0 of 0,---,0,0,0:01,13 of 48,5 of 13,21 of 27,39 of 88,0 of 0,0 of 0,L,Bevon Lewis,0,68 of 157,43%,77 of 168,0 of 0,---,0,0,2:09,27 of 100,4 of 9,37 of 48,56 of 139,12 of 18,0 of 0
24,KO/TKO,2,7:38,L,Uriah Hall,0,58 of 122,47%,58 of 122,0 of 1,0%,0,0,0:03,45 of 102,8 of 15,5 of 5,54 of 118,4 of 4,0 of 0,W,Paulo Costa,1,75 of 116,64%,76 of 117,0 of 0,---,0,0,0:08,39 of 73,33 of 40,3 of 3,66 of 105,8 of 9,1 of 2
25,KO/TKO,2,7:25,W,Uriah Hall,1,26 of 44,59%,26 of 44,0 of 0,---,0,0,0:06,15 of 32,6 of 7,5 of 5,19 of 33,0 of 0,7 of 11,L,Krzysztof Jotko,1,44 of 90,48%,60 of 108,1 of 2,50%,1,0,2:18,40 of 85,3 of 4,1 of 1,15 of 42,15 of 27,14 of 21
26,KO/TKO,1,4:37,L,Uriah Hall,0,12 of 25,48%,12 of 25,0 of 0,---,0,0,0:00,2 of 10,1 of 2,9 of 13,12 of 25,0 of 0,0 of 0,W,Gegard Mousasi,0,20 of 40,50%,20 of 40,1 of 2,50%,0,0,0:44,14 of 34,1 of 1,5 of 5,8 of 18,0 of 0,12 of 22
27,KO/TKO,1,1:41,L,Uriah Hall,0,1 of 3,33%,4 of 6,0 of 0,---,0,0,0:00,0 of 2,1 of 1,0 of 0,1 of 3,0 of 0,0 of 0,W,Derek Brunson,1,4 of 7,57%,15 of 18,0 of 3,0%,0,0,1:02,3 of 6,1 of 1,0 of 0,1 of 1,3 of 3,0 of 3
28,Decision - Unanimous,3,15:00,L,Uriah Hall,0,45 of 94,47%,58 of 107,0 of 1,0%,0,1,0:50,17 of 58,10 of 15,18 of 21,40 of 87,4 of 5,1 of 2,W,Robert Whittaker,0,67 of 144,46%,108 of 186,1 of 2,50%,0,0,4:43,39 of 107,6 of 11,22 of 26,43 of 110,12 of 17,12 of 17
29,KO/TKO,2,5:25,W,Uriah Hall,1,18 of 24,75%,22 of 28,0 of 0,---,1,0,0:12,17 of 23,0 of 0,1 of 1,4 of 4,0 of 0,14 of 20,L,Gegard Mousasi,0,17 of 24,70%,35 of 49,1 of 1,100%,1,0,4:46,14 of 21,1 of 1,2 of 2,2 of 4,0 of 0,15 of 20
30,KO/TKO,1,2:32,W,Uriah Hall,0,11 of 18,61%,20 of 27,1 of 1,100%,0,0,1:36,11 of 18,0 of 0,0 of 0,0 of 3,0 of 0,11 of 15,L,Oluwale Bamgbose,0,7 of 12,58%,23 of 29,0 of 0,---,0,0,0:00,1 of 6,2 of 2,4 of 4,7 of 11,0 of 0,0 of 1
31,Decision - Split,3,15:00,L,Uriah Hall,0,43 of 74,58%,47 of 78,1 of 3,33%,0,0,0:52,15 of 40,15 of 21,13 of 13,41 of 70,2 of 4,0 of 0,W,Rafael Natal,0,45 of 103,43%,63 of 125,1 of 11,9%,0,0,2:55,15 of 62,6 of 14,24 of 27,31 of 85,14 of 17,0 of 1
32,TKO - Doctor's Stoppage,1,3:37,W,Uriah Hall,1,27 of 41,65%,33 of 47,0 of 0,---,0,0,0:32,13 of 25,5 of 7,9 of 9,18 of 28,0 of 1,9 of 12,L,Ron Stallings,0,10 of 18,55%,10 of 18,0 of 0,---,0,0,0:00,3 of 10,3 of 4,4 of 4,10 of 17,0 of 1,0 of 0
33,Decision - Unanimous,3,15:00,W,Uriah Hall,0,42 of 113,37%,42 of 113,1 of 1,100%,1,0,0:05,22 of 80,4 of 15,16 of 18,40 of 107,1 of 2,1 of 4,L,Thiago Santos,0,44 of 129,34%,48 of 133,0 of 2,0%,0,0,0:59,8 of 71,4 of 17,32 of 41,36 of 120,5 of 5,3 of 4
34,TKO - Doctor's Stoppage,1,5:00,W,Uriah Hall,1,20 of 46,43%,22 of 49,0 of 0,---,0,0,0:06,15 of 37,4 of 7,1 of 2,16 of 38,1 of 2,3 of 6,L,Chris Leben,0,11 of 33,33%,11 of 33,0 of 0,---,0,0,0:00,1 of 17,3 of 4,7 of 12,10 of 32,1 of 1,0 of 0
35,Decision - Split,3,15:00,L,Uriah Hall,0,41 of 62,66%,59 of 82,2 of 8,25%,0,0,4:53,17 of 35,8 of 9,16 of 18,19 of 37,15 of 16,7 of 9,W,John Howard,0,33 of 61,54%,92 of 126,2 of 6,33%,1,0,3:47,10 of 31,6 of 12,17 of 18,18 of 41,10 of 14,5 of 6
36,Decision - Split,3,15:00,L,Uriah Hall,0,44 of 77,57%,81 of 121,2 of 3,66%,0,3,1:54,23 of 51,13 of 18,8 of 8,28 of 60,8 of 8,8 of 9,W,Kelvin Gastelum,0,31 of 74,41%,81 of 141,3 of 6,50%,0,0,6:29,7 of 49,14 of 14,10 of 11,18 of 51,10 of 13,3 of 10
37,Decision - Unanimous,3,15:00,W,Ryan Hall,2,36 of 83,43%,40 of 93,0 of 1,0%,1,1,0:07,15 of 47,13 of 27,8 of 9,34 of 78,0 of 1,2 of 4,L,Darren Elkins,0,29 of 126,23%,31 of 128,0 of 0,---,0,0,1:50,8 of 83,11 of 20,10 of 23,16 of 84,1 of 3,12 of 39
38,Submission,1,2:46,W,Ryan Hall,0,6 of 15,40%,8 of 19,0 of 0,---,1,0,0:00,0 of 7,1 of 2,5 of 6,6 of 14,0 of 1,0 of 0,L,BJ Penn,0,3 of 8,37%,8 of 15,0 of 0,---,0,0,1:34,1 of 5,1 of 1,1 of 2,2 of 5,0 of 0,1 of 3
39,Decision - Unanimous,3,15:00,W,Ryan Hall,0,46 of 117,39%,53 of 124,0 of 2,0%,0,0,0:00,14 of 44,19 of 53,13 of 20,43 of 113,2 of 3,1 of 1,L,Gray Maynard,0,12 of 42,28%,17 of 50,0 of 0,---,0,0,2:58,4 of 27,5 of 8,3 of 7,9 of 36,0 of 0,3 of 6
40,Decision - Unanimous,3,15:00,W,Ryan Hall,0,23 of 41,56%,169 of 201,1 of 3,33%,1,0,7:25,15 of 25,1 of 8,7 of 8,9 of 24,0 of 0,14 of 17,L,Artem Lobov,0,2 of 11,18%,13 of 26,0 of 0,---,0,0,5:05,1 of 10,0 of 0,1 of 1,1 of 10,0 of 0,1 of 1
41,Submission,1,2:58,W,Dennis Hallman,0,20 of 32,62%,40 of 54,1 of 3,33%,1,0,2:46,20 of 32,0 of 0,0 of 0,0 of 0,0 of 0,20 of 32,L,John Makdessi,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
42,KO/TKO,1,4:28,L,Dennis Hallman,0,0 of 1,0%,2 of 4,1 of 1,100%,1,0,2:16,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Brian Ebersole,0,19 of 24,79%,49 of 58,0 of 0,---,0,1,2:07,18 of 23,1 of 1,0 of 0,0 of 0,0 of 0,19 of 24
