,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Al Iaquinta,0,37 of 116,31%,38 of 117,0 of 3,0%,0,0,0:24,21 of 93,7 of 11,9 of 12,37 of 116,0 of 0,0 of 0,W,Dan Hooker,1,98 of 207,47%,104 of 213,0 of 1,0%,0,0,2:29,68 of 168,7 of 13,23 of 26,76 of 182,0 of 0,22 of 25
1,Decision - Unanimous,5,25:00,L,Al Iaquinta,0,90 of 223,40%,90 of 223,0 of 5,0%,0,0,0:00,49 of 165,23 of 38,18 of 20,90 of 223,0 of 0,0 of 0,W,Donald Cerrone,2,138 of 361,38%,140 of 363,0 of 0,---,0,0,0:22,87 of 302,17 of 25,34 of 34,129 of 344,3 of 3,6 of 14
2,Decision - Unanimous,5,25:00,W,Al Iaquinta,0,111 of 228,48%,113 of 230,0 of 7,0%,0,0,0:14,82 of 189,19 of 28,10 of 11,110 of 226,0 of 0,1 of 2,L,Kevin Lee,0,102 of 296,34%,121 of 319,3 of 5,60%,0,0,5:25,80 of 267,14 of 21,8 of 8,81 of 273,1 of 1,20 of 22
3,Decision - Unanimous,5,25:00,L,Al Iaquinta,0,41 of 141,29%,43 of 143,0 of 1,0%,0,0,0:00,27 of 117,11 of 20,3 of 4,41 of 141,0 of 0,0 of 0,W,Khabib Nurmagomedov,0,134 of 304,44%,172 of 352,6 of 15,40%,1,0,10:33,122 of 287,7 of 12,5 of 5,100 of 255,0 of 0,34 of 49
4,KO/TKO,1,1:38,W,Al Iaquinta,2,12 of 19,63%,12 of 19,0 of 0,---,0,0,0:05,9 of 15,1 of 2,2 of 2,8 of 15,2 of 2,2 of 2,L,Diego Sanchez,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:00,2 of 13,2 of 2,0 of 0,4 of 14,0 of 1,0 of 0
5,Decision - Split,3,15:00,W,Al Iaquinta,0,55 of 153,35%,55 of 153,0 of 9,0%,0,0,0:07,18 of 107,11 of 18,26 of 28,54 of 150,1 of 3,0 of 0,L,Jorge Masvidal,0,83 of 170,48%,86 of 173,0 of 0,---,0,0,0:25,62 of 146,10 of 11,11 of 13,77 of 155,1 of 6,5 of 9
6,KO/TKO,2,8:34,W,Al Iaquinta,1,59 of 154,38%,63 of 158,1 of 3,33%,0,0,0:22,44 of 132,9 of 14,6 of 8,51 of 141,5 of 7,3 of 6,L,Joe Lauzon,0,32 of 86,37%,32 of 86,0 of 1,0%,0,0,0:07,31 of 84,0 of 1,1 of 1,32 of 85,0 of 1,0 of 0
7,KO/TKO,2,6:39,W,Al Iaquinta,2,31 of 93,33%,32 of 94,0 of 1,0%,0,0,0:03,25 of 81,3 of 9,3 of 3,26 of 84,3 of 6,2 of 3,L,Ross Pearson,0,20 of 60,33%,21 of 61,0 of 1,0%,0,0,0:00,13 of 49,3 of 6,4 of 5,20 of 60,0 of 0,0 of 0
8,KO/TKO,3,12:26,W,Al Iaquinta,1,93 of 221,42%,93 of 221,0 of 0,---,0,0,0:06,67 of 183,14 of 26,12 of 12,90 of 217,2 of 3,1 of 1,L,Rodrigo Damm,0,57 of 177,32%,57 of 177,0 of 5,0%,0,0,0:10,51 of 168,5 of 6,1 of 3,57 of 177,0 of 0,0 of 0
9,Submission,2,5:57,L,Al Iaquinta,0,13 of 19,68%,31 of 40,1 of 1,100%,2,0,4:31,10 of 16,3 of 3,0 of 0,6 of 8,0 of 0,7 of 11,W,Mitch Clarke,0,8 of 21,38%,20 of 34,0 of 0,---,1,0,0:10,3 of 12,2 of 5,3 of 4,8 of 20,0 of 0,0 of 1
10,Decision - Unanimous,3,15:00,W,Al Iaquinta,1,49 of 122,40%,50 of 125,0 of 1,0%,1,0,1:48,41 of 106,6 of 13,2 of 3,47 of 120,0 of 0,2 of 2,L,Kevin Lee,0,39 of 142,27%,51 of 155,1 of 8,12%,2,0,4:10,32 of 131,6 of 10,1 of 1,28 of 124,0 of 3,11 of 15
11,Decision - Unanimous,3,15:00,W,Al Iaquinta,0,85 of 197,43%,87 of 200,2 of 8,25%,0,0,2:54,62 of 168,15 of 21,8 of 8,75 of 184,5 of 8,5 of 5,L,Piotr Hallmann,0,66 of 176,37%,91 of 204,3 of 9,33%,0,0,0:24,40 of 133,18 of 28,8 of 15,65 of 174,0 of 1,1 of 1
