,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,4:21,L,Yves Jabouin,0,5 of 10,50%,18 of 26,2 of 2,100%,0,0,3:38,5 of 9,0 of 1,0 of 0,2 of 6,0 of 0,3 of 4,W,Felipe Arantes,0,4 of 6,66%,8 of 10,0 of 1,0%,1,1,0:15,2 of 3,2 of 2,0 of 1,0 of 2,1 of 1,3 of 3
1,KO/TKO,1,4:18,L,Yves Jabouin,0,20 of 56,35%,20 of 56,1 of 1,100%,0,0,0:23,12 of 43,8 of 13,0 of 0,18 of 53,2 of 3,0 of 0,W,Thomas Almeida,0,31 of 75,41%,32 of 76,0 of 0,---,0,0,0:00,18 of 58,7 of 9,6 of 8,24 of 62,7 of 13,0 of 0
2,Decision - Unanimous,3,15:00,W,Yves Jabouin,0,60 of 132,45%,81 of 156,5 of 8,62%,0,0,6:51,38 of 98,21 of 32,1 of 2,44 of 111,13 of 15,3 of 6,L,Mike Easton,0,42 of 121,34%,110 of 196,0 of 4,0%,0,1,2:55,17 of 92,18 of 22,7 of 7,25 of 99,10 of 13,7 of 9
3,KO/TKO,2,9:16,L,Yves Jabouin,0,33 of 109,30%,33 of 109,0 of 0,---,0,0,0:00,20 of 84,8 of 20,5 of 5,32 of 107,1 of 2,0 of 0,W,Eddie Wineland,1,54 of 138,39%,58 of 142,0 of 1,0%,0,0,1:15,42 of 121,9 of 14,3 of 3,22 of 83,5 of 6,27 of 49
4,Decision - Split,3,15:00,W,Yves Jabouin,0,20 of 29,68%,54 of 74,1 of 1,100%,0,3,8:06,15 of 23,3 of 4,2 of 2,6 of 13,2 of 2,12 of 14,L,Dustin Pague,0,15 of 18,83%,51 of 63,1 of 2,50%,7,1,4:46,11 of 13,3 of 3,1 of 2,5 of 7,3 of 3,7 of 8
5,KO/TKO,1,3:40,L,Yves Jabouin,0,26 of 57,45%,26 of 57,0 of 0,---,0,0,0:00,15 of 44,7 of 9,4 of 4,26 of 56,0 of 1,0 of 0,W,Brad Pickett,1,14 of 48,29%,14 of 48,0 of 1,0%,0,0,0:02,8 of 39,3 of 5,3 of 4,12 of 46,0 of 0,2 of 2
6,Decision - Unanimous,3,15:00,W,Yves Jabouin,1,50 of 93,53%,88 of 145,0 of 0,---,0,0,5:01,30 of 62,17 of 24,3 of 7,30 of 62,1 of 1,19 of 30,L,Jeff Hougland,0,18 of 52,34%,30 of 69,0 of 3,0%,0,0,0:11,2 of 28,4 of 8,12 of 16,18 of 51,0 of 1,0 of 0
7,Decision - Split,3,15:00,W,Yves Jabouin,0,33 of 90,36%,33 of 90,2 of 6,33%,0,0,1:41,9 of 47,5 of 11,19 of 32,32 of 88,1 of 2,0 of 0,L,Walel Watson,0,47 of 163,28%,60 of 178,0 of 1,0%,2,1,1:16,21 of 112,11 of 22,15 of 29,41 of 157,3 of 3,3 of 3
8,Decision - Split,3,15:00,W,Yves Jabouin,0,37 of 106,34%,38 of 107,2 of 6,33%,0,1,0:59,11 of 64,14 of 21,12 of 21,36 of 102,0 of 3,1 of 1,L,Ian Loveland,0,33 of 102,32%,45 of 118,3 of 7,42%,1,1,2:31,28 of 96,5 of 6,0 of 0,21 of 78,6 of 13,6 of 11
9,Submission,1,4:31,L,Yves Jabouin,0,16 of 37,43%,16 of 37,0 of 0,---,0,0,0:40,6 of 23,1 of 2,9 of 12,16 of 37,0 of 0,0 of 0,W,Pablo Garza,0,26 of 48,54%,33 of 55,0 of 1,0%,1,1,0:26,10 of 25,8 of 11,8 of 12,11 of 30,7 of 10,8 of 8
10,Decision - Unanimous,3,15:00,W,Yves Jabouin,0,43 of 79,54%,84 of 126,4 of 4,100%,1,0,6:44,16 of 48,13 of 14,14 of 17,36 of 68,1 of 1,6 of 10,L,Brandon Visher,0,26 of 61,42%,66 of 105,0 of 3,0%,0,0,0:06,6 of 34,10 of 13,10 of 14,15 of 49,3 of 4,8 of 8
11,KO/TKO,2,8:21,L,Yves Jabouin,1,58 of 155,37%,59 of 156,0 of 0,---,0,0,0:28,26 of 110,13 of 20,19 of 25,52 of 146,3 of 4,3 of 5,W,Mark Hominick,1,63 of 161,39%,67 of 166,0 of 0,---,0,1,1:01,45 of 134,17 of 24,1 of 3,36 of 113,4 of 8,23 of 40
12,Decision - Split,3,15:00,L,Yves Jabouin,0,26 of 86,30%,28 of 88,1 of 2,50%,0,0,2:01,11 of 59,12 of 24,3 of 3,24 of 82,2 of 3,0 of 1,W,Raphael Assuncao,0,35 of 105,33%,44 of 115,1 of 4,25%,1,1,3:34,15 of 78,8 of 11,12 of 16,29 of 93,6 of 11,0 of 1
13,Submission,1,10:2,L,Kevin Jackson,0,18 of 25,72%,35 of 44,2 of 2,100%,0,0,--,13 of 20,4 of 4,1 of 1,5 of 9,0 of 0,13 of 16,W,Jerry Bohlander,0,5 of 17,29%,9 of 21,0 of 2,0%,2,0,--,2 of 14,0 of 0,3 of 3,4 of 16,0 of 0,1 of 1
14,Submission,1,0:16,L,Kevin Jackson,0,2 of 3,66%,2 of 3,1 of 1,100%,0,0,--,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0,0 of 0,W,Frank Shamrock,0,1 of 1,100%,1 of 1,0 of 0,---,1,0,--,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
15,Submission,1,0:44,W,Kevin Jackson,0,2 of 4,50%,3 of 5,1 of 1,100%,1,0,--,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,2 of 4,L,Tony Fryklund,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,--,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0
16,KO/TKO,1,1:27,W,Kevin Jackson,0,3 of 6,50%,4 of 7,1 of 1,100%,0,0,--,3 of 4,0 of 1,0 of 1,0 of 2,0 of 1,3 of 3,L,Todd Butler,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,--,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0
17,KO/TKO,1,3:56,L,Eugene Jackson,0,3 of 9,33%,4 of 10,0 of 0,---,0,0,--,0 of 6,3 of 3,0 of 0,1 of 7,0 of 0,2 of 2,W,Joe Riggs,0,21 of 22,95%,36 of 38,2 of 2,100%,1,0,--,20 of 21,1 of 1,0 of 0,3 of 3,1 of 1,17 of 18
18,Submission,1,2:01,W,Eugene Jackson,1,13 of 26,50%,24 of 39,0 of 0,---,1,0,--,13 of 26,0 of 0,0 of 0,4 of 12,0 of 0,9 of 14,L,Ronald Jhun,0,4 of 5,80%,4 of 5,0 of 0,---,0,0,--,2 of 3,1 of 1,1 of 1,4 of 5,0 of 0,0 of 0
19,KO/TKO,2,7:49,W,Eugene Jackson,0,26 of 53,49%,40 of 71,2 of 3,66%,1,0,--,17 of 42,9 of 11,0 of 0,12 of 32,10 of 16,4 of 5,L,Mike Seal,0,43 of 63,68%,56 of 78,0 of 0,---,0,1,--,20 of 37,16 of 17,7 of 9,17 of 35,9 of 10,17 of 18
20,Decision - Unanimous,3,15:00,W,Eugene Jackson,0,42 of 161,26%,69 of 199,1 of 1,100%,1,0,--,25 of 137,15 of 21,2 of 3,32 of 142,6 of 10,4 of 9,L,Jorge Ortiz,0,53 of 91,58%,72 of 115,0 of 1,0%,0,0,--,18 of 55,4 of 4,31 of 32,48 of 84,5 of 7,0 of 0
21,KO/TKO,1,0:10,L,Eugene Jackson,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Mark Weir,1,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:01,4 of 6,0 of 0,0 of 0,1 of 2,0 of 0,3 of 4
22,Submission,2,6:14,W,Eugene Jackson,0,1 of 3,33%,44 of 47,0 of 1,0%,1,0,0:04,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,L,Keith Rockel,0,6 of 10,60%,21 of 25,2 of 2,100%,2,0,5:31,4 of 8,1 of 1,1 of 1,2 of 2,0 of 0,4 of 8
23,Submission,1,4:06,L,Eugene Jackson,0,1 of 4,25%,18 of 23,2 of 2,100%,2,0,0:38,1 of 4,0 of 0,0 of 0,1 of 3,0 of 0,0 of 1,W,Ricardo Almeida,0,4 of 4,100%,16 of 17,1 of 1,100%,1,0,3:07,0 of 0,2 of 2,2 of 2,4 of 4,0 of 0,0 of 0
24,Submission,1,4:32,L,Eugene Jackson,0,2 of 9,22%,11 of 18,0 of 0,---,0,0,0:00,1 of 7,1 of 2,0 of 0,0 of 7,1 of 1,1 of 1,W,Jeremy Horn,0,2 of 6,33%,23 of 29,1 of 2,50%,1,0,3:35,0 of 1,2 of 2,0 of 3,0 of 3,0 of 0,2 of 3
25,Submission,1,4:38,L,Eugene Jackson,0,4 of 5,80%,26 of 33,0 of 0,---,1,0,0:00,4 of 5,0 of 0,0 of 0,3 of 4,1 of 1,0 of 0,W,Sanae Kikuta,0,8 of 16,50%,20 of 33,2 of 2,100%,2,0,3:37,7 of 15,0 of 0,1 of 1,1 of 1,0 of 0,7 of 15
26,KO/TKO,3,13:12,W,Eugene Jackson,1,22 of 105,20%,47 of 131,0 of 1,0%,0,0,2:36,19 of 101,1 of 2,2 of 2,13 of 91,9 of 14,0 of 0,L,Keiichiro Yamamiya,0,14 of 58,24%,18 of 62,0 of 0,---,0,0,0:51,11 of 55,0 of 0,3 of 3,13 of 57,1 of 1,0 of 0
27,KO/TKO,2,6:19,W,Eugene Jackson,1,21 of 46,45%,27 of 52,0 of 0,---,1,0,0:20,15 of 40,6 of 6,0 of 0,11 of 34,5 of 7,5 of 5,L,Royce Alger,0,11 of 26,42%,12 of 27,2 of 8,25%,0,0,2:34,11 of 26,0 of 0,0 of 0,0 of 7,3 of 4,8 of 15
28,Decision - Unanimous,3,15:00,W,Quinton Jackson,0,99 of 211,46%,114 of 230,0 of 0,---,0,0,1:11,59 of 160,31 of 41,9 of 10,67 of 155,32 of 56,0 of 0,L,Fabio Maldonado,0,67 of 134,50%,94 of 162,1 of 1,100%,0,0,2:52,37 of 87,29 of 45,1 of 2,55 of 113,12 of 21,0 of 0
29,Decision - Unanimous,3,15:00,L,Quinton Jackson,0,53 of 169,31%,54 of 170,0 of 4,0%,0,0,0:05,45 of 161,5 of 5,3 of 3,49 of 158,4 of 11,0 of 0,W,Glover Teixeira,1,80 of 179,44%,103 of 207,5 of 5,100%,0,0,3:38,70 of 164,9 of 14,1 of 1,48 of 131,9 of 13,23 of 35
30,Decision - Unanimous,3,15:00,L,Quinton Jackson,0,16 of 39,41%,30 of 53,1 of 4,25%,0,0,0:21,8 of 29,6 of 8,2 of 2,9 of 31,6 of 6,1 of 2,W,Ryan Bader,0,55 of 101,54%,109 of 158,4 of 9,44%,0,0,8:47,27 of 71,9 of 9,19 of 21,20 of 55,10 of 13,25 of 33
31,Submission,4,16:14,L,Quinton Jackson,0,16 of 44,36%,24 of 52,0 of 1,0%,0,0,0:16,6 of 31,5 of 8,5 of 5,13 of 35,3 of 9,0 of 0,W,Jon Jones,0,61 of 117,52%,74 of 131,2 of 6,33%,2,0,3:32,18 of 62,13 of 18,30 of 37,42 of 89,12 of 19,7 of 9
