,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,KO/TKO,2,7:30,W,Patrick Kaase,0,33 of 49,67%,68 of 91,0 of 0,---,0,2,--,33 of 49,0 of 0,0 of 0,3 of 8,0 of 0,30 of 41,L,Jarrod Kwitty,0,4 of 8,50%,16 of 22,4 of 8,50%,1,0,--,2 of 6,1 of 1,1 of 1,1 of 2,1 of 1,2 of 5
1,Submission,2,9:13,L,Emily Kagan,0,22 of 80,27%,49 of 112,1 of 9,11%,0,0,4:37,17 of 68,4 of 6,1 of 6,19 of 69,3 of 11,0 of 0,W,Kailin Curran,0,21 of 49,42%,32 of 61,1 of 1,100%,2,0,1:14,8 of 31,12 of 16,1 of 2,14 of 39,7 of 10,0 of 0
2,Decision - Unanimous,3,15:00,L,Emily Kagan,0,41 of 91,45%,60 of 113,2 of 12,16%,0,0,5:36,15 of 52,11 of 21,15 of 18,26 of 70,15 of 21,0 of 0,W,Angela Hill,1,107 of 159,67%,140 of 199,0 of 1,0%,0,1,4:21,68 of 113,31 of 38,8 of 8,32 of 63,68 of 87,7 of 9
3,Decision - Split,3,15:00,L,Sirwan Kakai,0,55 of 113,48%,62 of 121,3 of 9,33%,0,0,1:55,29 of 82,13 of 16,13 of 15,47 of 100,8 of 13,0 of 0,W,Frankie Saenz,0,80 of 183,43%,91 of 195,1 of 6,16%,1,0,2:41,48 of 142,23 of 32,9 of 9,45 of 128,31 of 49,4 of 6
4,Decision - Unanimous,3,15:00,W,Sirwan Kakai,1,52 of 146,35%,85 of 179,5 of 10,50%,0,0,5:18,48 of 139,4 of 7,0 of 0,32 of 118,17 of 25,3 of 3,L,Danny Martinez,0,59 of 184,32%,62 of 188,0 of 0,---,0,0,0:07,35 of 149,24 of 35,0 of 0,45 of 159,14 of 25,0 of 0
5,KO/TKO,1,5:57,W,Geza Kalman,0,21 of 36,58%,48 of 64,0 of 2,0%,1,1,--,9 of 23,7 of 8,5 of 5,0 of 11,18 of 22,3 of 3,L,Dieusel Berto,0,3 of 5,60%,9 of 11,0 of 1,0%,0,0,--,3 of 5,0 of 0,0 of 0,0 of 1,3 of 4,0 of 0
6,KO/TKO,1,0:19,L,Bryson Kamaka,0,3 of 5,60%,3 of 6,0 of 0,---,0,0,--,2 of 4,1 of 1,0 of 0,1 of 3,2 of 2,0 of 0,W,Luke Stewart,1,4 of 4,100%,4 of 4,0 of 1,0%,0,0,--,3 of 3,0 of 0,1 of 1,1 of 1,2 of 2,1 of 1
7,Decision - Unanimous,3,15:00,W,Kai Kamaka,0,114 of 185,61%,138 of 216,5 of 5,100%,0,0,5:09,49 of 113,64 of 71,1 of 1,90 of 160,22 of 22,2 of 3,L,Tony Kelley,0,114 of 226,50%,185 of 298,0 of 1,0%,0,0,0:00,63 of 152,35 of 54,16 of 20,76 of 182,38 of 44,0 of 0
8,KO/TKO,4,15:54,L,Martin Kampmann,0,35 of 97,36%,43 of 108,6 of 15,40%,0,0,5:23,29 of 91,6 of 6,0 of 0,25 of 77,6 of 12,4 of 8,W,Carlos Condit,1,100 of 235,42%,147 of 282,0 of 2,0%,2,1,1:16,68 of 185,15 of 25,17 of 25,81 of 208,17 of 24,2 of 3
9,KO/TKO,1,0:46,L,Martin Kampmann,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 3,0 of 1,0 of 0,0 of 4,0 of 0,0 of 0,W,Johny Hendricks,1,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:02,3 of 7,0 of 0,0 of 0,2 of 6,0 of 0,1 of 1
10,KO/TKO,2,6:40,W,Martin Kampmann,1,13 of 31,41%,16 of 34,0 of 1,0%,0,0,0:29,10 of 25,3 of 6,0 of 0,6 of 20,6 of 9,1 of 2,L,Jake Ellenberger,1,19 of 50,38%,27 of 64,0 of 0,---,0,0,4:08,15 of 46,2 of 2,2 of 2,13 of 36,4 of 4,2 of 10
