,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,TKO - Doctor's Stoppage,1,5:00,W,Josh LaBerge,0,16 of 30,53%,26 of 41,0 of 0,---,0,0,--,11 of 25,4 of 4,1 of 1,3 of 16,8 of 9,5 of 5,L,Anthony Leone,0,12 of 19,63%,20 of 28,1 of 5,20%,0,0,--,2 of 8,3 of 3,7 of 8,10 of 15,2 of 4,0 of 0
1,KO/TKO,3,10:33,W,Aspen Ladd,1,47 of 85,55%,85 of 137,2 of 3,66%,0,0,4:07,40 of 77,7 of 8,0 of 0,20 of 48,2 of 5,25 of 32,L,Yana Kunitskaya,0,47 of 81,58%,92 of 129,0 of 0,---,0,1,3:52,10 of 38,28 of 31,9 of 12,21 of 48,26 of 32,0 of 1
2,KO/TKO,1,0:16,L,Aspen Ladd,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,W,Germaine de Randamie,1,4 of 5,80%,4 of 5,0 of 0,---,0,0,0:01,3 of 4,1 of 1,0 of 0,3 of 4,0 of 0,1 of 1
3,Decision - Unanimous,3,15:00,W,Aspen Ladd,0,69 of 125,55%,85 of 143,3 of 4,75%,3,0,6:56,57 of 111,7 of 9,5 of 5,38 of 82,14 of 20,17 of 23,L,Sijara Eubanks,0,77 of 164,46%,80 of 168,2 of 5,40%,0,0,2:28,60 of 146,16 of 17,1 of 1,61 of 140,12 of 19,4 of 5
4,KO/TKO,1,3:26,W,Aspen Ladd,0,50 of 73,68%,59 of 84,0 of 0,---,0,0,1:53,43 of 66,7 of 7,0 of 0,3 of 12,7 of 9,40 of 52,L,Tonya Evinger,0,9 of 16,56%,15 of 22,0 of 1,0%,0,0,1:02,2 of 7,6 of 7,1 of 2,3 of 9,6 of 7,0 of 0
5,KO/TKO,2,7:33,W,Aspen Ladd,0,26 of 60,43%,45 of 84,1 of 1,100%,0,0,3:24,19 of 50,7 of 10,0 of 0,6 of 24,8 of 12,12 of 24,L,Lina Lansberg,0,41 of 64,64%,50 of 73,0 of 0,---,0,0,2:43,7 of 25,25 of 29,9 of 10,7 of 23,34 of 41,0 of 0
6,KO/TKO,3,11:00,L,Ryan LaFlare,0,35 of 68,51%,38 of 72,0 of 1,0%,0,0,0:21,8 of 33,20 of 27,7 of 8,31 of 64,3 of 3,1 of 1,W,Anthony Rocco Martin,2,36 of 77,46%,38 of 79,0 of 0,---,1,0,3:35,33 of 74,1 of 1,2 of 2,18 of 52,2 of 2,16 of 23
7,Decision - Unanimous,3,15:00,W,Ryan LaFlare,0,24 of 48,50%,47 of 71,1 of 6,16%,0,1,4:28,5 of 27,17 of 19,2 of 2,17 of 38,3 of 6,4 of 4,L,Alex Garcia,0,11 of 54,20%,21 of 66,5 of 7,71%,0,0,4:06,6 of 46,4 of 7,1 of 1,7 of 46,3 of 7,1 of 1
8,KO/TKO,2,6:50,L,Ryan LaFlare,0,5 of 14,35%,8 of 17,0 of 2,0%,0,0,4:20,2 of 10,3 of 4,0 of 0,2 of 11,0 of 0,3 of 3,W,Alex Oliveira,1,8 of 21,38%,8 of 21,0 of 1,0%,1,0,0:01,4 of 17,1 of 1,3 of 3,6 of 18,2 of 2,0 of 1
9,Decision - Unanimous,3,15:00,W,Ryan LaFlare,1,29 of 91,31%,51 of 116,1 of 4,25%,0,0,5:09,13 of 63,14 of 25,2 of 3,17 of 68,5 of 8,7 of 15,L,Roan Carneiro,0,19 of 50,38%,25 of 56,0 of 4,0%,0,0,1:53,12 of 41,2 of 4,5 of 5,10 of 40,3 of 3,6 of 7
10,Decision - Unanimous,3,15:00,W,Ryan LaFlare,0,65 of 189,34%,78 of 202,0 of 2,0%,0,0,0:00,37 of 146,23 of 38,5 of 5,57 of 176,8 of 13,0 of 0,L,Mike Pierce,0,42 of 127,33%,44 of 130,0 of 3,0%,0,0,2:29,30 of 109,7 of 13,5 of 5,33 of 107,9 of 20,0 of 0
