,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Dong Hyun Ma,0,15 of 56,26%,21 of 63,0 of 0,---,0,0,0:00,6 of 43,2 of 5,7 of 8,15 of 56,0 of 0,0 of 0,W,Omar Morales,1,32 of 89,35%,60 of 123,1 of 1,100%,0,0,6:05,22 of 78,9 of 10,1 of 1,20 of 69,0 of 0,12 of 20
1,TKO - Doctor's Stoppage,2,10:00,L,Dong Hyun Ma,0,16 of 58,27%,20 of 62,1 of 3,33%,0,0,0:35,13 of 54,2 of 2,1 of 2,15 of 57,1 of 1,0 of 0,W,Scott Holtzman,1,44 of 92,47%,55 of 108,1 of 2,50%,0,0,4:54,37 of 77,2 of 2,5 of 13,33 of 72,5 of 5,6 of 15
2,KO/TKO,1,3:53,L,Dong Hyun Ma,0,1 of 9,11%,1 of 9,0 of 0,---,0,0,0:00,0 of 4,0 of 1,1 of 4,1 of 9,0 of 0,0 of 0,W,Devonte Smith,1,19 of 43,44%,19 of 43,0 of 0,---,0,0,0:02,14 of 34,1 of 4,4 of 5,15 of 38,0 of 0,4 of 5
3,Decision - Split,3,15:00,W,Dong Hyun Ma,0,67 of 153,43%,68 of 154,0 of 0,---,0,0,0:00,43 of 114,7 of 19,17 of 20,67 of 153,0 of 0,0 of 0,L,Damien Brown,0,46 of 123,37%,46 of 123,0 of 0,---,0,0,0:00,16 of 81,12 of 19,18 of 23,46 of 123,0 of 0,0 of 0
4,KO/TKO,1,1:30,W,Dong Hyun Ma,1,13 of 20,65%,13 of 20,0 of 0,---,0,0,0:07,8 of 15,2 of 2,3 of 3,8 of 9,0 of 0,5 of 11,L,Takanori Gomi,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0,0 of 0
5,Decision - Unanimous,3,15:00,W,Dong Hyun Ma,0,21 of 32,65%,98 of 116,4 of 4,100%,0,1,9:55,8 of 18,5 of 6,8 of 8,2 of 9,6 of 7,13 of 16,L,Brendan O'Reilly,0,25 of 38,65%,70 of 85,0 of 2,0%,1,2,3:41,16 of 25,6 of 9,3 of 4,6 of 13,17 of 23,2 of 2
6,KO/TKO,3,11:52,L,Dong Hyun Ma,0,83 of 197,42%,99 of 214,2 of 3,66%,0,0,1:28,76 of 187,4 of 7,3 of 3,67 of 171,16 of 26,0 of 0,W,Marco Polo Reyes,2,135 of 299,45%,147 of 312,0 of 0,---,0,0,1:24,100 of 251,31 of 41,4 of 7,109 of 254,14 of 25,12 of 20
7,KO/TKO,3,10:27,L,Dong Hyun Ma,0,19 of 42,45%,52 of 79,0 of 3,0%,0,0,1:16,8 of 26,10 of 15,1 of 1,10 of 24,9 of 18,0 of 0,W,Dominique Steele,1,36 of 61,59%,84 of 114,4 of 4,100%,0,0,6:12,35 of 58,1 of 3,0 of 0,6 of 17,9 of 14,21 of 30
8,KO/TKO,1,3:14,L,William Macario,0,8 of 20,40%,8 of 20,0 of 0,---,0,0,0:00,1 of 9,0 of 2,7 of 9,8 of 20,0 of 0,0 of 0,W,Matt Dwyer,1,13 of 37,35%,13 of 37,0 of 1,0%,0,0,0:03,10 of 26,2 of 6,1 of 5,9 of 32,0 of 0,4 of 5
9,KO/TKO,3,12:40,L,William Macario,0,24 of 77,31%,25 of 78,0 of 1,0%,0,0,0:36,13 of 55,6 of 16,5 of 6,22 of 68,0 of 1,2 of 8,W,Neil Magny,0,65 of 146,44%,114 of 199,2 of 4,50%,0,0,2:50,58 of 135,3 of 5,4 of 6,29 of 90,3 of 5,33 of 51
10,Decision - Unanimous,3,15:00,W,William Macario,0,133 of 210,63%,133 of 210,3 of 6,50%,0,0,1:08,90 of 164,22 of 24,21 of 22,95 of 163,37 of 45,1 of 2,L,Bobby Voelker,0,61 of 240,25%,72 of 251,0 of 2,0%,0,0,0:00,43 of 213,8 of 13,10 of 14,47 of 211,14 of 29,0 of 0
11,Submission,2,9:43,L,William Macario,0,35 of 57,61%,45 of 67,2 of 4,50%,0,0,4:03,22 of 44,7 of 7,6 of 6,14 of 28,10 of 11,11 of 18,W,Leonardo Santos,0,22 of 46,47%,34 of 63,1 of 7,14%,1,0,1:22,16 of 39,4 of 5,2 of 2,17 of 39,2 of 2,3 of 5
