,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,KO/TKO,3,12:17,L,Greg Nagy,0,5 of 10,50%,22 of 29,0 of 1,0%,1,0,0:08,4 of 9,1 of 1,0 of 0,2 of 6,0 of 1,3 of 3,W,Herschel Walker,0,33 of 53,62%,112 of 145,1 of 1,100%,0,0,10:01,24 of 42,4 of 4,5 of 7,7 of 12,1 of 1,25 of 40
1,Decision - Unanimous,3,15:00,L,Rin Nakai,0,31 of 92,33%,58 of 124,3 of 13,23%,1,0,5:32,26 of 81,4 of 9,1 of 2,22 of 80,9 of 12,0 of 0,W,Leslie Smith,0,62 of 181,34%,72 of 193,0 of 0,---,0,0,0:02,51 of 167,11 of 14,0 of 0,59 of 176,3 of 5,0 of 0
2,Decision - Unanimous,3,15:00,L,Rin Nakai,0,16 of 47,34%,52 of 86,3 of 19,15%,0,0,3:56,7 of 28,6 of 16,3 of 3,7 of 24,9 of 21,0 of 2,W,Miesha Tate,0,55 of 116,47%,88 of 150,1 of 4,25%,0,0,2:43,33 of 87,18 of 24,4 of 5,28 of 79,25 of 33,2 of 4
3,KO/TKO,1,5:00,L,Kazuhiro Nakamura,0,6 of 23,26%,6 of 23,0 of 0,---,0,0,0:00,1 of 18,5 of 5,0 of 0,6 of 23,0 of 0,0 of 0,W,Rameau Thierry Sokoudjou,1,26 of 46,56%,29 of 49,0 of 0,---,0,0,0:03,7 of 27,6 of 6,13 of 13,20 of 40,4 of 4,2 of 2
4,Decision - Unanimous,3,15:00,L,Kazuhiro Nakamura,0,15 of 31,48%,27 of 44,2 of 10,20%,0,0,1:47,6 of 21,5 of 6,4 of 4,3 of 13,12 of 17,0 of 1,W,Lyoto Machida,0,70 of 89,78%,134 of 153,2 of 3,66%,1,0,9:08,36 of 53,26 of 27,8 of 9,17 of 22,32 of 35,21 of 32
5,Decision - Unanimous,3,15:00,L,Keita Nakamura,0,29 of 81,35%,57 of 109,0 of 1,0%,0,0,0:18,18 of 63,7 of 11,4 of 7,21 of 72,4 of 5,4 of 4,W,Sultan Aliev,0,25 of 63,39%,32 of 70,2 of 7,28%,0,0,5:46,22 of 57,2 of 4,1 of 2,20 of 53,4 of 9,1 of 1
6,Decision - Split,3,15:00,W,Keita Nakamura,1,41 of 97,42%,55 of 112,0 of 4,0%,0,0,0:00,32 of 82,2 of 6,7 of 9,36 of 89,5 of 8,0 of 0,L,Salim Touahri,0,34 of 79,43%,42 of 87,0 of 0,---,0,0,0:40,14 of 52,17 of 24,3 of 3,25 of 69,9 of 10,0 of 0
7,Decision - Unanimous,3,15:00,L,Keita Nakamura,0,24 of 83,28%,26 of 85,2 of 5,40%,0,0,1:38,16 of 70,6 of 9,2 of 4,23 of 82,1 of 1,0 of 0,W,Anthony Rocco Martin,0,56 of 133,42%,65 of 142,0 of 0,---,2,1,0:32,48 of 124,5 of 6,3 of 3,49 of 121,4 of 9,3 of 3
8,Decision - Split,3,15:00,W,Keita Nakamura,0,27 of 86,31%,29 of 88,2 of 2,100%,0,0,0:45,11 of 60,14 of 22,2 of 4,27 of 85,0 of 1,0 of 0,L,Alex Morono,0,38 of 123,30%,39 of 124,0 of 0,---,0,0,0:00,32 of 113,3 of 6,3 of 4,37 of 122,1 of 1,0 of 0
9,Decision - Unanimous,3,15:00,L,Keita Nakamura,0,24 of 58,41%,64 of 113,5 of 6,83%,0,0,7:41,21 of 53,3 of 5,0 of 0,16 of 46,3 of 5,5 of 7,W,Elizeu Zaleski dos Santos,0,34 of 120,28%,45 of 131,1 of 1,100%,2,0,1:16,24 of 105,6 of 10,4 of 5,25 of 101,5 of 12,4 of 7
