,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,2,7:43,L,Jake O'Brien,0,11 of 68,16%,11 of 68,0 of 4,0%,0,0,0:03,11 of 68,0 of 0,0 of 0,11 of 67,0 of 1,0 of 0,W,Jon Jones,0,25 of 87,28%,25 of 87,0 of 0,---,1,0,0:34,11 of 63,6 of 8,8 of 16,24 of 86,1 of 1,0 of 0
1,Decision - Split,3,15:00,W,Jake O'Brien,1,25 of 84,29%,61 of 122,9 of 11,81%,0,0,5:14,25 of 84,0 of 0,0 of 0,17 of 67,5 of 9,3 of 8,L,Christian Wellisch,0,46 of 179,25%,67 of 200,0 of 1,0%,0,0,0:04,31 of 158,3 of 4,12 of 17,44 of 172,2 of 7,0 of 0
2,KO/TKO,1,2:02,L,Jake O'Brien,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,W,Cain Velasquez,0,24 of 26,92%,79 of 83,1 of 1,100%,0,0,1:53,23 of 25,1 of 1,0 of 0,0 of 1,1 of 1,23 of 24
3,KO/TKO,2,9:17,L,Jake O'Brien,0,4 of 12,33%,37 of 52,2 of 14,14%,0,0,4:44,3 of 11,1 of 1,0 of 0,1 of 8,1 of 2,2 of 2,W,Andrei Arlovski,0,14 of 35,40%,55 of 86,1 of 1,100%,0,0,1:59,8 of 27,1 of 3,5 of 5,7 of 21,0 of 1,7 of 13
4,Decision - Unanimous,3,15:00,W,Jake O'Brien,0,13 of 41,31%,46 of 76,6 of 8,75%,1,2,9:58,12 of 40,1 of 1,0 of 0,2 of 20,0 of 0,11 of 21,L,Heath Herring,1,11 of 61,18%,32 of 83,1 of 1,100%,1,0,0:41,9 of 59,2 of 2,0 of 0,4 of 49,0 of 3,7 of 9
5,Decision - Unanimous,3,15:00,W,Jake O'Brien,0,13 of 31,41%,106 of 132,10 of 13,76%,0,0,10:22,12 of 30,1 of 1,0 of 0,0 of 7,0 of 0,13 of 24,L,Josh Shockman,0,13 of 40,32%,50 of 83,0 of 0,---,0,0,0:27,1 of 22,2 of 7,10 of 11,13 of 40,0 of 0,0 of 0
6,KO/TKO,2,5:52,W,Jake O'Brien,0,25 of 52,48%,85 of 116,3 of 3,100%,0,0,4:44,25 of 52,0 of 0,0 of 0,0 of 3,0 of 0,25 of 49,L,Kristof Midoux,0,2 of 10,20%,2 of 11,0 of 0,---,0,0,0:00,2 of 10,0 of 0,0 of 0,0 of 8,2 of 2,0 of 0
7,Submission,2,7:38,L,TJ O'Brien,0,28 of 61,45%,28 of 61,0 of 0,---,0,0,0:07,11 of 42,4 of 5,13 of 14,28 of 60,0 of 1,0 of 0,W,Cole Miller,1,32 of 76,42%,36 of 81,0 of 0,---,2,0,0:49,17 of 59,1 of 2,14 of 15,23 of 66,0 of 0,9 of 10
8,KO/TKO,2,8:16,L,TJ O'Brien,0,32 of 69,46%,38 of 77,1 of 1,100%,0,0,0:27,17 of 47,5 of 8,10 of 14,28 of 61,0 of 2,4 of 6,W,Paul Kelly,1,44 of 104,42%,106 of 171,1 of 1,100%,0,1,2:54,37 of 93,2 of 3,5 of 8,17 of 66,2 of 2,25 of 36
9,KO/TKO,2,7:36,L,Sean O'Connell,0,9 of 22,40%,15 of 29,0 of 0,---,0,0,0:00,5 of 17,2 of 2,2 of 3,3 of 13,1 of 1,5 of 8,W,Corey Anderson,0,66 of 103,64%,94 of 133,5 of 5,100%,0,0,6:46,62 of 99,2 of 2,2 of 2,4 of 10,1 of 1,61 of 92
10,Decision - Unanimous,3,15:00,L,Sean O'Connell,1,84 of 167,50%,124 of 209,0 of 3,0%,0,0,3:12,63 of 143,17 of 19,4 of 5,64 of 135,11 of 15,9 of 17,W,Steve Bosse,0,93 of 172,54%,120 of 202,1 of 3,33%,0,0,2:42,76 of 150,12 of 14,5 of 8,56 of 117,15 of 18,22 of 37
11,KO/TKO,1,0:30,L,Sean O'Connell,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,W,Ilir Latifi,1,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:01,2 of 3,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0
12,KO/TKO,1,0:56,W,Sean O'Connell,0,20 of 38,52%,20 of 38,0 of 0,---,0,0,0:00,18 of 33,1 of 4,1 of 1,9 of 21,11 of 17,0 of 0,L,Anthony Perosh,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,3 of 5,0 of 0,0 of 0,3 of 5,0 of 0,0 of 0
13,KO/TKO,3,12:11,W,Sean O'Connell,1,66 of 141,46%,109 of 187,0 of 2,0%,0,0,3:29,44 of 113,19 of 22,3 of 6,40 of 110,25 of 29,1 of 2,L,Matt Van Buren,0,100 of 212,47%,115 of 227,0 of 0,---,0,0,0:26,54 of 155,41 of 51,5 of 6,72 of 175,28 of 37,0 of 0
14,Decision - Split,3,15:00,L,Sean O'Connell,1,109 of 228,47%,153 of 276,0 of 4,0%,2,0,4:11,70 of 183,17 of 22,22 of 23,92 of 209,17 of 19,0 of 0,W,Gian Villante,0,93 of 164,56%,120 of 194,0 of 1,0%,0,0,0:06,55 of 122,23 of 25,15 of 17,74 of 142,19 of 22,0 of 0
15,KO/TKO,1,4:27,L,Sean O'Connell,0,15 of 25,60%,41 of 56,0 of 1,0%,0,0,2:43,6 of 13,9 of 11,0 of 1,5 of 14,10 of 11,0 of 0,W,Ryan Jimmo,1,20 of 32,62%,29 of 44,1 of 1,100%,0,0,0:37,12 of 22,8 of 10,0 of 0,7 of 16,10 of 13,3 of 3
16,KO/TKO,1,4:40,L,Sean O'Malley,0,10 of 21,47%,10 of 21,0 of 0,---,0,0,0:00,3 of 12,4 of 6,3 of 3,10 of 21,0 of 0,0 of 0,W,Marlon Vera,0,18 of 30,60%,18 of 30,0 of 0,---,0,0,0:11,5 of 10,4 of 10,9 of 10,11 of 22,0 of 0,7 of 8
17,KO/TKO,1,1:54,W,Sean O'Malley,1,13 of 20,65%,13 of 20,0 of 0,---,0,0,0:00,5 of 10,5 of 7,3 of 3,13 of 20,0 of 0,0 of 0,L,Eddie Wineland,0,4 of 7,57%,4 of 7,0 of 0,---,0,0,0:00,3 of 5,1 of 2,0 of 0,4 of 7,0 of 0,0 of 0
18,KO/TKO,1,2:02,W,Sean O'Malley,0,18 of 22,81%,18 of 22,0 of 0,---,0,0,0:02,9 of 11,6 of 7,3 of 4,13 of 17,0 of 0,5 of 5,L,Jose Quinonez,0,0 of 11,0%,0 of 11,0 of 0,---,0,0,0:00,0 of 7,0 of 1,0 of 3,0 of 11,0 of 0,0 of 0
19,Decision - Unanimous,3,15:00,W,Sean O'Malley,0,63 of 111,56%,73 of 121,0 of 0,---,3,1,0:55,41 of 83,15 of 21,7 of 7,53 of 100,1 of 2,9 of 9,L,Andre Soukhamthath,0,25 of 60,41%,42 of 79,4 of 7,57%,0,0,6:01,7 of 37,9 of 12,9 of 11,16 of 50,1 of 1,8 of 9
20,Decision - Unanimous,3,15:00,W,Sean O'Malley,0,141 of 252,55%,142 of 255,3 of 6,50%,0,0,0:27,119 of 224,20 of 26,2 of 2,131 of 241,6 of 7,4 of 4,L,Terrion Ware,0,88 of 288,30%,96 of 296,0 of 2,0%,0,0,1:09,59 of 241,17 of 27,12 of 20,83 of 271,5 of 17,0 of 0
21,Decision - Unanimous,3,15:00,L,Chuck O'Neil,0,47 of 125,37%,48 of 126,0 of 2,0%,0,0,1:44,18 of 90,9 of 11,20 of 24,41 of 119,6 of 6,0 of 0,W,Chris Cope,0,66 of 238,27%,83 of 256,0 of 0,---,0,0,0:35,29 of 177,19 of 35,18 of 26,57 of 228,9 of 10,0 of 0
22,Decision - Unanimous,3,15:00,L,Brendan O'Reilly,0,25 of 38,65%,70 of 85,0 of 2,0%,1,2,3:41,16 of 25,6 of 9,3 of 4,6 of 13,17 of 23,2 of 2,W,Dong Hyun Ma,0,21 of 32,65%,98 of 116,4 of 4,100%,0,1,9:55,8 of 18,5 of 6,8 of 8,2 of 9,6 of 7,13 of 16
23,KO/TKO,1,2:15,L,Brendan O'Reilly,0,8 of 17,47%,12 of 21,1 of 1,100%,0,0,0:46,3 of 12,4 of 4,1 of 1,3 of 9,5 of 7,0 of 1,W,Alan Jouban,1,32 of 40,80%,37 of 45,0 of 0,---,0,0,0:34,22 of 30,9 of 9,1 of 1,11 of 15,16 of 19,5 of 6
24,Decision - Unanimous,3,15:00,W,Brendan O'Reilly,0,42 of 85,49%,83 of 127,6 of 10,60%,1,0,7:38,23 of 59,15 of 22,4 of 4,11 of 30,27 of 51,4 of 4,L,Vik Grujic,0,59 of 106,55%,103 of 156,1 of 3,33%,1,0,5:01,42 of 89,15 of 15,2 of 2,18 of 40,41 of 66,0 of 0
25,Decision - Unanimous,3,15:00,L,Brendan O'Reilly,0,15 of 50,30%,74 of 121,0 of 3,0%,0,1,3:16,7 of 35,4 of 8,4 of 7,12 of 41,3 of 4,0 of 5,W,Zhang Lipeng,0,19 of 40,47%,130 of 179,2 of 4,50%,1,0,8:03,7 of 25,6 of 9,6 of 6,9 of 27,6 of 7,4 of 6
26,KO/TKO,2,5:49,L,Volkan Oezdemir,0,41 of 92,44%,44 of 95,0 of 1,0%,0,0,0:17,30 of 76,3 of 6,8 of 10,41 of 92,0 of 0,0 of 0,W,Jiri Prochazka,1,33 of 73,45%,33 of 73,0 of 0,---,0,0,0:02,29 of 67,3 of 5,1 of 1,33 of 73,0 of 0,0 of 0
27,Decision - Split,3,15:00,W,Volkan Oezdemir,0,63 of 144,43%,118 of 199,0 of 0,---,0,0,0:32,28 of 105,14 of 18,21 of 21,47 of 122,16 of 22,0 of 0,L,Aleksandar Rakic,0,75 of 147,51%,87 of 162,1 of 9,11%,1,0,2:38,49 of 116,16 of 18,10 of 13,57 of 126,18 of 21,0 of 0
