,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Nick Pace,0,31 of 69,44%,41 of 79,1 of 3,33%,0,0,3:05,7 of 40,14 of 18,10 of 11,17 of 52,13 of 15,1 of 2,W,Miguel Torres,0,64 of 122,52%,150 of 212,0 of 1,0%,0,0,3:23,23 of 77,20 of 21,21 of 24,41 of 99,23 of 23,0 of 0
1,Decision - Unanimous,3,15:00,L,Nick Pace,0,31 of 116,26%,34 of 121,2 of 4,50%,1,0,3:04,23 of 98,3 of 9,5 of 9,28 of 109,2 of 5,1 of 2,W,Ivan Menjivar,0,61 of 181,33%,87 of 208,0 of 1,0%,0,0,0:01,25 of 117,15 of 29,21 of 35,56 of 172,5 of 9,0 of 0
2,Submission,3,14:33,W,Nick Pace,0,18 of 44,40%,57 of 89,7 of 9,77%,1,0,8:05,6 of 31,4 of 4,8 of 9,17 of 42,0 of 1,1 of 1,L,Will Campuzano,0,16 of 51,31%,37 of 74,1 of 2,50%,0,1,3:14,12 of 47,3 of 3,1 of 1,12 of 42,0 of 0,4 of 9
3,Decision - Unanimous,3,15:00,L,Nick Pace,0,8 of 28,28%,28 of 51,0 of 7,0%,0,0,3:43,2 of 19,4 of 5,2 of 4,3 of 22,5 of 6,0 of 0,W,Demetrious Johnson,0,46 of 86,53%,113 of 156,4 of 7,57%,0,0,7:16,25 of 62,9 of 10,12 of 14,22 of 35,20 of 43,4 of 8
4,KO/TKO,2,7:02,L,Larissa Pacheco,0,8 of 60,13%,13 of 66,0 of 0,---,0,0,0:19,4 of 48,1 of 4,3 of 8,8 of 60,0 of 0,0 of 0,W,Germaine de Randamie,0,29 of 84,34%,31 of 86,0 of 0,---,0,0,0:05,26 of 76,0 of 2,3 of 6,28 of 83,1 of 1,0 of 0
5,Submission,1,4:33,L,Larissa Pacheco,0,6 of 13,46%,11 of 18,0 of 1,0%,0,0,0:00,5 of 12,1 of 1,0 of 0,3 of 8,1 of 1,2 of 4,W,Jessica Andrade,0,19 of 24,79%,44 of 52,1 of 1,100%,2,0,4:21,14 of 19,5 of 5,0 of 0,1 of 4,0 of 0,18 of 20
6,KO/TKO,1,3:33,L,Teemu Packalen,0,8 of 19,42%,8 of 19,0 of 1,0%,0,0,0:00,3 of 12,5 of 6,0 of 1,3 of 13,5 of 6,0 of 0,W,Ottman Azaitar,1,27 of 53,50%,27 of 53,0 of 0,---,0,0,0:11,22 of 44,2 of 6,3 of 3,18 of 40,8 of 11,1 of 2
7,KO/TKO,1,0:30,L,Teemu Packalen,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,W,Marc Diakiese,1,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:01,2 of 3,2 of 2,2 of 2,6 of 7,0 of 0,0 of 0
8,Submission,1,0:24,W,Teemu Packalen,1,6 of 11,54%,6 of 11,0 of 0,---,1,0,0:10,6 of 11,0 of 0,0 of 0,2 of 5,0 of 0,4 of 6,L,Thibault Gouti,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
9,Decision - Unanimous,3,15:00,L,Teemu Packalen,0,35 of 61,57%,41 of 70,3 of 11,27%,1,0,3:14,28 of 54,6 of 6,1 of 1,28 of 49,0 of 1,7 of 11,W,Mickael Lebout,0,43 of 85,50%,68 of 112,0 of 1,0%,0,2,6:53,24 of 61,10 of 12,9 of 12,32 of 69,0 of 0,11 of 16
10,Decision - Split,3,15:00,L,Gary Padilla,0,33 of 119,27%,33 of 119,0 of 0,---,0,0,0:26,14 of 95,8 of 11,11 of 13,24 of 103,9 of 16,0 of 0,W,Ariel Gandulla,0,30 of 127,23%,32 of 129,1 of 2,50%,0,0,0:42,27 of 123,3 of 4,0 of 0,16 of 92,11 of 28,3 of 7
11,Submission,2,6:27,L,Damacio Page,0,7 of 22,31%,56 of 76,2 of 2,100%,0,1,5:27,3 of 18,3 of 3,1 of 1,2 of 5,1 of 1,4 of 16,W,Alex Caceres,0,9 of 12,75%,16 of 21,0 of 0,---,3,1,0:13,4 of 7,4 of 4,1 of 1,7 of 10,1 of 1,1 of 1
12,Submission,2,9:05,L,Damacio Page,0,23 of 57,40%,34 of 70,1 of 4,25%,1,1,1:03,18 of 44,4 of 12,1 of 1,16 of 45,4 of 8,3 of 4,W,Brad Pickett,1,36 of 67,53%,65 of 101,4 of 5,80%,1,0,5:37,34 of 64,1 of 2,1 of 1,11 of 24,1 of 3,24 of 40
13,Submission,1,3:30,L,Damacio Page,0,17 of 49,34%,18 of 50,0 of 0,---,0,0,0:18,8 of 37,2 of 3,7 of 9,16 of 48,1 of 1,0 of 0,W,Brian Bowles,0,19 of 61,31%,20 of 62,1 of 1,100%,1,0,0:08,17 of 57,2 of 4,0 of 0,16 of 50,0 of 0,3 of 11
14,Submission,3,12:27,L,Damacio Page,0,12 of 33,36%,29 of 53,4 of 5,80%,0,0,3:50,6 of 24,6 of 7,0 of 2,4 of 19,5 of 9,3 of 5,W,Demetrious Johnson,1,25 of 41,60%,80 of 98,4 of 4,100%,1,0,5:32,13 of 26,7 of 9,5 of 6,10 of 20,5 of 6,10 of 15
15,Submission,1,1:02,W,Damacio Page,0,5 of 15,33%,8 of 18,1 of 1,100%,2,0,0:46,4 of 13,0 of 1,1 of 1,5 of 15,0 of 0,0 of 0,L,Will Campuzano,0,3 of 10,30%,4 of 11,0 of 0,---,0,0,0:00,3 of 10,0 of 0,0 of 0,3 of 10,0 of 0,0 of 0
16,KO/TKO,1,0:18,W,Damacio Page,1,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:12,7 of 11,0 of 0,0 of 0,1 of 2,4 of 7,2 of 2,L,Marcos Galvao,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
17,Submission,1,3:30,L,Damacio Page,0,14 of 29,48%,18 of 33,0 of 0,---,0,0,0:55,6 of 20,6 of 7,2 of 2,10 of 22,2 of 2,2 of 5,W,Brian Bowles,0,12 of 30,40%,13 of 31,0 of 1,0%,2,0,1:03,9 of 27,3 of 3,0 of 0,6 of 20,1 of 1,5 of 9
18,Decision - Unanimous,3,15:00,W,Damacio Page,0,20 of 55,36%,55 of 93,1 of 2,50%,0,1,5:56,11 of 45,7 of 7,2 of 3,6 of 15,4 of 12,10 of 28,L,Scott Jorgensen,0,23 of 42,54%,46 of 68,4 of 6,66%,0,0,6:35,14 of 33,6 of 6,3 of 3,6 of 11,8 of 12,9 of 19
19,KO/TKO,2,8:51,L,Dustin Pague,0,9 of 15,60%,18 of 24,1 of 1,100%,1,1,3:29,5 of 11,3 of 3,1 of 1,2 of 7,5 of 6,2 of 2,W,Kyoji Horiguchi,1,30 of 50,60%,74 of 98,1 of 3,33%,0,0,3:53,24 of 43,1 of 2,5 of 5,10 of 14,2 of 2,18 of 34
20,Decision - Split,3,15:00,L,Dustin Pague,0,15 of 18,83%,51 of 63,1 of 2,50%,7,1,4:46,11 of 13,3 of 3,1 of 2,5 of 7,3 of 3,7 of 8,W,Yves Jabouin,0,20 of 29,68%,54 of 74,1 of 1,100%,0,3,8:06,15 of 23,3 of 4,2 of 2,6 of 13,2 of 2,12 of 14
21,Decision - Unanimous,3,15:00,L,Dustin Pague,0,22 of 37,59%,35 of 54,1 of 2,50%,1,0,2:16,21 of 34,1 of 2,0 of 1,7 of 17,0 of 0,15 of 20,W,Chico Camus,0,32 of 45,71%,86 of 109,2 of 2,100%,1,1,10:52,26 of 39,3 of 3,3 of 3,8 of 11,1 of 1,23 of 33
22,Decision - Split,3,15:00,L,Dustin Pague,0,41 of 90,45%,47 of 96,0 of 3,0%,0,0,0:01,14 of 59,9 of 11,18 of 20,37 of 86,4 of 4,0 of 0,W,Ken Stone,0,63 of 119,52%,88 of 149,0 of 3,0%,0,0,5:06,31 of 86,5 of 5,27 of 28,44 of 97,19 of 19,0 of 3
