,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,KO/TKO,3,10:07,W,Billy Quarantillo,1,79 of 150,52%,112 of 185,2 of 6,33%,0,0,3:28,52 of 117,15 of 21,12 of 12,69 of 136,10 of 13,0 of 1,L,Kyle Nelson,0,56 of 114,49%,62 of 120,0 of 4,0%,0,0,1:27,40 of 91,13 of 20,3 of 3,43 of 95,10 of 16,3 of 3
1,Decision - Unanimous,3,15:00,W,Billy Quarantillo,0,49 of 66,74%,110 of 135,2 of 3,66%,2,1,4:44,42 of 59,6 of 6,1 of 1,12 of 22,5 of 5,32 of 39,L,Spike Carlyle,0,37 of 66,56%,64 of 102,3 of 6,50%,0,3,9:01,34 of 63,2 of 2,1 of 1,12 of 16,4 of 4,21 of 46
2,Submission,2,8:18,W,Billy Quarantillo,0,74 of 86,86%,139 of 165,1 of 1,100%,5,0,7:25,63 of 74,9 of 10,2 of 2,2 of 2,4 of 4,68 of 80,L,Jacob Kilburn,0,3 of 6,50%,6 of 9,0 of 0,---,0,0,0:13,0 of 2,3 of 4,0 of 0,2 of 5,1 of 1,0 of 0
3,KO/TKO,2,5:29,L,Nate Quarry,0,19 of 71,26%,19 of 72,0 of 1,0%,0,0,0:00,4 of 52,2 of 4,13 of 15,17 of 60,2 of 11,0 of 0,W,Jorge Rivera,3,29 of 65,44%,58 of 104,0 of 0,---,0,0,1:29,24 of 58,3 of 4,2 of 3,15 of 37,10 of 20,4 of 8
4,Decision - Unanimous,3,15:00,W,Nate Quarry,2,53 of 131,40%,124 of 225,0 of 0,---,0,0,8:01,37 of 105,6 of 15,10 of 11,37 of 70,1 of 4,15 of 57,L,Tim Credeur,1,40 of 162,24%,56 of 189,0 of 0,---,1,0,0:40,31 of 152,7 of 8,2 of 2,38 of 156,0 of 3,2 of 3
5,KO/TKO,1,2:27,W,Nate Quarry,0,16 of 34,47%,29 of 47,1 of 1,100%,0,0,1:47,15 of 33,1 of 1,0 of 0,0 of 1,1 of 1,15 of 32,L,Jason MacDonald,0,1 of 1,100%,3 of 5,0 of 1,0%,0,0,0:27,0 of 0,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0
6,Submission,1,2:13,L,Nate Quarry,0,0 of 0,---,8 of 8,0 of 0,---,0,0,0:06,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Demian Maia,0,2 of 4,50%,22 of 32,1 of 2,50%,1,0,1:45,2 of 4,0 of 0,0 of 0,0 of 2,0 of 0,2 of 2
7,Decision - Unanimous,3,15:00,W,Nate Quarry,0,84 of 164,51%,84 of 164,0 of 0,---,0,0,0:00,31 of 106,16 of 18,37 of 40,69 of 139,15 of 25,0 of 0,L,Kalib Starnes,0,12 of 53,22%,12 of 53,1 of 3,33%,0,0,0:41,7 of 45,4 of 6,1 of 2,8 of 48,4 of 4,0 of 1
8,KO/TKO,3,10:44,W,Nate Quarry,1,64 of 129,49%,75 of 141,0 of 1,0%,0,0,0:23,29 of 87,12 of 18,23 of 24,51 of 110,10 of 16,3 of 3,L,Pete Sell,1,53 of 114,46%,70 of 132,2 of 4,50%,0,0,2:31,42 of 100,8 of 11,3 of 3,40 of 98,11 of 14,2 of 2
9,KO/TKO,1,2:34,L,Nate Quarry,0,4 of 20,20%,4 of 20,0 of 0,---,0,0,0:00,3 of 17,1 of 2,0 of 1,2 of 16,2 of 4,0 of 0,W,Rich Franklin,2,13 of 34,38%,15 of 36,0 of 0,---,0,0,0:10,10 of 30,2 of 2,1 of 2,8 of 29,3 of 3,2 of 2
10,KO/TKO,1,0:42,W,Nate Quarry,1,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:01,2 of 7,0 of 0,1 of 1,2 of 7,0 of 0,1 of 1,L,Pete Sell,0,2 of 12,16%,2 of 12,0 of 0,---,0,0,0:00,1 of 10,1 of 2,0 of 0,2 of 12,0 of 0,0 of 0
11,KO/TKO,1,2:37,W,Nate Quarry,2,19 of 30,63%,46 of 57,0 of 0,---,0,0,0:36,15 of 23,4 of 5,0 of 2,7 of 12,6 of 11,6 of 7,L,Shonie Carter,0,6 of 19,31%,11 of 25,0 of 0,---,0,0,0:42,2 of 10,1 of 3,3 of 6,3 of 12,3 of 7,0 of 0
12,KO/TKO,1,3:17,W,Nate Quarry,0,36 of 82,43%,36 of 82,0 of 0,---,0,0,0:00,26 of 71,8 of 9,2 of 2,36 of 82,0 of 0,0 of 0,L,Lodune Sincaid,0,10 of 34,29%,10 of 34,0 of 0,---,0,0,0:00,3 of 26,0 of 0,7 of 8,10 of 34,0 of 0,0 of 0
13,Submission,3,11:43,L,Vinicius Queiroz,0,47 of 103,45%,63 of 131,5 of 7,71%,0,0,5:35,36 of 88,8 of 11,3 of 4,33 of 74,2 of 2,12 of 27,W,Rob Broughton,0,67 of 99,67%,147 of 206,0 of 1,0%,6,0,2:01,46 of 78,9 of 9,12 of 12,57 of 88,2 of 3,8 of 8
14,KO/TKO,1,3:22,L,Jimmy Quinlan,0,7 of 10,70%,7 of 10,1 of 4,25%,0,0,2:47,5 of 8,2 of 2,0 of 0,7 of 10,0 of 0,0 of 0,W,Dylan Andrews,1,20 of 24,83%,33 of 40,0 of 0,---,0,0,0:08,20 of 24,0 of 0,0 of 0,4 of 5,4 of 4,12 of 15
15,Decision - Unanimous,3,15:00,L,Michel Quinones,0,55 of 161,34%,55 of 161,0 of 0,---,0,0,0:00,13 of 103,9 of 17,33 of 41,55 of 161,0 of 0,0 of 0,W,Sage Northcutt,0,79 of 161,49%,82 of 166,3 of 5,60%,0,0,0:43,45 of 113,15 of 24,19 of 24,77 of 159,2 of 2,0 of 0
16,KO/TKO,2,9:24,L,Michel Quinones,0,16 of 78,20%,16 of 79,0 of 0,---,0,0,0:00,6 of 55,4 of 16,6 of 7,15 of 76,1 of 2,0 of 0,W,Jared Gordon,0,67 of 121,55%,115 of 182,4 of 6,66%,0,0,4:39,54 of 102,5 of 7,8 of 12,27 of 65,4 of 5,36 of 51
17,KO/TKO,1,2:02,L,Jose Quinonez,0,0 of 11,0%,0 of 11,0 of 0,---,0,0,0:00,0 of 7,0 of 1,0 of 3,0 of 11,0 of 0,0 of 0,W,Sean O'Malley,0,18 of 22,81%,18 of 22,0 of 0,---,0,0,0:02,9 of 11,6 of 7,3 of 4,13 of 17,0 of 0,5 of 5
18,Decision - Unanimous,3,15:00,W,Jose Quinonez,1,60 of 117,51%,71 of 130,2 of 5,40%,0,0,4:13,36 of 80,8 of 13,16 of 24,40 of 92,0 of 1,20 of 24,L,Carlos Huachin,0,32 of 115,27%,37 of 121,0 of 0,---,0,0,0:00,22 of 84,6 of 25,4 of 6,30 of 109,0 of 2,2 of 4
19,Submission,2,7:46,L,Jose Quinonez,0,34 of 60,56%,35 of 61,1 of 4,25%,0,0,1:48,7 of 28,5 of 6,22 of 26,33 of 59,1 of 1,0 of 0,W,Nathaniel Wood,0,30 of 81,37%,39 of 91,2 of 3,66%,2,1,1:12,14 of 53,4 of 9,12 of 19,27 of 76,3 of 5,0 of 0
20,Decision - Unanimous,3,15:00,W,Jose Quinonez,0,49 of 98,50%,54 of 103,2 of 7,28%,0,0,3:21,16 of 59,6 of 8,27 of 31,42 of 89,7 of 9,0 of 0,L,Teruto Ishihara,1,33 of 109,30%,35 of 111,1 of 4,25%,0,0,0:25,8 of 77,6 of 12,19 of 20,29 of 102,4 of 7,0 of 0
21,Decision - Unanimous,3,15:00,W,Jose Quinonez,0,59 of 112,52%,70 of 125,1 of 4,25%,0,0,2:56,34 of 81,11 of 17,14 of 14,48 of 92,1 of 4,10 of 16,L,Diego Rivas,0,27 of 76,35%,29 of 78,1 of 1,100%,2,1,0:16,11 of 51,6 of 12,10 of 13,25 of 74,1 of 1,1 of 1
22,Decision - Unanimous,3,15:00,W,Jose Quinonez,2,56 of 131,42%,76 of 159,5 of 7,71%,0,0,4:37,39 of 98,15 of 31,2 of 2,43 of 105,5 of 10,8 of 16,L,Joey Gomez,1,44 of 136,32%,66 of 159,0 of 0,---,0,0,0:16,26 of 106,7 of 17,11 of 13,38 of 121,6 of 12,0 of 3
23,Submission,1,2:34,W,Jose Quinonez,0,2 of 3,66%,4 of 5,1 of 2,50%,2,0,2:11,2 of 3,0 of 0,0 of 0,0 of 1,1 of 1,1 of 1,L,Leonardo Morales,0,3 of 4,75%,3 of 4,0 of 0,---,0,0,0:00,0 of 1,1 of 1,2 of 2,3 of 4,0 of 0,0 of 0
24,Decision - Unanimous,3,15:00,L,Jose Quinonez,0,38 of 111,34%,48 of 125,3 of 4,75%,2,1,3:28,28 of 97,9 of 11,1 of 3,28 of 98,1 of 1,9 of 12,W,Alejandro Perez,0,38 of 130,29%,43 of 135,1 of 2,50%,1,0,0:26,19 of 92,3 of 5,16 of 33,38 of 126,0 of 4,0 of 0
