,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Benji Radach,0,22 of 33,66%,28 of 42,2 of 6,33%,0,0,3:37,15 of 26,1 of 1,6 of 6,8 of 16,13 of 16,1 of 1,W,Ovince Saint Preux,2,82 of 117,70%,173 of 227,1 of 1,100%,2,0,9:06,68 of 102,12 of 13,2 of 2,5 of 20,5 of 10,72 of 87
1,KO/TKO,3,13:24,L,Benji Radach,1,67 of 146,45%,85 of 165,2 of 4,50%,1,0,2:23,57 of 132,6 of 9,4 of 5,50 of 123,7 of 11,10 of 12,W,Scott Smith,1,27 of 107,25%,29 of 109,0 of 3,0%,1,0,1:29,19 of 95,2 of 2,6 of 10,25 of 100,1 of 5,1 of 2
2,TKO - Doctor's Stoppage,1,4:16,L,Benji Radach,0,7 of 18,38%,36 of 47,0 of 0,---,0,0,0:07,6 of 14,1 of 4,0 of 0,4 of 10,3 of 8,0 of 0,W,Sean Sherk,0,6 of 8,75%,15 of 17,1 of 5,20%,0,0,3:08,6 of 8,0 of 0,0 of 0,0 of 1,0 of 0,6 of 7
3,Decision - Unanimous,3,15:00,W,Benji Radach,1,26 of 46,56%,67 of 92,0 of 0,---,0,0,10:14,24 of 43,2 of 3,0 of 0,3 of 9,2 of 2,21 of 35,L,Nick Serra,0,0 of 8,0%,23 of 31,1 of 10,10%,2,0,1:44,0 of 8,0 of 0,0 of 0,0 of 8,0 of 0,0 of 0
4,Overturned,1,0:27,NC,Benji Radach,1,10 of 12,83%,10 of 12,0 of 0,---,0,0,0:13,10 of 12,0 of 0,0 of 0,1 of 1,0 of 0,9 of 11,NC,Steve Berger,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
5,Decision - Unanimous,3,15:00,L,Jordan Radev,0,20 of 89,22%,49 of 118,0 of 0,---,0,0,0:46,12 of 74,2 of 2,6 of 13,16 of 75,3 of 9,1 of 5,W,Dean Lister,0,31 of 99,31%,38 of 109,2 of 10,20%,0,0,2:37,17 of 71,9 of 20,5 of 8,24 of 85,1 of 6,6 of 8
6,KO/TKO,1,0:33,L,Jordan Radev,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0,W,Drew McFedries,1,6 of 10,60%,6 of 10,0 of 0,---,0,0,0:03,6 of 10,0 of 0,0 of 0,4 of 8,0 of 0,2 of 2
7,KO/TKO,1,3:05,L,Gilbert Rael,0,0 of 0,---,2 of 2,1 of 1,100%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Nate Diaz,0,23 of 37,62%,40 of 59,0 of 0,---,0,1,--,23 of 37,0 of 0,0 of 0,0 of 1,0 of 0,23 of 36
8,KO/TKO,1,1:40,L,Josh Rafferty,0,1 of 3,33%,2 of 4,0 of 1,0%,1,0,0:00,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0,W,Alex Karalexis,0,6 of 12,50%,12 of 19,0 of 0,---,0,0,1:03,6 of 12,0 of 0,0 of 0,0 of 4,0 of 0,6 of 8
9,KO/TKO,1,1:18,L,Ricky Rainey,0,6 of 12,50%,6 of 12,0 of 0,---,0,0,0:00,6 of 11,0 of 1,0 of 0,6 of 12,0 of 0,0 of 0,W,Tim Means,0,19 of 32,59%,26 of 39,2 of 2,100%,0,0,0:33,17 of 30,1 of 1,1 of 1,5 of 14,0 of 0,14 of 18
