,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Amir Sadollah,0,42 of 101,41%,63 of 124,0 of 0,---,0,0,0:12,24 of 77,4 of 5,14 of 19,31 of 84,6 of 8,5 of 9,W,Yoshihiro Akiyama,0,57 of 119,47%,94 of 165,2 of 5,40%,0,0,7:55,51 of 113,6 of 6,0 of 0,26 of 60,0 of 1,31 of 58
1,Decision - Unanimous,3,15:00,L,Amir Sadollah,0,61 of 134,45%,70 of 144,0 of 2,0%,0,0,0:45,31 of 91,13 of 21,17 of 22,42 of 109,18 of 24,1 of 1,W,Dan Hardy,0,65 of 141,46%,102 of 180,3 of 7,42%,0,0,6:49,51 of 126,5 of 6,9 of 9,38 of 98,10 of 16,17 of 27
2,Decision - Split,3,15:00,W,Amir Sadollah,0,36 of 83,43%,77 of 129,1 of 3,33%,1,0,1:52,14 of 51,13 of 20,9 of 12,23 of 66,13 of 17,0 of 0,L,Jorge Lopez,0,32 of 61,52%,39 of 72,4 of 14,28%,0,0,8:24,19 of 45,6 of 9,7 of 7,27 of 55,4 of 5,1 of 1
3,Decision - Unanimous,3,15:00,L,Amir Sadollah,0,95 of 256,37%,96 of 257,0 of 8,0%,0,0,0:59,45 of 170,20 of 51,30 of 35,88 of 243,7 of 13,0 of 0,W,Duane Ludwig,0,123 of 328,37%,125 of 331,1 of 2,50%,0,0,1:39,96 of 283,22 of 38,5 of 7,102 of 297,20 of 29,1 of 2
4,KO/TKO,2,8:27,W,Amir Sadollah,0,62 of 117,52%,75 of 134,2 of 2,100%,0,0,3:11,44 of 93,13 of 18,5 of 6,22 of 51,14 of 20,26 of 46,L,DaMarques Johnson,0,27 of 57,47%,31 of 63,2 of 4,50%,0,0,2:35,23 of 51,3 of 5,1 of 1,18 of 40,7 of 12,2 of 5
5,Decision - Unanimous,3,15:00,W,Amir Sadollah,0,90 of 209,43%,104 of 223,0 of 0,---,0,0,0:47,27 of 128,14 of 27,49 of 54,75 of 189,13 of 18,2 of 2,L,Peter Sobotta,0,34 of 126,26%,35 of 127,0 of 5,0%,0,0,3:24,25 of 110,4 of 10,5 of 6,31 of 118,3 of 8,0 of 0
6,Decision - Unanimous,3,15:00,L,Amir Sadollah,0,10 of 38,26%,25 of 53,0 of 0,---,0,0,0:09,7 of 31,2 of 4,1 of 3,8 of 31,2 of 5,0 of 2,W,Dong Hyun Kim,0,30 of 40,75%,45 of 58,6 of 8,75%,0,0,12:23,26 of 36,0 of 0,4 of 4,5 of 8,4 of 4,21 of 28
7,Decision - Unanimous,3,15:00,W,Amir Sadollah,0,87 of 162,53%,95 of 171,2 of 2,100%,0,0,5:03,40 of 106,29 of 36,18 of 20,57 of 112,12 of 25,18 of 25,L,Brad Blackburn,0,37 of 150,24%,67 of 180,0 of 1,0%,0,0,2:28,19 of 120,7 of 17,11 of 13,31 of 135,6 of 15,0 of 0
8,Decision - Unanimous,3,15:00,W,Amir Sadollah,0,134 of 222,60%,147 of 236,0 of 1,0%,0,0,5:28,53 of 119,52 of 71,29 of 32,70 of 120,64 of 102,0 of 0,L,Phil Baroni,0,51 of 140,36%,103 of 200,1 of 4,25%,0,0,2:16,40 of 121,11 of 19,0 of 0,21 of 80,30 of 58,0 of 2
9,KO/TKO,1,0:29,L,Amir Sadollah,0,2 of 9,22%,2 of 9,0 of 0,---,0,0,0:00,1 of 6,0 of 1,1 of 2,2 of 9,0 of 0,0 of 0,W,Johny Hendricks,1,7 of 15,46%,7 of 15,0 of 0,---,0,0,0:02,7 of 15,0 of 0,0 of 0,2 of 5,5 of 5,0 of 5
10,Submission,1,3:02,W,Amir Sadollah,0,2 of 5,40%,5 of 8,0 of 0,---,2,0,0:00,0 of 2,2 of 3,0 of 0,2 of 5,0 of 0,0 of 0,L,CB Dollaway,0,6 of 16,37%,11 of 22,1 of 1,100%,0,0,2:13,4 of 13,0 of 1,2 of 2,2 of 4,0 of 0,4 of 12
11,KO/TKO,3,10:57,L,Frankie Saenz,0,39 of 72,54%,52 of 85,1 of 4,25%,0,0,1:10,12 of 43,8 of 10,19 of 19,30 of 63,9 of 9,0 of 0,W,Jonathan Martinez,3,79 of 133,59%,88 of 143,1 of 1,100%,0,0,0:45,48 of 90,28 of 40,3 of 3,57 of 107,3 of 4,19 of 22
12,KO/TKO,1,1:25,L,Frankie Saenz,0,4 of 10,40%,4 of 10,0 of 0,---,0,0,0:00,1 of 5,1 of 3,2 of 2,4 of 10,0 of 0,0 of 0,W,Marlon Vera,1,12 of 16,75%,13 of 17,0 of 0,---,0,0,0:03,7 of 9,0 of 1,5 of 6,7 of 11,0 of 0,5 of 5
13,Decision - Unanimous,3,15:00,W,Frankie Saenz,1,66 of 120,55%,84 of 138,4 of 10,40%,0,0,4:10,36 of 81,18 of 22,12 of 17,40 of 84,16 of 19,10 of 17,L,Henry Briones,0,44 of 104,42%,58 of 123,0 of 0,---,1,0,0:08,25 of 82,10 of 13,9 of 9,40 of 98,4 of 6,0 of 0
14,Decision - Split,3,15:00,W,Frankie Saenz,0,58 of 106,54%,66 of 115,0 of 3,0%,0,0,0:19,22 of 63,31 of 37,5 of 6,22 of 59,34 of 45,2 of 2,L,Merab Dvalishvili,0,47 of 118,39%,104 of 180,11 of 23,47%,0,0,7:46,34 of 98,10 of 16,3 of 4,24 of 84,21 of 32,2 of 2
15,Decision - Split,3,15:00,L,Frankie Saenz,1,40 of 106,37%,49 of 116,0 of 4,0%,0,0,2:34,16 of 68,12 of 24,12 of 14,26 of 87,13 of 18,1 of 1,W,Augusto Mendes,0,42 of 109,38%,74 of 142,4 of 9,44%,0,0,2:12,33 of 95,6 of 8,3 of 6,30 of 89,12 of 19,0 of 1
16,KO/TKO,3,11:54,L,Frankie Saenz,0,45 of 116,38%,59 of 132,1 of 4,25%,0,0,1:22,27 of 82,2 of 14,16 of 20,43 of 113,0 of 0,2 of 3,W,Eddie Wineland,1,42 of 129,32%,52 of 139,0 of 1,0%,0,0,0:05,35 of 119,7 of 10,0 of 0,38 of 123,1 of 2,3 of 4
17,Decision - Unanimous,3,15:00,L,Frankie Saenz,0,66 of 136,48%,72 of 143,0 of 3,0%,0,1,2:01,29 of 89,15 of 21,22 of 26,46 of 100,19 of 33,1 of 3,W,Urijah Faber,0,75 of 111,67%,80 of 116,2 of 13,15%,0,0,1:54,53 of 87,20 of 22,2 of 2,34 of 62,40 of 48,1 of 1
18,Decision - Split,3,15:00,W,Frankie Saenz,0,80 of 183,43%,91 of 195,1 of 6,16%,1,0,2:41,48 of 142,23 of 32,9 of 9,45 of 128,31 of 49,4 of 6,L,Sirwan Kakai,0,55 of 113,48%,62 of 121,3 of 9,33%,0,0,1:55,29 of 82,13 of 16,13 of 15,47 of 100,8 of 13,0 of 0
19,Decision - Unanimous,3,15:00,W,Frankie Saenz,0,44 of 95,46%,122 of 184,3 of 4,75%,0,1,7:00,16 of 51,10 of 22,18 of 22,7 of 38,13 of 16,24 of 41,L,Iuri Alcantara,0,31 of 59,52%,49 of 77,2 of 4,50%,0,0,1:02,18 of 44,11 of 13,2 of 2,23 of 50,5 of 6,3 of 3
20,Decision - Unanimous,3,15:00,W,Frankie Saenz,0,67 of 129,51%,83 of 153,5 of 9,55%,0,0,5:47,31 of 83,9 of 16,27 of 30,24 of 71,39 of 49,4 of 9,L,Nolan Ticman,0,25 of 53,47%,31 of 59,0 of 0,---,0,0,0:18,13 of 39,9 of 11,3 of 3,22 of 47,1 of 2,2 of 4
21,Submission,1,2:58,L,Saparbeg Safarov,0,5 of 10,50%,7 of 12,0 of 0,---,0,0,0:00,2 of 7,1 of 1,2 of 2,5 of 10,0 of 0,0 of 0,W,Rodolfo Vieira,0,5 of 10,50%,10 of 15,2 of 2,100%,1,0,1:54,5 of 10,0 of 0,0 of 0,0 of 3,0 of 0,5 of 7
22,Decision - Unanimous,3,15:00,W,Saparbeg Safarov,0,70 of 86,81%,139 of 156,3 of 5,60%,0,0,10:45,60 of 74,2 of 2,8 of 10,16 of 24,4 of 6,50 of 56,L,Nicolae Negumereanu,0,11 of 27,40%,20 of 36,0 of 0,---,0,0,0:00,5 of 17,3 of 7,3 of 3,7 of 19,4 of 8,0 of 0
23,Submission,1,3:54,L,Saparbeg Safarov,0,8 of 22,36%,10 of 24,2 of 5,40%,0,0,1:19,6 of 20,1 of 1,1 of 1,4 of 14,3 of 6,1 of 2,W,Tyson Pedro,0,12 of 23,52%,17 of 28,0 of 1,0%,1,0,0:01,6 of 17,2 of 2,4 of 4,10 of 18,2 of 5,0 of 0
24,KO/TKO,2,7:54,L,Saparbeg Safarov,0,37 of 131,28%,37 of 131,0 of 2,0%,0,0,0:12,30 of 120,6 of 10,1 of 1,35 of 126,2 of 4,0 of 1,W,Gian Villante,1,60 of 108,55%,73 of 121,0 of 0,---,0,0,0:23,49 of 93,2 of 5,9 of 10,40 of 81,10 of 11,10 of 16
25,Decision - Unanimous,3,15:00,L,Tarec Saffiedine,0,60 of 139,43%,71 of 151,1 of 1,100%,0,0,3:41,34 of 112,14 of 15,12 of 12,44 of 119,16 of 20,0 of 0,W,Rafael Dos Anjos,0,81 of 158,51%,91 of 169,1 of 5,20%,1,0,3:29,35 of 99,37 of 49,9 of 10,56 of 125,20 of 26,5 of 7
26,Decision - Split,3,15:00,L,Tarec Saffiedine,0,52 of 105,49%,68 of 122,2 of 6,33%,0,0,1:25,38 of 88,11 of 14,3 of 3,35 of 81,17 of 24,0 of 0,W,Dong Hyun Kim,0,36 of 107,33%,64 of 138,3 of 8,37%,0,0,5:17,28 of 94,7 of 12,1 of 1,27 of 94,9 of 13,0 of 0
27,Decision - Unanimous,3,15:00,L,Tarec Saffiedine,0,32 of 71,45%,47 of 86,0 of 1,0%,0,0,0:37,16 of 52,9 of 12,7 of 7,23 of 52,9 of 19,0 of 0,W,Rick Story,0,58 of 111,52%,97 of 150,0 of 6,0%,0,0,6:55,19 of 61,26 of 33,13 of 17,26 of 65,32 of 46,0 of 0
28,Decision - Unanimous,3,15:00,W,Tarec Saffiedine,0,54 of 131,41%,58 of 135,0 of 1,0%,0,0,1:01,30 of 103,13 of 17,11 of 11,44 of 118,10 of 13,0 of 0,L,Jake Ellenberger,0,30 of 99,30%,39 of 109,0 of 4,0%,0,0,0:54,24 of 90,6 of 9,0 of 0,20 of 86,10 of 13,0 of 0
29,KO/TKO,3,11:28,L,Tarec Saffiedine,0,42 of 136,30%,42 of 136,0 of 0,---,0,0,0:00,18 of 104,2 of 5,22 of 27,42 of 136,0 of 0,0 of 0,W,Rory MacDonald,1,47 of 111,42%,48 of 113,1 of 3,33%,0,0,0:20,35 of 94,5 of 10,7 of 7,40 of 101,0 of 2,7 of 8
30,Decision - Unanimous,5,25:00,W,Tarec Saffiedine,3,120 of 202,59%,166 of 248,1 of 3,33%,1,0,6:19,60 of 127,13 of 14,47 of 61,113 of 193,1 of 2,6 of 7,L,Hyun Gyu Lim,0,122 of 277,44%,126 of 282,0 of 0,---,1,0,0:19,92 of 239,27 of 35,3 of 3,119 of 273,1 of 1,2 of 3
