,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,KO/TKO,1,9:45,L,Eugenio Tadeu,0,6 of 24,25%,32 of 50,0 of 2,0%,0,0,--,2 of 15,1 of 6,3 of 3,5 of 11,1 of 13,0 of 0,W,Mikey Burnett,0,42 of 80,52%,100 of 142,1 of 1,100%,1,0,--,25 of 61,17 of 19,0 of 0,12 of 35,10 of 23,20 of 22
1,KO/TKO,1,1:59,W,Justin Tafa,1,10 of 15,66%,10 of 15,0 of 0,---,0,0,0:02,5 of 9,0 of 1,5 of 5,8 of 11,1 of 1,1 of 3,L,Juan Adams,0,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:00,3 of 4,2 of 4,2 of 3,7 of 11,0 of 0,0 of 0
2,KO/TKO,1,2:10,L,Justin Tafa,0,6 of 9,66%,17 of 20,0 of 0,---,0,0,1:09,5 of 8,1 of 1,0 of 0,2 of 3,4 of 6,0 of 0,W,Yorgan De Castro,1,4 of 12,33%,6 of 14,0 of 0,---,0,0,0:12,2 of 10,2 of 2,0 of 0,4 of 8,0 of 4,0 of 0
3,Decision - Unanimous,3,15:00,L,Khalid Taha,0,49 of 202,24%,68 of 222,0 of 1,0%,0,1,1:27,40 of 186,5 of 10,4 of 6,49 of 193,0 of 6,0 of 3,W,Raoni Barcelos,0,120 of 207,57%,129 of 219,2 of 4,50%,1,0,3:15,85 of 166,17 of 22,18 of 19,108 of 195,7 of 7,5 of 5
4,Submission,3,13:00,NC,Khalid Taha,1,38 of 88,43%,74 of 127,0 of 1,0%,1,0,0:39,29 of 69,4 of 11,5 of 8,19 of 62,6 of 7,13 of 19,NC,Bruno Silva,0,20 of 50,40%,51 of 88,2 of 11,18%,0,0,6:59,9 of 33,8 of 11,3 of 6,10 of 31,1 of 1,9 of 18
5,KO/TKO,1,0:25,W,Khalid Taha,1,5 of 5,100%,5 of 5,0 of 0,---,0,0,0:02,5 of 5,0 of 0,0 of 0,2 of 2,0 of 0,3 of 3,L,Boston Salmon,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
6,Decision - Unanimous,3,15:00,L,Khalid Taha,0,32 of 57,56%,59 of 91,0 of 0,---,0,2,0:35,24 of 44,3 of 6,5 of 7,21 of 41,7 of 11,4 of 5,W,Nad Narimani,0,45 of 69,65%,67 of 97,6 of 11,54%,0,0,10:05,37 of 56,5 of 10,3 of 3,14 of 32,5 of 7,26 of 30
7,Decision - Unanimous,3,15:00,L,Mairbek Taisumov,0,51 of 160,31%,51 of 160,0 of 2,0%,0,0,0:01,40 of 139,5 of 13,6 of 8,51 of 160,0 of 0,0 of 0,W,Diego Ferreira,0,109 of 326,33%,112 of 329,0 of 2,0%,0,0,0:19,77 of 271,25 of 46,7 of 9,107 of 323,2 of 3,0 of 0
8,Decision - Unanimous,3,15:00,W,Mairbek Taisumov,0,27 of 82,32%,28 of 83,0 of 0,---,0,0,0:04,11 of 52,5 of 16,11 of 14,26 of 80,1 of 2,0 of 0,L,Desmond Green,0,27 of 83,32%,27 of 83,0 of 4,0%,0,0,0:00,16 of 59,4 of 12,7 of 12,27 of 81,0 of 2,0 of 0
9,KO/TKO,1,1:24,W,Mairbek Taisumov,1,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:01,1 of 2,0 of 1,1 of 1,2 of 4,0 of 0,0 of 0,L,Felipe Silva,0,0 of 7,0%,0 of 7,0 of 0,---,0,0,0:00,0 of 6,0 of 1,0 of 0,0 of 7,0 of 0,0 of 0
