,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,4:30,L,Alberto Uda,0,4 of 9,44%,21 of 27,1 of 2,50%,0,0,3:32,3 of 8,1 of 1,0 of 0,1 of 5,0 of 0,3 of 4,W,Marvin Vettori,0,10 of 14,71%,50 of 68,1 of 1,100%,1,0,0:26,10 of 14,0 of 0,0 of 0,2 of 4,0 of 0,8 of 10
1,KO/TKO,2,6:06,L,Alberto Uda,0,15 of 27,55%,28 of 40,1 of 2,50%,0,1,1:23,12 of 19,3 of 5,0 of 3,3 of 12,11 of 13,1 of 2,W,Jake Collier,1,27 of 54,50%,34 of 61,1 of 5,20%,0,0,2:36,21 of 45,6 of 9,0 of 0,12 of 25,10 of 19,5 of 10
2,Decision - Unanimous,3,15:00,W,Tagir Ulanbekov,0,46 of 122,37%,69 of 152,5 of 11,45%,0,0,3:47,38 of 110,3 of 5,5 of 7,45 of 119,1 of 3,0 of 0,L,Bruno Silva,0,47 of 114,41%,59 of 134,4 of 8,50%,0,0,2:21,20 of 81,10 of 12,17 of 21,40 of 104,7 of 10,0 of 0
3,Decision - Unanimous,3,15:00,L,Gasan Umalatov,0,38 of 102,37%,40 of 107,0 of 1,0%,0,0,0:41,28 of 87,5 of 9,5 of 6,34 of 91,4 of 10,0 of 1,W,Viscardi Andrade,0,78 of 183,42%,80 of 186,0 of 2,0%,0,0,0:02,38 of 128,28 of 40,12 of 15,55 of 153,23 of 30,0 of 0
4,Decision - Split,3,15:00,L,Gasan Umalatov,0,38 of 97,39%,54 of 116,0 of 1,0%,0,0,0:08,28 of 81,4 of 9,6 of 7,35 of 91,3 of 4,0 of 2,W,Cathal Pendred,0,55 of 103,53%,58 of 106,1 of 14,7%,0,0,2:30,14 of 58,12 of 14,29 of 31,48 of 96,7 of 7,0 of 0
5,Decision - Unanimous,3,15:00,W,Gasan Umalatov,0,24 of 62,38%,46 of 85,1 of 7,14%,0,0,4:00,15 of 45,3 of 9,6 of 8,21 of 58,3 of 4,0 of 0,L,Paulo Thiago,0,42 of 110,38%,48 of 119,1 of 7,14%,0,0,0:54,23 of 86,13 of 18,6 of 6,27 of 92,15 of 18,0 of 0
6,Decision - Unanimous,3,15:00,L,Gasan Umalatov,0,34 of 76,44%,38 of 80,2 of 8,25%,0,0,2:16,12 of 48,14 of 20,8 of 8,29 of 69,3 of 5,2 of 2,W,Neil Magny,0,71 of 218,32%,105 of 259,1 of 7,14%,0,0,2:43,47 of 185,12 of 18,12 of 15,56 of 202,15 of 16,0 of 0
7,KO/TKO,1,4:13,L,Caol Uno,0,6 of 28,21%,10 of 34,0 of 0,---,0,0,0:00,2 of 17,0 of 2,4 of 9,6 of 28,0 of 0,0 of 0,W,Gleison Tibau,1,22 of 59,37%,26 of 65,1 of 1,100%,0,0,1:29,21 of 58,0 of 0,1 of 1,6 of 36,1 of 2,15 of 21
8,Decision - Majority,3,15:00,D,Caol Uno,0,28 of 59,47%,71 of 110,2 of 3,66%,0,1,8:14,11 of 37,2 of 2,15 of 20,12 of 34,4 of 6,12 of 19,D,Fabricio Camoes,0,22 of 71,30%,28 of 77,5 of 5,100%,2,0,2:26,17 of 64,5 of 7,0 of 0,12 of 45,9 of 22,1 of 4
9,Decision - Unanimous,3,15:00,L,Caol Uno,0,24 of 47,51%,51 of 77,3 of 15,20%,0,1,7:13,12 of 33,3 of 4,9 of 10,7 of 22,9 of 12,8 of 13,W,Spencer Fisher,0,62 of 85,72%,77 of 100,1 of 2,50%,0,0,3:06,12 of 31,41 of 43,9 of 11,10 of 22,40 of 51,12 of 12
