,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,L,Richie Vaculik,0,63 of 156,40%,82 of 176,3 of 3,100%,0,0,0:44,42 of 130,6 of 11,15 of 15,54 of 145,4 of 6,5 of 5,W,Danny Martinez,0,54 of 171,31%,90 of 213,9 of 12,75%,0,1,7:48,38 of 146,16 of 25,0 of 0,41 of 153,3 of 3,10 of 15
1,KO/TKO,3,10:18,L,Richie Vaculik,0,74 of 142,52%,84 of 153,2 of 2,100%,1,1,1:05,52 of 113,16 of 22,6 of 7,60 of 123,10 of 14,4 of 5,W,Louis Smolka,1,67 of 143,46%,71 of 147,1 of 2,50%,0,2,1:07,43 of 117,13 of 15,11 of 11,65 of 140,1 of 2,1 of 1
2,Decision - Unanimous,3,15:00,W,Richie Vaculik,0,27 of 50,54%,55 of 82,4 of 15,26%,2,1,7:07,12 of 32,9 of 9,6 of 9,16 of 38,9 of 10,2 of 2,L,Roldan Sangcha'an,0,36 of 81,44%,40 of 85,1 of 2,50%,0,1,0:53,15 of 56,4 of 6,17 of 19,33 of 76,3 of 5,0 of 0
3,KO/TKO,1,4:43,L,Richie Vaculik,0,2 of 7,28%,19 of 24,0 of 0,---,0,0,0:00,1 of 5,0 of 1,1 of 1,2 of 7,0 of 0,0 of 0,W,Justin Scoggins,0,27 of 37,72%,47 of 59,2 of 3,66%,0,0,4:06,22 of 31,5 of 5,0 of 1,5 of 9,3 of 5,19 of 23
4,KO/TKO,1,1:30,L,Charlie Valencia,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,1 of 4,3 of 3,1 of 3,2 of 7,3 of 3,0 of 0,W,Ivan Menjivar,1,8 of 24,33%,12 of 29,0 of 0,---,0,0,0:13,5 of 18,2 of 4,1 of 2,0 of 10,4 of 5,4 of 9
5,Submission,2,7:25,L,Charlie Valencia,0,12 of 23,52%,15 of 26,0 of 1,0%,0,0,0:00,3 of 13,4 of 5,5 of 5,11 of 21,1 of 2,0 of 0,W,Miguel Torres,2,28 of 65,43%,63 of 107,0 of 0,---,1,0,2:00,16 of 50,8 of 10,4 of 5,16 of 47,5 of 5,7 of 13
6,Decision - Split,3,15:00,W,Charlie Valencia,1,42 of 99,42%,47 of 106,1 of 1,100%,0,0,2:32,27 of 79,11 of 15,4 of 5,30 of 75,7 of 9,5 of 15,L,Akitoshi Tamura,0,29 of 129,22%,86 of 188,0 of 0,---,2,0,3:30,11 of 73,7 of 25,11 of 31,27 of 125,2 of 4,0 of 0
7,Decision - Unanimous,3,15:00,W,Charlie Valencia,0,46 of 99,46%,62 of 115,2 of 3,66%,0,0,2:29,29 of 73,15 of 22,2 of 4,32 of 75,3 of 7,11 of 17,L,Coty Wheeler,0,41 of 185,22%,48 of 194,0 of 1,0%,2,1,0:17,8 of 124,11 of 24,22 of 37,36 of 172,5 of 12,0 of 1
8,Decision - Unanimous,3,15:00,W,Charlie Valencia,1,43 of 92,46%,84 of 135,4 of 7,57%,2,0,--,28 of 71,7 of 12,8 of 9,20 of 43,7 of 14,16 of 35,L,Seth Dikun,0,22 of 100,22%,47 of 132,0 of 0,---,1,0,--,8 of 79,4 of 10,10 of 11,10 of 81,8 of 14,4 of 5
9,Decision - Unanimous,3,15:00,L,Charlie Valencia,0,33 of 152,21%,34 of 153,0 of 1,0%,0,0,0:08,20 of 132,10 of 14,3 of 6,26 of 140,7 of 12,0 of 0,W,Dominick Cruz,0,61 of 380,16%,68 of 390,0 of 2,0%,0,0,0:18,48 of 360,8 of 14,5 of 6,56 of 365,5 of 15,0 of 0
10,KO/TKO,1,2:29,L,Charlie Valencia,0,7 of 24,29%,9 of 26,0 of 0,---,0,0,0:04,4 of 20,3 of 3,0 of 1,3 of 18,4 of 6,0 of 0,W,Yoshiro Maeda,1,11 of 23,47%,12 of 24,0 of 1,0%,0,0,0:32,3 of 14,5 of 6,3 of 3,7 of 17,3 of 5,1 of 1
11,Submission,1,3:19,W,Charlie Valencia,1,9 of 28,32%,16 of 35,1 of 1,100%,1,0,0:13,8 of 25,0 of 1,1 of 2,5 of 21,3 of 6,1 of 1,L,Ian McCall,0,6 of 32,18%,6 of 32,0 of 4,0%,0,0,0:06,2 of 25,0 of 0,4 of 7,5 of 29,1 of 3,0 of 0
12,Submission,2,7:50,L,Charlie Valencia,0,13 of 33,39%,22 of 42,0 of 1,0%,0,2,1:24,6 of 25,3 of 3,4 of 5,5 of 17,5 of 11,3 of 5,W,Brian Bowles,1,14 of 47,29%,36 of 71,2 of 3,66%,1,1,4:23,10 of 42,2 of 3,2 of 2,7 of 26,4 of 14,3 of 7
13,KO/TKO,1,3:12,W,Charlie Valencia,1,11 of 24,45%,13 of 26,0 of 0,---,0,0,0:32,7 of 20,4 of 4,0 of 0,6 of 14,4 of 9,1 of 1,L,Antonio Banuelos,1,4 of 22,18%,7 of 25,1 of 1,100%,1,0,0:44,3 of 19,0 of 1,1 of 2,2 of 8,2 of 14,0 of 0
14,Submission,1,0:47,L,Victor Valenzuela,0,1 of 1,100%,2 of 2,0 of 0,---,0,0,--,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,W,Edson Berto,0,2 of 2,100%,2 of 2,1 of 1,100%,1,0,--,0 of 0,1 of 1,1 of 1,2 of 2,0 of 0,0 of 0
15,Overturned,2,6:59,NC,Timur Valiev,1,66 of 93,70%,66 of 93,0 of 0,---,0,0,0:01,28 of 50,25 of 29,13 of 14,60 of 86,6 of 7,0 of 0,NC,Trevin Jones,1,26 of 50,52%,31 of 55,1 of 2,50%,0,0,0:47,21 of 44,3 of 3,2 of 3,11 of 32,1 of 1,14 of 17
16,KO/TKO,1,1:44,L,Victor Valimaki,0,0 of 10,0%,0 of 10,0 of 4,0%,0,0,0:05,0 of 10,0 of 0,0 of 0,0 of 10,0 of 0,0 of 0,W,Alessio Sakara,0,6 of 23,26%,6 of 23,0 of 0,---,0,0,0:00,6 of 23,0 of 0,0 of 0,5 of 20,1 of 3,0 of 0
17,Decision - Split,3,15:00,L,Victor Valimaki,0,66 of 209,31%,83 of 226,1 of 3,33%,0,0,0:59,46 of 181,8 of 13,12 of 15,53 of 183,8 of 17,5 of 9,W,David Heath,0,44 of 132,33%,48 of 136,0 of 0,---,0,0,0:05,24 of 103,9 of 15,11 of 14,36 of 118,7 of 13,1 of 1
18,Decision - Unanimous,3,15:00,L,Isaac Vallie-Flagg,0,80 of 121,66%,120 of 165,0 of 5,0%,0,0,5:36,51 of 87,19 of 21,10 of 13,22 of 44,57 of 76,1 of 1,W,Matt Wiman,0,68 of 101,67%,104 of 140,0 of 3,0%,0,0,5:05,49 of 77,14 of 16,5 of 8,21 of 44,45 of 55,2 of 2
19,Decision - Unanimous,3,15:00,L,Isaac Vallie-Flagg,0,107 of 217,49%,211 of 322,1 of 2,50%,0,0,1:11,61 of 161,31 of 39,15 of 17,96 of 204,8 of 10,3 of 3,W,Takanori Gomi,0,130 of 240,54%,153 of 263,0 of 0,---,0,1,3:52,88 of 185,34 of 45,8 of 10,119 of 229,11 of 11,0 of 0
20,Decision - Unanimous,3,15:00,L,Isaac Vallie-Flagg,0,21 of 59,35%,37 of 75,0 of 1,0%,0,0,0:00,13 of 48,2 of 4,6 of 7,14 of 50,6 of 8,1 of 1,W,Elias Silverio,1,81 of 133,60%,136 of 199,4 of 4,100%,0,0,11:19,52 of 100,21 of 24,8 of 9,39 of 79,21 of 24,21 of 30
21,Decision - Split,3,15:00,W,Isaac Vallie-Flagg,0,76 of 222,34%,129 of 284,0 of 0,---,0,0,2:14,47 of 180,18 of 27,11 of 15,52 of 179,24 of 43,0 of 0,L,Yves Edwards,0,58 of 115,50%,64 of 125,1 of 3,33%,0,0,2:51,32 of 82,14 of 20,12 of 13,46 of 98,12 of 17,0 of 0
22,Decision - Split,3,15:00,W,Isaac Vallie-Flagg,0,133 of 252,52%,163 of 287,0 of 0,---,0,0,1:52,84 of 191,22 of 30,27 of 31,98 of 211,33 of 39,2 of 2,L,Gesias Cavalcante,0,83 of 179,46%,93 of 191,2 of 7,28%,0,0,2:40,50 of 136,16 of 21,17 of 22,72 of 164,10 of 13,1 of 2
23,Submission,1,2:21,L,Mike van Arsdale,0,1 of 4,25%,3 of 6,0 of 1,0%,0,0,0:14,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,W,Renato Sobral,0,9 of 12,75%,11 of 14,0 of 1,0%,1,1,1:36,1 of 3,1 of 2,7 of 7,2 of 3,6 of 7,1 of 2
24,Submission,3,10:52,L,Mike van Arsdale,0,8 of 40,20%,9 of 41,1 of 9,11%,0,0,1:09,7 of 39,0 of 0,1 of 1,5 of 32,3 of 8,0 of 0,W,Randy Couture,0,27 of 46,58%,40 of 60,4 of 6,66%,3,0,7:07,10 of 29,16 of 16,1 of 1,3 of 15,5 of 6,19 of 25
25,Decision - Unanimous,3,15:00,W,Mike van Arsdale,0,34 of 60,56%,85 of 117,1 of 4,25%,0,1,7:26,14 of 39,20 of 21,0 of 0,2 of 21,1 of 2,31 of 37,L,John Marsh,1,18 of 35,51%,40 of 58,1 of 1,100%,1,0,2:41,8 of 23,6 of 8,4 of 4,5 of 15,9 of 13,4 of 7
26,Submission,1,11:0,W,Mike van Arsdale,0,27 of 72,37%,48 of 94,1 of 1,100%,1,0,--,15 of 55,8 of 10,4 of 7,9 of 35,1 of 4,17 of 33,L,Joe Pardo,0,4 of 11,36%,10 of 17,0 of 5,0%,1,0,--,2 of 7,2 of 4,0 of 0,3 of 10,1 of 1,0 of 0
27,KO/TKO,3,12:11,L,Matt Van Buren,0,100 of 212,47%,115 of 227,0 of 0,---,0,0,0:26,54 of 155,41 of 51,5 of 6,72 of 175,28 of 37,0 of 0,W,Sean O'Connell,1,66 of 141,46%,109 of 187,0 of 2,0%,0,0,3:29,44 of 113,19 of 22,3 of 6,40 of 110,25 of 29,1 of 2
28,KO/TKO,1,1:01,L,Matt Van Buren,0,2 of 10,20%,2 of 10,0 of 0,---,0,0,0:00,1 of 8,1 of 1,0 of 1,2 of 9,0 of 1,0 of 0,W,Corey Anderson,0,24 of 37,64%,28 of 45,2 of 2,100%,0,0,0:19,22 of 33,2 of 3,0 of 1,9 of 14,7 of 13,8 of 10
29,Decision - Unanimous,3,15:00,L,Brianna Van Buren,0,34 of 68,50%,37 of 71,2 of 7,28%,0,0,4:34,9 of 40,21 of 22,4 of 6,18 of 51,16 of 17,0 of 0,W,Tecia Torres,0,74 of 160,46%,111 of 199,0 of 3,0%,0,0,2:09,42 of 127,21 of 22,11 of 11,55 of 136,17 of 21,2 of 3
30,Decision - Unanimous,3,15:00,W,Brianna Van Buren,0,72 of 187,38%,88 of 204,3 of 4,75%,0,0,4:41,48 of 151,15 of 23,9 of 13,51 of 151,17 of 31,4 of 5,L,Livinha Souza,0,23 of 66,34%,30 of 73,2 of 3,66%,0,0,0:43,8 of 43,10 of 17,5 of 6,15 of 56,7 of 9,1 of 1
