,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,W,Chris Wade,0,23 of 43,53%,51 of 79,3 of 8,37%,2,1,8:17,16 of 31,6 of 8,1 of 4,12 of 30,2 of 2,9 of 11,L,Frankie Perez,0,22 of 63,34%,53 of 99,3 of 5,60%,0,0,3:18,6 of 40,7 of 13,9 of 10,12 of 50,2 of 4,8 of 9
1,Decision - Unanimous,3,15:00,L,Chris Wade,0,5 of 17,29%,42 of 61,0 of 0,---,2,4,4:04,2 of 9,0 of 5,3 of 3,3 of 13,0 of 0,2 of 4,W,Islam Makhachev,0,12 of 19,63%,51 of 83,4 of 4,100%,2,2,8:56,5 of 12,7 of 7,0 of 0,7 of 14,0 of 0,5 of 5
2,Decision - Unanimous,3,15:00,L,Chris Wade,1,25 of 58,43%,42 of 76,0 of 0,---,0,1,2:42,11 of 38,7 of 11,7 of 9,22 of 52,3 of 3,0 of 3,W,Rustam Khabilov,0,50 of 73,68%,79 of 110,6 of 9,66%,0,1,6:37,39 of 59,2 of 3,9 of 11,20 of 40,2 of 3,28 of 30
3,Submission,1,4:30,W,Chris Wade,0,5 of 13,38%,40 of 58,2 of 2,100%,1,0,4:16,4 of 12,0 of 0,1 of 1,1 of 3,0 of 0,4 of 10,L,Mehdi Baghdad,0,1 of 5,20%,2 of 6,0 of 0,---,0,0,0:00,1 of 5,0 of 0,0 of 0,0 of 4,0 of 0,1 of 1
4,Decision - Unanimous,3,15:00,W,Chris Wade,0,32 of 57,56%,55 of 80,4 of 7,57%,0,2,6:28,15 of 36,9 of 12,8 of 9,23 of 44,7 of 11,2 of 2,L,Christos Giagos,0,28 of 84,33%,41 of 98,0 of 4,0%,0,1,2:51,17 of 70,10 of 13,1 of 1,19 of 68,9 of 16,0 of 0
5,Decision - Unanimous,3,15:00,W,Chris Wade,0,47 of 65,72%,133 of 163,4 of 9,44%,0,0,9:00,18 of 29,7 of 11,22 of 25,13 of 25,25 of 29,9 of 11,L,Zhang Lipeng,0,28 of 46,60%,47 of 67,0 of 7,0%,0,0,3:46,7 of 19,7 of 11,14 of 16,8 of 20,19 of 25,1 of 1
6,Submission,1,1:12,W,Chris Wade,0,0 of 1,0%,5 of 6,1 of 1,100%,1,0,0:44,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,L,Cain Carrizosa,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:03,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
7,KO/TKO,1,1:31,L,Neil Wain,0,4 of 8,50%,8 of 12,0 of 0,---,0,0,0:00,4 of 8,0 of 0,0 of 0,3 of 5,1 of 3,0 of 0,W,Shane Carwin,0,13 of 23,56%,23 of 33,1 of 2,50%,0,0,1:02,11 of 21,2 of 2,0 of 0,0 of 2,2 of 4,11 of 17
8,KO/TKO,3,14:03,L,TJ Waldburger,0,38 of 89,42%,49 of 102,0 of 4,0%,1,0,2:26,21 of 70,7 of 8,10 of 11,31 of 77,7 of 12,0 of 0,W,Mike Pyle,0,56 of 101,55%,88 of 134,4 of 4,100%,1,0,3:17,44 of 87,7 of 7,5 of 7,21 of 57,14 of 21,21 of 23
9,KO/TKO,1,3:00,L,TJ Waldburger,0,4 of 10,40%,4 of 10,0 of 3,0%,0,0,0:38,0 of 4,1 of 1,3 of 5,3 of 9,1 of 1,0 of 0,W,Adlan Amagov,1,15 of 26,57%,23 of 34,0 of 1,0%,0,0,0:05,10 of 18,3 of 6,2 of 2,3 of 10,5 of 7,7 of 9
10,Submission,2,6:04,W,TJ Waldburger,1,13 of 17,76%,14 of 18,1 of 5,20%,4,0,1:19,10 of 14,2 of 2,1 of 1,3 of 5,3 of 3,7 of 9,L,Nick Catone,0,10 of 16,62%,14 of 20,1 of 2,50%,0,1,3:19,6 of 11,1 of 2,3 of 3,1 of 3,4 of 6,5 of 7
11,Decision - Unanimous,3,15:00,L,TJ Waldburger,1,18 of 41,43%,33 of 59,1 of 1,100%,4,0,1:44,9 of 31,6 of 7,3 of 3,13 of 35,4 of 5,1 of 1,W,Brian Ebersole,0,39 of 59,66%,90 of 118,2 of 5,40%,0,0,8:15,29 of 42,6 of 11,4 of 6,14 of 29,6 of 8,19 of 22
12,Submission,1,0:55,W,TJ Waldburger,0,3 of 3,100%,3 of 3,1 of 1,100%,1,0,0:06,2 of 2,0 of 0,1 of 1,3 of 3,0 of 0,0 of 0,L,Jake Hecht,0,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:03,1 of 4,1 of 1,0 of 0,2 of 5,0 of 0,0 of 0
13,Submission,1,3:52,W,TJ Waldburger,0,4 of 7,57%,8 of 11,3 of 4,75%,2,0,3:16,2 of 4,1 of 1,1 of 2,1 of 4,1 of 1,2 of 2,L,Mike Stumpf,0,0 of 4,0%,6 of 10,0 of 0,---,1,0,0:24,0 of 3,0 of 1,0 of 0,0 of 3,0 of 0,0 of 1
14,KO/TKO,1,1:35,L,TJ Waldburger,0,3 of 9,33%,3 of 9,0 of 1,0%,0,0,0:31,0 of 6,2 of 2,1 of 1,2 of 8,1 of 1,0 of 0,W,Johny Hendricks,1,7 of 8,87%,9 of 10,0 of 0,---,0,0,0:26,3 of 4,4 of 4,0 of 0,2 of 3,2 of 2,3 of 3
