,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Decision - Unanimous,3,15:00,W,Song Yadong,0,101 of 201,50%,119 of 221,0 of 1,0%,0,0,1:00,79 of 173,12 of 17,10 of 11,79 of 169,21 of 31,1 of 1,L,Marlon Vera,0,92 of 164,56%,115 of 187,2 of 3,66%,0,0,3:15,41 of 98,29 of 40,22 of 26,68 of 127,20 of 29,4 of 8
1,Decision - Majority,3,15:00,D,Song Yadong,0,30 of 105,28%,49 of 127,0 of 0,---,0,1,0:57,21 of 94,2 of 3,7 of 8,27 of 99,1 of 2,2 of 4,D,Cody Stamann,0,41 of 67,61%,117 of 150,5 of 12,41%,0,0,6:36,34 of 57,5 of 8,2 of 2,23 of 47,0 of 0,18 of 20
2,KO/TKO,1,2:04,W,Song Yadong,1,8 of 20,40%,8 of 20,0 of 0,---,0,0,0:01,6 of 15,1 of 2,1 of 3,7 of 19,0 of 0,1 of 1,L,Alejandro Perez,0,1 of 14,7%,1 of 14,0 of 0,---,0,0,0:00,0 of 11,0 of 0,1 of 3,1 of 14,0 of 0,0 of 0
3,Decision - Unanimous,3,15:00,W,Song Yadong,0,79 of 172,45%,86 of 181,2 of 2,100%,0,0,2:42,55 of 138,13 of 18,11 of 16,74 of 165,2 of 2,3 of 5,L,Vince Morales,0,74 of 201,36%,83 of 211,0 of 0,---,0,0,0:05,52 of 167,14 of 22,8 of 12,67 of 190,6 of 8,1 of 3
4,KO/TKO,2,9:59,W,Song Yadong,1,39 of 100,39%,88 of 155,1 of 1,100%,1,0,6:14,26 of 80,7 of 13,6 of 7,14 of 63,4 of 5,21 of 32,L,Felipe Arantes,0,8 of 31,25%,9 of 32,0 of 2,0%,0,0,0:16,7 of 27,0 of 3,1 of 1,8 of 31,0 of 0,0 of 0
5,Submission,1,4:16,W,Song Yadong,1,8 of 29,27%,9 of 30,0 of 0,---,1,0,0:08,6 of 23,1 of 3,1 of 3,7 of 27,0 of 0,1 of 2,L,Bharat Kandare,0,3 of 30,10%,3 of 30,0 of 1,0%,0,0,0:00,1 of 22,0 of 0,2 of 8,3 of 30,0 of 0,0 of 0
6,KO/TKO,2,9:25,L,Jamie Yager,0,29 of 74,39%,31 of 76,0 of 1,0%,0,0,0:00,17 of 57,1 of 5,11 of 12,24 of 68,4 of 5,1 of 1,W,Rich Attonito,0,24 of 65,36%,38 of 79,1 of 3,33%,0,0,1:56,21 of 60,1 of 2,2 of 3,12 of 49,1 of 1,11 of 15
7,Decision - Split,3,15:00,W,Eddie Yagin,2,84 of 284,29%,100 of 301,0 of 0,---,0,0,1:28,69 of 253,3 of 13,12 of 18,73 of 259,0 of 0,11 of 25,L,Mark Hominick,0,110 of 210,52%,116 of 217,0 of 0,---,0,0,0:00,96 of 188,12 of 19,2 of 3,110 of 210,0 of 0,0 of 0
8,Decision - Unanimous,3,15:00,L,Eddie Yagin,0,10 of 26,38%,20 of 40,0 of 0,---,2,0,0:15,9 of 25,0 of 0,1 of 1,9 of 25,1 of 1,0 of 0,W,Junior Assuncao,0,63 of 90,70%,164 of 204,3 of 8,37%,0,0,7:06,40 of 59,11 of 13,12 of 18,17 of 34,2 of 2,44 of 54
9,Decision - Majority,3,15:00,D,Rani Yahya,0,24 of 45,53%,58 of 83,2 of 5,40%,0,1,4:48,12 of 30,5 of 7,7 of 8,19 of 38,1 of 2,4 of 5,D,Enrique Barzola,0,57 of 86,66%,148 of 187,1 of 2,50%,1,1,6:49,39 of 65,18 of 20,0 of 1,10 of 36,1 of 1,46 of 49
10,Decision - Unanimous,3,15:00,L,Rani Yahya,0,47 of 186,25%,52 of 195,0 of 9,0%,0,0,0:00,29 of 159,10 of 14,8 of 13,47 of 186,0 of 0,0 of 0,W,Ricky Simon,2,54 of 137,39%,66 of 150,4 of 5,80%,0,0,3:50,40 of 116,9 of 16,5 of 5,38 of 114,0 of 0,16 of 23
11,Submission,1,1:31,W,Rani Yahya,0,4 of 8,50%,4 of 8,0 of 2,0%,2,0,0:04,1 of 4,1 of 1,2 of 3,4 of 8,0 of 0,0 of 0,L,Luke Sanders,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:22,2 of 4,0 of 0,0 of 0,2 of 3,0 of 0,0 of 1
12,Submission,3,12:32,W,Rani Yahya,0,17 of 20,85%,105 of 149,2 of 3,66%,2,1,9:59,1 of 4,14 of 14,2 of 2,2 of 5,0 of 0,15 of 15,L,Russell Doane,0,2 of 8,25%,15 of 30,1 of 1,100%,0,0,0:22,0 of 5,2 of 3,0 of 0,2 of 8,0 of 0,0 of 0
13,Submission,1,2:01,W,Rani Yahya,0,3 of 4,75%,14 of 15,1 of 2,50%,2,0,1:39,1 of 2,0 of 0,2 of 2,2 of 3,0 of 0,1 of 1,L,Henry Briones,0,0 of 0,---,9 of 10,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
14,Decision - Unanimous,3,15:00,L,Rani Yahya,0,59 of 215,27%,65 of 221,1 of 11,9%,0,0,0:57,41 of 190,13 of 20,5 of 5,55 of 206,4 of 9,0 of 0,W,Joe Soto,0,54 of 113,47%,98 of 176,1 of 1,100%,2,0,4:40,49 of 106,4 of 6,1 of 1,36 of 93,3 of 4,15 of 16
15,Decision - Unanimous,3,15:00,W,Rani Yahya,0,10 of 18,55%,19 of 28,7 of 11,63%,1,1,7:03,4 of 11,2 of 2,4 of 5,9 of 17,1 of 1,0 of 0,L,Michinori Tanaka,0,20 of 34,58%,121 of 144,1 of 4,25%,0,2,5:54,10 of 22,3 of 3,7 of 9,5 of 17,0 of 0,15 of 17
16,Submission,3,14:19,W,Rani Yahya,0,40 of 75,53%,109 of 148,3 of 6,50%,1,0,7:39,28 of 61,6 of 8,6 of 6,25 of 53,1 of 2,14 of 20,L,Matthew Lopez,0,14 of 34,41%,26 of 46,1 of 1,100%,2,1,2:05,7 of 27,3 of 3,4 of 4,13 of 32,0 of 1,1 of 1
17,Decision - Split,3,15:00,W,Rani Yahya,0,24 of 68,35%,26 of 70,4 of 11,36%,2,0,5:19,14 of 53,2 of 7,8 of 8,21 of 64,3 of 4,0 of 0,L,Masanori Kanehara,0,24 of 44,54%,136 of 157,0 of 0,---,0,1,4:42,12 of 29,10 of 13,2 of 2,23 of 40,1 of 3,0 of 1
18,Submission,2,7:04,W,Rani Yahya,0,13 of 28,46%,16 of 31,3 of 6,50%,2,0,1:19,8 of 23,3 of 3,2 of 2,12 of 26,1 of 2,0 of 0,L,Johnny Bedford,0,9 of 20,45%,19 of 34,0 of 0,---,0,0,4:35,4 of 15,5 of 5,0 of 0,3 of 14,0 of 0,6 of 6
19,Could Not Continue,1,0:39,NC,Rani Yahya,0,3 of 8,37%,3 of 8,0 of 1,0%,0,0,0:00,0 of 4,1 of 1,2 of 3,3 of 8,0 of 0,0 of 0,NC,Johnny Bedford,0,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:01,4 of 6,0 of 0,0 of 0,2 of 4,0 of 0,2 of 2
20,Decision - Split,3,15:00,L,Rani Yahya,0,15 of 33,45%,24 of 43,2 of 3,66%,4,1,3:30,12 of 30,0 of 0,3 of 3,6 of 22,3 of 5,6 of 6,W,Tom Niinimaki,0,17 of 27,62%,54 of 64,4 of 6,66%,0,1,9:06,7 of 16,8 of 9,2 of 2,3 of 8,2 of 2,12 of 17
21,Decision - Unanimous,3,15:00,W,Rani Yahya,0,14 of 40,35%,135 of 163,2 of 7,28%,1,1,8:23,13 of 33,1 of 2,0 of 5,4 of 26,0 of 0,10 of 14,L,Josh Clopton,0,5 of 13,38%,57 of 69,0 of 0,---,0,0,3:19,4 of 12,1 of 1,0 of 0,3 of 9,0 of 0,2 of 4
22,Decision - Unanimous,3,15:00,W,Rani Yahya,0,13 of 29,44%,105 of 122,5 of 12,41%,1,0,8:59,11 of 26,2 of 3,0 of 0,3 of 13,1 of 1,9 of 15,L,Mizuto Hirota,0,4 of 14,28%,39 of 56,1 of 1,100%,0,0,3:09,3 of 13,1 of 1,0 of 0,4 of 12,0 of 1,0 of 1
23,Submission,1,3:15,W,Rani Yahya,0,3 of 9,33%,11 of 27,1 of 2,50%,1,0,2:28,2 of 7,0 of 0,1 of 2,1 of 6,0 of 0,2 of 3,L,Josh Grispi,0,6 of 10,60%,8 of 12,0 of 0,---,0,0,0:06,3 of 7,2 of 2,1 of 1,5 of 9,0 of 0,1 of 1
24,Decision - Unanimous,3,15:00,L,Rani Yahya,0,15 of 87,17%,43 of 115,0 of 5,0%,0,0,0:00,8 of 70,3 of 6,4 of 11,15 of 85,0 of 2,0 of 0,W,Chad Mendes,0,35 of 72,48%,46 of 83,5 of 5,100%,0,0,4:44,20 of 42,3 of 5,12 of 25,24 of 59,1 of 1,10 of 12
25,Decision - Unanimous,3,15:00,W,Rani Yahya,0,40 of 58,68%,97 of 129,3 of 11,27%,2,1,7:44,18 of 28,10 of 17,12 of 13,16 of 28,5 of 6,19 of 24,L,Mike Brown,0,15 of 31,48%,50 of 74,1 of 1,100%,0,0,3:37,7 of 22,2 of 3,6 of 6,1 of 16,7 of 8,7 of 7
26,Decision - Unanimous,3,15:00,L,Rani Yahya,0,17 of 50,34%,35 of 71,6 of 14,42%,2,0,5:21,6 of 37,5 of 6,6 of 7,10 of 41,7 of 9,0 of 0,W,Takeya Mizugaki,0,40 of 87,45%,92 of 144,2 of 2,100%,0,1,4:20,31 of 76,3 of 3,6 of 8,21 of 61,6 of 8,13 of 18
27,KO/TKO,1,1:35,L,Rani Yahya,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,3 of 15,0 of 1,2 of 2,5 of 18,0 of 0,0 of 0,W,Joseph Benavidez,1,7 of 21,33%,7 of 21,0 of 0,---,0,0,0:04,6 of 18,1 of 2,0 of 1,4 of 16,0 of 0,3 of 5
28,Submission,1,2:08,W,Rani Yahya,0,3 of 8,37%,7 of 12,1 of 2,50%,1,0,--,1 of 4,1 of 2,1 of 2,2 of 6,0 of 0,1 of 2,L,John Hosman,0,1 of 7,14%,3 of 9,0 of 0,---,0,0,--,1 of 6,0 of 1,0 of 0,1 of 7,0 of 0,0 of 0
29,Submission,1,1:07,W,Rani Yahya,0,3 of 4,75%,3 of 4,1 of 2,50%,1,0,0:33,1 of 2,1 of 1,1 of 1,3 of 4,0 of 0,0 of 0,L,Eddie Wineland,0,1 of 1,100%,2 of 2,0 of 0,---,0,0,0:01,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0
30,Submission,1,3:30,W,Rani Yahya,0,2 of 8,25%,21 of 28,0 of 2,0%,1,0,--,1 of 7,0 of 0,1 of 1,0 of 3,1 of 1,1 of 4,L,Yoshiro Maeda,0,3 of 5,60%,4 of 6,0 of 0,---,2,0,--,1 of 3,2 of 2,0 of 0,2 of 4,1 of 1,0 of 0
31,Decision - Unanimous,5,25:00,L,Rani Yahya,0,9 of 18,50%,16 of 25,1 of 6,16%,5,1,2:23,2 of 11,0 of 0,7 of 7,9 of 18,0 of 0,0 of 0,W,Chase Beebe,0,43 of 65,66%,168 of 206,0 of 0,---,4,1,20:52,31 of 53,11 of 11,1 of 1,6 of 13,0 of 0,37 of 52
32,Submission,1,1:19,W,Rani Yahya,0,0 of 1,0%,0 of 1,1 of 7,14%,1,0,0:43,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,L,Mark Hominick,0,3 of 5,60%,5 of 7,0 of 0,---,0,0,0:02,3 of 5,0 of 0,0 of 0,2 of 4,0 of 0,1 of 1
33,Submission,1,3:00,L,Alexander Yakovlev,0,1 of 1,100%,15 of 16,1 of 1,100%,0,0,1:57,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,W,Joel Alvarez,0,4 of 6,66%,10 of 13,0 of 0,---,2,0,0:00,1 of 3,0 of 0,3 of 3,3 of 5,0 of 0,1 of 1
34,Decision - Unanimous,3,15:00,L,Alexander Yakovlev,0,20 of 49,40%,38 of 71,3 of 8,37%,0,0,6:19,8 of 34,6 of 9,6 of 6,12 of 38,1 of 1,7 of 10,W,Roosevelt Roberts,0,28 of 98,28%,56 of 128,0 of 0,---,0,0,1:55,22 of 90,2 of 4,4 of 4,27 of 96,1 of 2,0 of 0
35,Submission,2,8:10,W,Alexander Yakovlev,0,14 of 19,73%,18 of 23,1 of 2,50%,1,0,2:13,9 of 14,4 of 4,1 of 1,2 of 6,5 of 5,7 of 8,L,Alex Da Silva,0,8 of 19,42%,10 of 23,1 of 3,33%,0,0,4:29,3 of 14,3 of 3,2 of 2,2 of 11,3 of 3,3 of 5
