,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,4:27,L,Luke Zachrich,0,23 of 46,50%,24 of 47,0 of 2,0%,0,0,0:00,20 of 41,0 of 2,3 of 3,20 of 43,3 of 3,0 of 0,W,Daniel Kelly,0,25 of 48,52%,33 of 59,1 of 2,50%,1,0,0:51,19 of 42,1 of 1,5 of 5,19 of 40,5 of 7,1 of 1
1,Decision - Unanimous,3,15:00,W,Luke Zachrich,0,66 of 226,29%,66 of 226,1 of 1,100%,0,0,0:01,49 of 205,8 of 11,9 of 10,66 of 223,0 of 3,0 of 0,L,Guilherme Vasconcelos,0,49 of 166,29%,49 of 166,0 of 3,0%,0,0,0:00,29 of 135,9 of 19,11 of 12,48 of 164,1 of 2,0 of 0
2,KO/TKO,1,0:44,L,Luke Zachrich,0,3 of 11,27%,3 of 11,0 of 0,---,0,0,0:00,1 of 8,0 of 0,2 of 3,3 of 10,0 of 1,0 of 0,W,Caio Magalhaes,1,16 of 26,61%,18 of 28,0 of 0,---,0,0,0:03,13 of 22,3 of 4,0 of 0,7 of 15,4 of 6,5 of 5
3,KO/TKO,1,2:46,L,Anton Zafir,0,5 of 9,55%,15 of 19,2 of 2,100%,0,0,1:21,1 of 5,1 of 1,3 of 3,4 of 8,1 of 1,0 of 0,W,Li Jingliang,0,6 of 15,40%,11 of 20,1 of 1,100%,0,1,0:20,5 of 13,0 of 1,1 of 1,1 of 10,0 of 0,5 of 5
4,KO/TKO,1,4:36,L,Anton Zafir,0,17 of 25,68%,31 of 40,1 of 3,33%,0,0,2:50,8 of 14,6 of 8,3 of 3,5 of 11,5 of 7,7 of 7,W,James Moontasri,1,11 of 21,52%,13 of 23,0 of 0,---,0,0,0:03,5 of 14,3 of 4,3 of 3,8 of 11,1 of 2,2 of 8
5,Decision - Unanimous,3,15:00,L,Aiemann Zahabi,0,28 of 82,34%,29 of 83,1 of 5,20%,0,0,0:38,14 of 62,9 of 14,5 of 6,27 of 81,1 of 1,0 of 0,W,Vince Morales,0,59 of 194,30%,59 of 194,0 of 0,---,0,0,0:00,31 of 151,20 of 32,8 of 11,58 of 192,1 of 2,0 of 0
6,KO/TKO,3,11:58,L,Aiemann Zahabi,0,46 of 105,43%,47 of 106,0 of 1,0%,0,1,1:40,38 of 95,8 of 10,0 of 0,39 of 96,7 of 9,0 of 0,W,Ricardo Ramos,1,42 of 94,44%,45 of 97,3 of 5,60%,0,0,0:37,30 of 74,3 of 8,9 of 12,38 of 89,0 of 1,4 of 4
7,Decision - Unanimous,3,15:00,W,Aiemann Zahabi,1,44 of 112,39%,45 of 113,0 of 0,---,0,0,0:12,39 of 103,3 of 7,2 of 2,41 of 106,0 of 1,3 of 5,L,Reginaldo Vieira,0,64 of 190,33%,73 of 199,2 of 13,15%,0,0,2:23,27 of 138,12 of 22,25 of 30,59 of 183,3 of 5,2 of 2
8,Decision - Unanimous,3,15:00,L,Youssef Zalal,0,17 of 53,32%,40 of 85,0 of 2,0%,1,3,2:51,10 of 43,4 of 7,3 of 3,15 of 50,2 of 2,0 of 1,W,Ilia Topuria,0,13 of 33,39%,30 of 62,5 of 9,55%,5,0,8:02,7 of 23,6 of 10,0 of 0,12 of 30,1 of 2,0 of 1
9,Decision - Unanimous,3,15:00,W,Youssef Zalal,1,54 of 92,58%,82 of 129,3 of 5,60%,3,0,6:54,40 of 74,6 of 10,8 of 8,41 of 70,1 of 3,12 of 19,L,Peter Barrett,0,23 of 57,40%,68 of 107,0 of 2,0%,0,0,1:34,13 of 43,9 of 12,1 of 2,15 of 48,8 of 9,0 of 0
10,Decision - Unanimous,3,15:00,W,Youssef Zalal,0,59 of 112,52%,70 of 123,0 of 2,0%,0,1,4:23,42 of 85,11 of 18,6 of 9,47 of 98,12 of 12,0 of 2,L,Jordan Griffin,0,28 of 69,40%,33 of 74,2 of 8,25%,0,1,5:34,26 of 67,2 of 2,0 of 0,28 of 67,0 of 0,0 of 2
11,Decision - Unanimous,3,15:00,W,Youssef Zalal,0,31 of 55,56%,49 of 80,6 of 12,50%,2,0,6:38,16 of 37,6 of 9,9 of 9,28 of 51,2 of 2,1 of 2,L,Austin Lingo,0,12 of 61,19%,16 of 68,1 of 1,100%,0,0,1:25,5 of 47,5 of 10,2 of 4,11 of 56,1 of 5,0 of 0
12,Decision - Split,3,15:00,L,Elizeu Zaleski dos Santos,0,46 of 138,33%,46 of 138,0 of 4,0%,0,0,0:53,23 of 98,11 of 25,12 of 15,35 of 124,3 of 4,8 of 10,W,Muslim Salikhov,0,40 of 88,45%,40 of 88,0 of 3,0%,0,0,0:02,23 of 64,8 of 14,9 of 10,38 of 86,2 of 2,0 of 0
13,Decision - Unanimous,3,15:00,W,Elizeu Zaleski dos Santos,0,62 of 156,39%,74 of 169,2 of 4,50%,0,0,2:30,25 of 95,16 of 32,21 of 29,56 of 149,4 of 5,2 of 2,L,Aleksei Kunchenko,0,57 of 112,50%,97 of 156,0 of 0,---,0,0,0:24,29 of 72,11 of 18,17 of 22,48 of 101,8 of 10,1 of 1
14,KO/TKO,3,14:51,L,Elizeu Zaleski dos Santos,0,54 of 160,33%,55 of 162,0 of 1,0%,0,0,0:24,23 of 114,21 of 33,10 of 13,51 of 156,3 of 4,0 of 0,W,Li Jingliang,3,59 of 128,46%,59 of 128,2 of 3,66%,0,0,0:22,45 of 108,4 of 6,10 of 14,47 of 113,8 of 11,4 of 4
15,Submission,1,2:35,W,Elizeu Zaleski dos Santos,0,6 of 9,66%,10 of 13,1 of 1,100%,1,0,2:08,4 of 6,1 of 1,1 of 2,3 of 4,0 of 0,3 of 5,L,Curtis Millender,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
16,KO/TKO,2,6:20,W,Elizeu Zaleski dos Santos,1,15 of 32,46%,15 of 32,0 of 0,---,0,0,0:08,8 of 24,2 of 3,5 of 5,9 of 24,3 of 4,3 of 4,L,Luigi Vendramini,0,4 of 17,23%,7 of 21,0 of 5,0%,1,0,2:41,1 of 11,2 of 3,1 of 3,4 of 17,0 of 0,0 of 0
17,KO/TKO,1,3:40,W,Elizeu Zaleski dos Santos,1,15 of 58,25%,18 of 63,0 of 1,0%,0,0,0:06,9 of 41,2 of 8,4 of 9,9 of 45,0 of 0,6 of 13,L,Sean Strickland,0,14 of 36,38%,14 of 36,0 of 0,---,0,0,0:00,13 of 35,0 of 0,1 of 1,13 of 35,1 of 1,0 of 0
18,Decision - Unanimous,3,15:00,W,Elizeu Zaleski dos Santos,0,84 of 176,47%,94 of 186,0 of 5,0%,0,0,2:32,56 of 137,19 of 28,9 of 11,42 of 112,33 of 47,9 of 17,L,Max Griffin,2,51 of 133,38%,61 of 144,0 of 1,0%,0,0,1:08,41 of 110,8 of 20,2 of 3,32 of 100,13 of 25,6 of 8
19,Decision - Split,3,15:00,W,Elizeu Zaleski dos Santos,0,83 of 219,37%,84 of 220,1 of 7,14%,0,0,1:12,56 of 181,13 of 22,14 of 16,67 of 198,16 of 21,0 of 0,L,Lyman Good,0,75 of 165,45%,89 of 182,1 of 1,100%,0,0,0:37,57 of 146,15 of 16,3 of 3,54 of 140,20 of 24,1 of 1
20,Decision - Unanimous,3,15:00,W,Elizeu Zaleski dos Santos,0,34 of 120,28%,45 of 131,1 of 1,100%,2,0,1:16,24 of 105,6 of 10,4 of 5,25 of 101,5 of 12,4 of 7,L,Keita Nakamura,0,24 of 58,41%,64 of 113,5 of 6,83%,0,0,7:41,21 of 53,3 of 5,0 of 0,16 of 46,3 of 5,5 of 7
21,KO/TKO,3,13:03,W,Elizeu Zaleski dos Santos,0,72 of 146,49%,78 of 152,0 of 3,0%,1,1,2:51,50 of 119,18 of 23,4 of 4,35 of 100,36 of 45,1 of 1,L,Omari Akhmedov,0,36 of 105,34%,57 of 129,3 of 7,42%,1,0,1:19,28 of 90,6 of 11,2 of 4,22 of 86,11 of 14,3 of 5
22,Decision - Split,3,15:00,L,Elizeu Zaleski dos Santos,0,57 of 131,43%,61 of 135,0 of 2,0%,0,1,0:36,37 of 106,13 of 17,7 of 8,44 of 114,11 of 14,2 of 3,W,Nicolas Dalby,0,41 of 139,29%,50 of 150,6 of 10,60%,0,0,4:14,14 of 101,12 of 19,15 of 19,27 of 114,12 of 21,2 of 4
23,TKO - Doctor's Stoppage,3,10:47,L,Roger Zapata,0,28 of 54,51%,53 of 82,0 of 1,0%,1,0,0:24,22 of 47,6 of 7,0 of 0,12 of 34,12 of 14,4 of 6,W,Shinsho Anzai,0,23 of 36,63%,49 of 68,2 of 11,18%,0,0,6:55,9 of 20,7 of 7,7 of 9,11 of 21,11 of 14,1 of 1
