model names,cluster,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Train Score,Test Score,,avg_train,avg_test
LogReg,1,0,0.634192812,1.035498757,0.631433861,0.216822458,0,0.750741058,0,0,0.067985142,1.170024432,0.503436112,0,0,0,-0.321507758,0,0.667775328,-0.359212112,-1.270623474,0,0,-3.062500678,0,0,0,0.228962575,-1.425460848,0.966101695,0.745098039,,0.887950778,0.836108998
LogReg,2,0.942729372,0.231820658,0.221186995,0.168175024,0.148507824,0.679436291,0.139198668,0.261759371,0.940440242,0.131922502,0,0.031580554,0,0.499172057,-0.867854597,-0.237297293,-0.370354567,-0.223883082,-0.149895271,-0.730544163,-0.100460465,-0.396559768,-0.781085463,-0.064258587,0,-0.170940168,0,-0.48681737,0.861010486,0.85771454,,,
LogReg,3,0.350947816,0.450365539,0.228770665,0.248476325,-0.202525669,0.486701378,-0.05300938,0.350432211,1.634298584,-0.038161636,0.301635489,0.399694292,-0.02305773,0.663461888,-0.35771246,-0.164348364,-0.712446999,-0.389118031,0.060528375,-0.893006291,0.087084704,0,-1.171209272,-0.013266842,0,-0.54392563,0.062441389,-0.351648493,0.867357513,0.874396135,,,
LogReg,4,0.934915509,0.430632252,-0.229814021,0.046140542,-0.067169373,0.648651177,0.204937591,0.219235082,1.548271129,0,0.351908737,0,0.057782448,0.715765127,0,-0.546043602,0,-0.393200561,0,-0.289153762,0.040610842,-0.41052303,-2.037526929,0,-0.52297573,0,0,-0.745915712,0.878109453,0.849275362,,,
LogReg,5,0.830344171,0.294324187,0.337322624,0.749040325,-0.097420888,0.679553481,0.200241103,0.345419473,0.71825235,0.098038555,0,0,0.035625782,0.256969541,-1.065271151,-0.314517027,-0.183368142,-0.373019345,0.0898691,-0.514181143,-0.060243479,-0.467684794,-0.503984285,0,-0.015702984,-0.077250513,0,-0.45229438,0.867174741,0.854060914,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR_L2,1,0.554677338,0.730662096,1.027465904,0.838516218,0.539710341,-0.267807267,1.053583334,-0.178433595,0.089894654,0.404874622,1.421356203,0.749236727,-0.362120367,0.11283532,-1.16718756,-0.391635729,-0.356772484,0.884357533,-0.607407008,-1.693852419,-0.140869588,0.377662096,-2.096802874,0.240695275,0.539099425,-1.134069537,0.068855105,-1.441902414,0.974576271,0.745098039,,0.889808074,0.834080013
LR_L2,2,0.593924789,0.23261633,0.225542865,0.168624714,0.149045076,0.678763627,0.140572917,0.261848486,0.846606845,0.097317513,-0.035672918,0.447106684,0.122324004,0.630710369,-0.568898698,-0.238028745,-0.373588293,-0.224860806,-0.150366156,-0.729719572,-0.1021547,-0.396372824,-0.794892567,-0.073373224,-0.006178552,-0.403696304,-0.07207639,-0.582190891,0.861201144,0.85771454,,,
LR_L2,3,0.783418582,0.457173367,0.275192569,0.270787551,-0.224391106,0.498858728,-0.063220567,0.348170654,1.145199391,-0.224926143,0.135596331,0.654012412,0.004770341,0.734907289,-0.616531558,-0.168293627,-0.742371571,-0.415117253,0.079390763,-0.902991119,0.097941967,0.012379231,-0.95518057,0.039800814,0.09084663,-0.607482544,0.088060278,-0.380074023,0.870466321,0.867149758,,,
LR_L2,4,0.826542623,0.435144839,-0.365730574,0.072199542,-0.100901323,0.661860409,0.230513592,0.222340429,1.129280934,-0.122529904,0.245505694,0.708459347,0.280873996,0.861653871,-0.804521335,-0.547308484,0.186874891,-0.423497037,0.024400129,-0.311457213,0.049555724,-0.452170177,-1.164450595,0.327642319,-0.266904957,-0.548509335,-0.170146526,-0.983674461,0.875621891,0.846376812,,,
LR_L2,5,0.511880577,0.295056181,0.346196382,0.775720853,-0.113424058,0.694744119,0.210770332,0.34945145,0.688892106,0.088921356,-0.018930164,0.305192681,0.160935979,0.46229868,-0.511273845,-0.318493614,-0.195475369,-0.394276981,0.105601824,-0.524858508,-0.069635374,-0.476271314,-0.673237215,-0.066373787,-0.074795815,-0.363931636,-0.092924276,-0.568305334,0.867174741,0.854060914,,,
